id	职业	性别	基准类型	部位	资源编号	对应编辑文件	图标	备注（策划用）	资源备注\n（策划用）
id	career	sex	faceType	partType	assetId	prefabName	iconName	
int	int	int	int	int	int	str	str	
11001	-1	0	-1	1	10001		female_tianjian_hair_01	女发型1	mod_nvjianke_01_hair_style
11002	-1	0	-1	1	10002		female_tianjian_hair_02	女发型2	mod_nvjianke_02_hair_style
11003	-1	0	-1	1	10003		female_tianjian_hair_03	女发型3	mod_nvjianke_03_hair_style
11004	-1	0	-1	1	10004		female_tianjian_hair_04	女发型4	mod_nvmojia_01_hair_style
11005	-1	0	-1	1	10005		female_tianjian_hair_05	女发型5	mod_nvmojia_02_hair_style
11006	-1	0	-1	1	10006		female_tianjian_hair_06	女发型6	mod_nvmojia_03_hair_style
11007	-1	0	-1	1	10007		female_tianjian_hair_07	女发型7	mod_nvguigu_01_hair_style
11008	-1	0	-1	1	10008		female_tianjian_hair_08	女发型8	mod_nvguigu_02_hair_style
11009	-1	0	-1	1	10009		female_tianjian_hair_09	女发型9	mod_nvguigu_03_hair_style
11101	-1	1	-1	1	11001		male_tianjian_hair_01	男发型1	mod_nanjianke_01_hair_style
11102	-1	1	-1	1	11002		male_tianjian_hair_02	男发型2	mod_nanjianke_02_hair_style
11103	-1	1	-1	1	11003		male_tianjian_hair_03	男发型3	mod_nanjianke_03_hair_style
11104	-1	1	-1	1	11004		male_tianjian_hair_04	男发型4	mod_nanmojia_01_hair_style
11105	-1	1	-1	1	11005		male_tianjian_hair_05	男发型5	mod_nanmojia_02_hair_style
11106	-1	1	-1	1	11006		male_tianjian_hair_06	男发型6	mod_nanmojia_03_hair_style
11107	-1	1	-1	1	11007		male_tianjian_hair_07	男发型7	mod_nanguigu_01_hair_style
11108	-1	1	-1	1	11008		male_tianjian_hair_08	男发型8	mod_nanguigu_02_hair_style
11109	-1	1	-1	1	11009		male_tianjian_hair_09	男发型9	mod_nanguigu_03_hair_style
20001	-1	0	-1	2	20001			女发色默认	0|0|0
20002	-1	0	-1	2	20002			女发色1	0|2.1|0.8
