ID	名称	数据类型	数据显示类型	属性界面显示	其他界面显示	显示类型	角色详细属性排序	灵兽基础属性排序	灵兽详细属性排序	灵兽加点属性排序	装备属性排序	法宝基础属性排序	法宝详细属性排序	属性小图标	属性描述
id	name	dataType	uiShowType	attrName	attrNameByOtherUI	attrColumn	attrOrder	petBaseAttrOrder	petAttrOrder	petAddPointOrder		trumpBaseAttrOrder	trumpAttrOrder		attrDescribe
int	str	enum:DataType	enum:UIShowType	str	str	int	int	int	int	int		int	int		str
1	力量			力量	力量	1		1			7	1		1	影响角色的物理攻击
2	智慧			智慧	智慧	1		2			8	2		1	影响角色的法术攻击
3	根骨			根骨	根骨	2		3			9	3		2	影响角色的生命值与物理防御
4	体魄			体魄	体魄	2		4			10	4		3	影响角色的治疗强度、法术防御与招架
5	敏捷			敏捷	敏捷	1		5			11	5		4	影响角色的暴击与命中
6	身法			身法	身法	2		6			12	6		4	影响角色的暴击防御与回避
7	生命值			生命值	生命值	2	7	9	7	3	5	9	7	3	当生命值为0时，角色即会死亡
8	物理攻击			物理攻击	物理攻击	1	1	7	1	1	1	7	1	1	影响角色造成的物理伤害
9	法术攻击			法术攻击	法术攻击	1	2	8	2	2	2	8	2	1	影响角色造成的法术伤害
10	治疗强度			治疗强度	治疗强度	1	6	10	6	4	6	10	6	3	影响角色治疗技能的治疗量
11	物理防御			物理防御	物理防御	2	8		8	5	3	11	8	2	受到同等级目标的物理伤害降低#[G2][att_物理防御率]#n
12	物理防御率	1	1	物理防御率	物理防御率	2								2	
13	法术防御			法术防御	法术防御	2	9		9	6	4	12	9	2	受到同等级目标的法术伤害降低#[G2][att_法术防御率]#n
14	法术防御率	1	1	法术防御率	法术防御率	2								2	
15	真气			真气	真气									3	
16	护体			护体	护体									3	保护角色不受部分控制效果影响\n当护体为0时，角色会进入破体状态
17	护体恢复			护体恢复	护体恢复									3	
18	灵力			灵力	灵力									3	当灵力满时，角色可以释放终结技
19	移动速度	1		移动速度	移动速度	4								4	角色每秒移动的距离
20	移动速度加成	1	1	移动速度	移动速度	4	34		30		49		34	4	提高角色#[G2][att_移动速度加成]#n的移动速度
21	生命恢复			生命恢复	生命恢复									3	角色的生命值恢复能力
22	暴击等级			暴击	暴击	1	3		3	7	14		3	1	对同等级目标造成伤害时，暴击几率为#[G2][att_暴击率]#n
23	暴击率	1	1	暴击	暴击	1								1	
24	暴击防御等级			暴击防御	暴击防御	2	10		10	9	20		10	2	受到同等级目标攻击的暴击几率降低#[G2][att_暴击防御率]#n
25	暴击防御率	1	1	暴击防御	暴击防御	2								2	
26	暴击伤害等级			暴击伤害	暴击伤害	1	4		4		19		4	1	对同等级目标造成暴击时，暴击伤害为#[G2][att_暴击伤害率]#n
27	暴击伤害率	1	1	暴击伤害	暴击伤害	1								1	
28	暴击伤害减免等级			暴伤减免	暴伤减免	2	11		11		21		11	2	受到同等级目标攻击的暴击伤害降低#[G2][att_暴击伤害减免率]#n
29	暴击伤害减免率	1	1	暴伤减免	暴伤减免	2								2	
30	命中等级			命中	命中	1	5		5	8	13		5	1	攻击同等级目标时，命中几率为#[G2][att_命中率]#n
31	命中率	1	1	命中	命中	1								1	
32	回避等级			回避	回避	2	12		12	10	15		12	4	受到同等级目标攻击时，回避几率为#[G2][att_回避率]#n
33	回避率	1	1	回避	回避	2								4	
34	招架等级			招架	招架	2	13		13	11	16		13	2	受到同等级目标攻击时，招架几率为#[G2][att_招架率]#n，仅在护体状态下有效
35	招架率	1	1	招架	招架	2								2	
36	物理穿透等级			物理穿透	物理穿透	4	25		26		22		25	1	对同等级目标造成物理伤害时，忽视目标#[G2][att_物理穿透率]#n的物理防御
