职业	等级	力量	智慧	根骨	体魄	敏捷	身法	生命值	物理攻击	法术攻击	物理防御	法术防御	真气	护体	护体恢复	灵力	生命恢复	移动速度
key:group	level																	
int	int																	
1	1	13	10	15	10	10	10	96	40	0	0	0	10	100		300		5
1	2	14	11	17	11	11	11	108	40	0	0	0	10	100		300		5
1	3	15	12	19	12	12	12	120	40	0	0	0	10	100		300		5
1	4	16	13	21	13	13	13	132	40	0	0	0	10	100		300		5
1	5	17	14	23	14	14	14	144	40	0	0	0	10	100		300		5
1	6	18	15	25	15	15	15	156	40	0	0	0	10	100		300		5
1	7	19	16	27	16	16	16	168	40	0	0	0	10	100		300		5
1	8	20	17	29	17	17	17	180	40	0	0	0	10	100		300		5
1	9	21	18	31	18	18	18	192	40	0	0	0	10	100		300		5
1	10	22	19	33	19	19	19	204	40	0	0	0	10	100		300		5
1	11	23	20	35	20	20	20	216	40	0	0	0	10	100		300		5
1	12	24	21	37	21	21	21	228	40	0	0	0	10	100		300		5
1	13	25	22	39	22	22	22	240	40	0	0	0	10	100		300		5
1	14	26	23	41	23	23	23	252	40	0	0	0	10	100		300		5
1	15	28	24	43	24	24	24	264	40	0	0	0	10	100		300		5
1	16	29	25	44	25	25	25	276	40	0	0	0	10	100		300		5
1	17	30	26	46	26	26	26	288	40	0	0	0	10	100		300		5
1	18	31	27	48	27	27	27	300	40	0	0	0	10	100		300		5
1	19	32	28	50	28	28	28	312	40	0	0	0	10	100		300		5
1	20	33	29	52	29	29	29	324	40	0	0	0	10	100		300		5
1	21	35	30	56	30	30	30	348	40	0	0	0	10	100		300		5
1	22	37	31	60	31	31	31	372	40	0	0	0	10	100		300		5
1	23	39	32	64	32	32	32	396	40	0	0	0	10	100		300		5
1	24	41	33	68	33	33	33	420	40	0	0	0	10	100		300		5
1	25	43	34	72	34	34	34	444	40	0	0	0	10	100		300		5
1	26	45	35	76	35	35	35	468	40	0	0	0	10	100		300		5
1	27	47	36	80	36	36	36	492	40	0	0	0	10	100		300		5
1	28	50	37	83	37	37	37	516	40	0	0	0	10	100		300		5
1	29	52	38	87	38	38	38	540	40	0	0	0	10	100		300		5
1	30	54	39	91	39	39	39	564	40	0	0	0	10	100		300		5
1	31	56	40	95	40	40	40	588	40	0	0	0	10	100		300		5
1	32	58	41	99	41	41	41	612	40	0	0	0	10	100		300		5
1	33	60	42	103	42	42	42	636	40	0	0	0	10	100		300		5
1	34	62	43	107	43	43	43	660	40	0	0	0	10	100		300		5
1	35	64	44	111	44	44	44	684	40	0	0	0	10	100		300		5
1	36	66	45	115	45	45	45	708	40	0	0	0	10	100		300		5
1	37	68	46	119	46	46	46	732	40	0	0	0	10	100		300		5
1	38	71	47	122	47	47	47	756	40	0	0	0	10	100		300		5
