等级	力量	智慧	根骨	体魄	敏捷	身法	生命值	物理攻击	法术攻击	物理防御	法术防御
level	
int	
1	51	51	51	51	51	51	660	28	28	38	38
2	58	58	58	58	58	58	680	30	30	43	43
3	64	64	64	64	64	64	700	33	33	48	48
4	70	70	70	70	70	70	720	35	35	53	53
5	77	77	77	77	77	77	740	37	37	58	58
6	83	83	83	83	83	83	760	39	39	62	62
7	90	90	90	90	90	90	780	42	42	67	67
8	96	96	96	96	96	96	800	44	44	72	72
9	102	102	102	102	102	102	820	46	46	77	77
10	109	109	109	109	109	109	840	48	48	82	82
11	115	115	115	115	115	115	860	51	51	86	86
12	122	122	122	122	122	122	880	53	53	91	91
13	128	128	128	128	128	128	900	55	55	96	96
14	134	134	134	134	134	134	920	57	57	101	101
15	141	141	141	141	141	141	940	60	60	106	106
16	147	147	147	147	147	147	960	62	62	110	110
17	154	154	154	154	154	154	980	64	64	115	115
18	160	160	160	160	160	160	1000	66	66	120	120
19	166	166	166	166	166	166	1020	69	69	125	125
20	173	173	173	173	173	173	1040	71	71	130	130
21	186	186	186	186	186	186	1080	75	75	139	139
22	198	198	198	198	198	198	1120	80	80	149	149
23	211	211	211	211	211	211	1160	84	84	158	158
24	224	224	224	224	224	224	1200	89	89	168	168
25	237	237	237	237	237	237	1240	93	93	178	178
26	250	250	250	250	250	250	1280	98	98	187	187
27	262	262	262	262	262	262	1320	102	102	197	197
28	275	275	275	275	275	275	1360	107	107	206	206
29	288	288	288	288	288	288	1400	111	111	216	216
30	301	301	301	301	301	301	1440	116	116	226	226
31	314	314	314	314	314	314	1480	120	120	235	235
32	326	326	326	326	326	326	1520	125	125	245	245
33	339	339	339	339	339	339	1560	129	129	254	254
34	352	352	352	352	352	352	1600	134	134	264	264
35	365	365	365	365	365	365	1640	138	138	274	274
36	378	378	378	378	378	378	1680	143	143	283	283
37	390	390	390	390	390	390	1720	147	147	293	293
38	403	403	403	403	403	403	1760	152	152	302	302
39	416	416	416	416	416	416	1800	156	156	312	312
40	429	429	429	429	429	429	1840	161	161	322	322
41	442	442	442	442	442	442	1880	165	165	331	331
42	454	454	454	454	454	454	1920	170	170	341	341
43	467	467	467	467	467	467	1960	174	174	350	350
44	480	480	480	480	480	480	2000	179	179	360	360
45	493	493	493	493	493	493	2040	183	183	370	370
46	506	506	506	506	506	506	2080	188	188	379	379
47	518	518	518	518	518	518	2120	192	192	389	389
48	531	531	531	531	531	531	2160	197	197	398	398
49	544	544	544	544	544	544	2200	201	201	408	408
50	557	557	557	557	557	557	2240	206	206	418	418
51	570	570	570	570	570	570	2280	210	210	427	427
52	582	582	582	582	582	582	2320	215	215	437	437
53	595	595	595	595	595	595	2360	219	219	446	446
54	608	608	608	608	608	608	2400	224	224	456	456
55	621	621	621	621	621	621	2440	228	228	466	466
56	634	634	634	634	634	634	2480	233	233	475	475
57	646	646	646	646	646	646	2520	237	237	485	485
58	659	659	659	659	659	659	2560	242	242	494	494
59	672	672	672	672	672	672	2600	246	246	504	504
60	685	685	685	685	685	685	2640	251	251	514	514
61	704	704	704	704	704	704	2700	258	258	528	528
62	723	723	723	723	723	723	2760	264	264	542	542
63	742	742	742	742	742	742	2820	271	271	557	557
64	762	762	762	762	762	762	2880	278	278	571	571
65	781	781	781	781	781	781	2940	285	285	586	586
66	800	800	800	800	800	800	3000	291	291	600	600
67	819	819	819	819	819	819	3060	298	298	614	614
68	838	838	838	838	838	838	3120	305	305	629	629
69	858	858	858	858	858	858	3180	312	312	643	643
70	877	877	877	877	877	877	3240	318	318	658	658
71	896	896	896	896	896	896	3300	325	325	672	672
72	915	915	915	915	915	915	3360	332	332	686	686
73	934	934	934	934	934	934	3420	339	339	701	701
74	954	954	954	954	954	954	3480	345	345	715	715
75	973	973	973	973	973	973	3540	352	352	730	730
76	992	992	992	992	992	992	3600	359	359	744	744
77	1011	1011	1011	1011	1011	1011	3660	366	366	758	758
78	1030	1030	1030	1030	1030	1030	3720	372	372	773	773
79	1050	1050	1050	1050	1050	1050	3780	379	379	787	787
80	1069	1069	1069	1069	1069	1069	3840	386	386	802	802
81	1088	1088	1088	1088	1088	1088	3900	393	393	816	816
82	1107	1107	1107	1107	1107	1107	3960	399	399	830	830
83	1126	1126	1126	1126	1126	1126	4020	406	406	845	845
84	1146	1146	1146	1146	1146	1146	4080	413	413	859	859
85	1165	1165	1165	1165	1165	1165	4140	420	420	874	874
86	1184	1184	1184	1184	1184	1184	4200	426	426	888	888
87	1203	1203	1203	1203	1203	1203	4260	433	433	902	902
88	1222	1222	1222	1222	1222	1222	4320	440	440	917	917
89	1242	1242	1242	1242	1242	1242	4380	447	447	931	931
90	1261	1261	1261	1261	1261	1261	4440	453	453	946	946
91	1280	1280	1280	1280	1280	1280	4500	460	460	960	960
92	1299	1299	1299	1299	1299	1299	4560	467	467	974	974
93	1318	1318	1318	1318	1318	1318	4620	474	474	989	989
94	1338	1338	1338	1338	1338	1338	4680	480	480	1003	1003
95	1357	1357	1357	1357	1357	1357	4740	487	487	1018	1018
96	1376	1376	1376	1376	1376	1376	4800	494	494	1032	1032
97	1395	1395	1395	1395	1395	1395	4860	501	501	1046	1046
98	1414	1414	1414	1414	1414	1414	4920	507	507	1061	1061
99	1434	1434	1434	1434	1434	1434	4980	514	514	1075	1075
100	1453	1453	1453	1453	1453	1453	5040	521	521	1090	1090
101	1478	1478	1478	1478	1478	1478	5120	530	530	1109	1109
102	1504	1504	1504	1504	1504	1504	5200	539	539	1128	1128
103	1530	1530	1530	1530	1530	1530	5280	548	548	1147	1147
104	1555	1555	1555	1555	1555	1555	5360	557	557	1166	1166
105	1581	1581	1581	1581	1581	1581	5440	566	566	1186	1186
106	1606	1606	1606	1606	1606	1606	5520	575	575	1205	1205
107	1632	1632	1632	1632	1632	1632	5600	584	584	1224	1224
108	1658	1658	1658	1658	1658	1658	5680	593	593	1243	1243
109	1683	1683	1683	1683	1683	1683	5760	602	602	1262	1262
