ID	name	备注	内容
id	name:group		des
int	str		str
1000		经验	关卡、任务、活动获得，经验积累满后等级提升一级
1001		修为	消耗修为提升心法等级
1002		PK值	杀死绿名玩家会获得一定的PK值，PK值到达一定程度会坐牢
1003		临时手动操作	您已进入临时手动操作状态
1004		退出临时手动	您已退出临时手动操作状态
1005		手动操作	您已进入手动操作状态
1006		挂机	您已进入挂机操作状态
1007		关卡卷未解锁	此卷尚未开启
1008		关卡未解锁	此关卡尚未开启
1009		在关卡中组队	关卡中不能进行此操作
1010		在关卡中传送	关卡中不能进行此操作
1011		环任务一轮结束	是否进行下一轮环任务
1012		师门任务结束	今天的师门任务已经结束
1013		副本中传送	副本中不能传送
1014		进关卡-自己次数不足	你的挑战次数不足
1015		进关卡-队友次数不足	$name的挑战次数不足
1016		进关卡-单人，组队进入	组队中不能进入
1017		进关卡-组队，队员进入	只有队长能进行此操作
1018		进关卡-组队，单人进入	组队才能进入
1019		进关卡-精英未开启	精英关未开启
1020		进关卡-组队，人数	队伍人数不足
1021		进关卡-队员不能进该副本	#[G3]$name#n未开启该副本
1022		天降宝箱-宝箱消失提示	宝箱已消失，开启无效
1023		天降宝箱-人在开宝箱	此宝箱已有人在开启
1024		天降宝箱-宝箱已消失	宝箱已被人开启了
1025		天降宝箱-刷宝箱	一片祥云飘过之后在$map、$map、$map出现了不少宝箱，正在等着有缘的玩家开启！
1026		天降宝箱-消失宝箱	一阵狂风后不知哪路神仙又收回了散落在人间的宝箱
1027		组队--	发送邀请成功
1028		组队--	您已邀请过该玩家
1029		组队--	已发送申请，请耐心等待
1030		组队--	邀请ID{0}已有队伍
1031		组队--	{0}队伍已满，不能加入
1032		组队--	{0}不是组队状态
1033		组队--	对方ID{0}已在邀请列表
1034		组队--	对方已在组队状态
1035		组队--	队员{0}在其它场景中
1036		组队--	有队员未准备好
1037		组队--	投票不通过
1038		组队--	您被请离队伍
1039		组队--	{0}被请离队伍
1040		组队--	您成为队长
1041		组队--	{0}成为队长
1042		组队--	对方不在组队状态
1043		组队--	对方队伍不存在，加入失败
1044		组队--	队伍创建成功
1045		组队--	队伍已解散
1046		组队--	{0}离开了队伍,您成为了队长
1047		组队--	您离开了队伍
1048		组队--	{0}离开了队伍
1049		组队--	您已加入{0}的队伍
1050		组队--	{0}加入了队伍
1051		宝图任务结束	今天的宝图任务已全部完成
1052		天降宝箱（弃用）	宝箱已被人开启了
1053		天降宝箱	宝箱已消失，开启无效
1054		天降宝箱	一片祥云飘过之后在$map、$map、$map出现了不少宝箱，正在等着有缘的玩家开启！
1055		天降宝箱	一阵狂风后不知哪路神仙又收回了散落在人间的宝箱
1056		PK开启等级提示	20级才可以开启PK模式设置
1057		组队跟随--	跟随中不能进行该操作
1058		天书试炼组队-成员等级不足	队伍中{0}等级不足，无法参与试炼
1059		天书试炼组队-队伍人数不足	试炼任务需要3人以上组队进行
1060		天书试炼组队-队伍成员距离过远	队伍中{0}距离过远，请召集齐再来
