id	值	说明
key	value	
str	str	
batiBeatBackMoveMul	0	霸体击退距离倍数
toSkyHeight	4	浮空上升高度
skillPressIntervalTime	0.4	技能按键记录间隔时间
fastRunSpeedMultiple	2	神行速度是基本速度倍数
lockTargetMaxDistance	60	锁怪最大距离
intoFastrunTime	2	普通跑步进入神行的时间
breakBattleTime	6	脱离战斗状态的时间
fastRunFov	50	神行相机fov
hutiImmuneState	倒地|受击|击退	护体免疫的状态
ActiiveNameDistance	20	多远就不显示名字
buffTickInterval	1	buff更新间隔
MoveToBornPosSpeedMul	3	回出生点速度
zhenqiMax	10	真气上限
zhenqiRecoverSpeed	1	真气值恢复速度
linliAddByDamage	3	灵力受击恢复值
linliAddByAttack	2	灵力攻击恢复值
linliMax	300	灵力值上限
qiliRecoverSpeed1	100	气力值恢复速度
qiliMax	1000	气力值上限
qiliEnterStatusValue	0.1	气力可以进入快跑和轻功的气力值百分比
qiliRecoverSpeed2	150	气力耗尽恢复速度
qiliCostByFastRun	100	气力快跑消耗值
hutiRecoverSpeedWhenBreak	4	护体非护体状态回复加成
hutiRecoverSpeedWhenIdle	1	护体战斗状态回复速度
hutiRecoverSpeedWhenBattle	3	护体非战斗状态时恢复速度
hutiEnterStatusMul	0.6	护体进入护体状态百分百
hutiBreakWeakTime	2	护体打破时上的虚弱时间
hutiBreakNoDamageTime	2	护体破体时免疫护体伤害时间 
clientSysPosMaxOff	2	客户端和服务器位置差距多大就强拉
clientSysPosNormalOff	0.2	客户端和服务器距离小于这个值就不需要移动
clientSysPosInterval	0.1	客户端同步间隔(测试版本)
serverSysPosInterval	0.05	服务器同步间隔(测试版本)
clientSysPosSpeedUpMul	1.5	加速上限
clientSysPosSpeedDownMul	0.3	减速下线
clientSysPosSpeedDownByDistance	0.8	剩余距离多少开始减速
JumpEnterHighLand	6	轻功进入高速落地的高度
JumpToLand	0	轻功进入落地动作的高度
JumpIntoFallDownHeight	0.8	走路进入掉落状态的高度
hatredChangeMul	0.2	仇恨值切换百分比
hatredInitValue	1	首次进入视野的敌人仇恨值
buffTickInterval	1	bufftick间隔
intoFastRanLvl	5	进入快跑等级
