id	值	说明
key	value	
str	str	
mainchat_color_world	O3	主界面世界频道聊天颜色
mainchat_color_system	W1	主界面系统频道聊天颜色
mainchat_color_zone	Y4	主界面当前频道聊天颜色
mainchat_color_team	B5	主界面队伍频道聊天颜色
mainchat_color_family	G5	主界面氏族频道聊天颜色
mainchat_color_hero	G5	主界面英雄帖频道聊天颜色
mainchat_color_fight	G5	主界面战斗信息颜色
mainchat_color_game	G5	主界面游戏公告颜色
mainchat_color_battle	G5	主界面战场频道聊天颜色
mainchat_namecolor_world	O3	主界面世界频道聊天玩家名颜色
mainchat_namecolor_battle	W1	主界面战场频道聊天玩家名颜色
mainchat_namecolor_zone	Y4	主界面当前频道聊天玩家名颜色
mainchat_namecolor_team	B5	主界面队伍频道聊天玩家名颜色
mainchat_namecolor_family	G5	主界面氏族频道聊天玩家名颜色
mainchat_itemcolor	G5	主界面道具颜色
mainchat_achievement	G5	主界面成就颜色
mainchat_nickname	G5	主界面称号颜色
marker_color	B5	被@玩家名颜色
team_invitation_color	G2	组队邀请链接颜色
team_invitation_text	组队申请	组队邀请链接文本
number_color	G2	数字颜色
ChatHistoryNum	9	聊天历史保存数量
chat_unread	您有{0}条信息未读	新消息未读提醒
chat_marker	有人@你，查看消息	@功能文本提示
chat_hero_num	50	英雄帖可输入字数
chat_hero_moveSpeed	30	英雄帖与公告文本移动速度
chat_hero_name_color	B3	英雄帖名字颜色
chat_input_num	50	输入框可输入字数
chat_bubbing_time	3	聊天泡显示时间
cameraChooseTargetAngle	100	摄像机准心选择角色角度
targetAngle	3	目标位置和摄像机的夹角
targetHeight	1	目标高度
playerHeight	1.8	玩家高度
playerDistance	6.5	摄像机和玩家间的距离
normalCameraAngle	8	普通镜头时，摄像机和玩家的夹角
defaultFov	50	初始fov值
norRotSpeed	5	普通镜头旋转速度
norPosSpeed	7	普通镜头移动速度
lockRotSpeed	0.5	锁定镜头旋转速度
lockRotFixSpeed	0.05	距离越近旋转速度要越慢：最终旋转速度 = m_lockRotSpeed+m_lockRotFixSpeed*摄像机和目标距离+修正距离 
lockPosSpeed	13	锁定镜头移动速度
lockPosFixSpeed	0	距离越近位置速度要越慢：最终旋转速度 = m_lockPosSpeed+m_lockPosFixSpeed*摄像机和目标距离+修正距离
lockMinDisToTarget	5	锁敌时最小距离
lockMaxDisToTarget	20	锁敌时最大距离
lockMaxAngle	30	锁定敌人时的最大角度
lockMinAngle	-20	锁定敌人时的最小角度
speedToNor	0.4	向普通镜头转变的速度
maxDis	10	缩放最大距离
minDis	2	缩放最小距离
twoStageMinDis	0.8	第二阶段缩放最小距离
twoStageHeight	1.475	第二阶段缩放最大高度
rotMinAngle	-50	旋转最小角度
rotMaxAngle	60	旋转最大角度
dragSpeed	5	手指拖动跟随速度
dragOffset	0.3	手指拖动变化率
featureDis	3.5	进入特写镜头距离
TFDFeatureDis	5.5	2.5D进入特写镜头距离
featureHeight	1	特写镜头高度
enterColliderSpeed	4	摄像机进入碰撞的速度
TFDMaxDis	15	2.5D最大缩放距离
TFDMinDis	5	2.5D最小缩放距离
TFDPlayerDistance	8	2.5D摄像机和玩家之间的距离
TFDCameraAngle	33	2.5D摄像机和玩家之间的夹角
TDCameraRotSpeed	20	2.5d转回3d的时候镜头旋转速度
scaleSpeed	0.02	3D镜头缩放参数
npcCamDis	2.5	NPC镜头距离
npcCamHeight	1.4	NPC镜头高度
returnToNorSpd	5	技能镜头回归普通镜头速度
findPathRotateCameraDelayTime	0.5	主角寻路超过一定时间，要归位摄像机
findPathRotateCameraTime	1	主角寻路摄像机转动的时间
firstEnterCameraAngle	3	首次进入的时候，摄像机的角度
lockRangeMin	4	锁定镜头最小不改变距离
lockRangeMax	15	锁定镜头最大不改变距离
lockMaxDistance	16	锁定镜头最大距离
Partner_followDis	2	伙伴跟随离主角的距离
Partner_spaceDistance	4	伙伴之间的间距距离
Partner_autoReliveTime	40	伙伴复活时间
domainName		域名
newUnlockTime	8	新锁定镜头锁定时间
oldUnlockDis	30	旧锁定解锁距离
singContent	正在传送	角色传送吟唱描述
singTime	2	角色传送吟唱时间
LevelVoting	30	组队-邀请拒绝倒计时
TeamFollowDistance	40	组队-跟随方式距离判断
ActiveNpcDistance	30	npc激活距离
ActivePlayerDistance	60	玩家激活距离
ActiveMonsterDistance	50	怪物激活距离
ActiiveNameDistance	30	名字激活距离(如果模型隐藏了名字也必定隐藏)
showCamDis	1.8	展示相机距离
showCamHeight	1	展示相机高度
showCamOffset	0.1	展示相机偏移
TalkingDistance	15	NPC冒泡显示距离（单位=米）
TreasureHuntAction	1	挖宝使用的吟唱动作-从吟唱动作表取
TreasureHuntTime	3	挖宝吟唱读条时间（单位=秒）
TreasureHuntContent	搜寻宝物	挖宝吟唱描述
TreasureHuntNpc	25520	挖宝-寻宝猪id
TreasureHuntTalk1	2001	挖宝-寻宝猪出现时冒泡
TreasureHuntTalk2	2002	挖宝-寻宝猪发现寻宝点，开始加速移动前的冒泡
TreasureHuntTalk3	2003	挖宝-寻宝猪寻宝时冒泡
TreasureHuntTalk4	2004	挖宝-寻宝猪，主角在挖的时候冒泡
TreasureHuntRunSpeed	14	挖宝-寻宝猪，加速后的移动速度
TreasureHuntNpcRunDistance	25	挖宝-寻宝猪，开始加速移动的距离（距离挖宝目标点）
TreasureHuntNpcDisappear	10	挖宝-寻宝猪，延迟消失时间（挖宝结束后X秒）
TreasureHuntNpcPosition	-1|0|1	挖宝-寻宝猪，跟随时的相对位置
TreasureHuntNpcSearch	search	挖宝-寻宝猪，挖掘动作
TreasureHuntNpcGet	get	挖宝-寻宝猪，跳跃动作
PetRange	普通攻击射程为#[G2]{0}#n米	灵兽普攻射程描述
PetAttackinterval	普通攻击间隔为#[G2]{0}#n秒	灵兽攻击间隔描述
PetPersonality	性格会影响灵兽技能效果的触发几率	灵兽性格描述
PetSavvy	当前悟性可提升#[G2]{0}%#n的灵兽资质	灵兽悟性描述
PetGrowth	成长越高 灵兽升级获得的属性提升越大	灵兽成长值描述
PetTalent_Strength	影响灵兽的物理攻击	灵兽力量资质描述
PetTalent_Intelligence	影响灵兽的法术攻击	灵兽智慧资质描述
PetTalent_Bone	影响灵兽的生命值与物理防御	灵兽根骨资质描述
PetTalent_Physique	影响灵兽的治疗强度、法术防御与招架	灵兽体魄资质描述
PetTalent_Agility	影响灵兽的暴击与命中	灵兽敏捷资质描述
PetTalent_Bodyway	影响灵兽的暴击防御与回避	灵兽身法资质描述
Guanqiawindelay	1	关卡胜利界面延时
LongPressTimeInterval	1	长按加点和使用的速率
LongPressTimeDelta\n	0.5	按下去延迟几多时间开始执行连续加点\n
TreeAction	1	种树使用的吟唱动作-从吟唱动作表取
TreeTime	3	种树吟唱读条时间（单位=秒）
TreeContent	挖地播种中	种树吟唱描述
LongPressTimeDelta	0	长点击延迟时间
RideCallTips	正在召唤	坐骑召唤提示
RideCallTime	2	坐骑召唤读条时间
RideCallAction	2	坐骑召唤动作
RideSearchDistance	20	角色是否需要先召唤坐骑再寻路的距离设定（单位=米）
RideUpDownSpeed	5	坐骑每秒上升/下降速度（单位=米）
DrugGet	3741	主界面血药图标灰并且背包中没有血药时，点击展现的对应道具的获取途径
DefaultDrugIcon	item_player_blood1	未装配血药时，主界面默认血药图标
PetSkilDefine	30|64|99|100	
PetSkillColorDefine	69cd69|66ccff|9933ff|ff6a07	
PetSkillTextDefine	中|高|优|极	
EquipTipsRandomAttrColor	G3	装备Tips随机属性颜色
EquipTipsEffectAttrColor	B4	装备Tips特效属性颜色
EquipTipsRefineAttrColor	O	装备Tips炼化属性颜色
DemonplotSkillLimit	40	炼妖壶技能升级界定
