id	值	说明
key	value	
str	str	
personalityChangeMin	0	个性系统浮动最小值
personalityChangeMax	3	个性系统浮动最大值
personalityChange	1	个性系统连续完成影响浮动值
equipDailyRefineTime	50	装备每日炼化次数
equipDailyConciseTime	50	装备每日凝炼次数
equipDailyRecastTime	50	装备每日重铸次数
equipSouGridNum	3	装备魂格数目
RelveConsume	0	原地复活消耗
petBaseDamageDivided	10	宠物基础承受伤害比例
levelMax	90	角色等级上限
trump_enhanced	8|1921|1922|1923	法宝强化消耗材料
pet_refinery	1421|1422|1423	宠物炼化消耗材料
carryingSpeed	4	主角搬运速度每秒X米
SneakSpeed	4	主角潜行速度每秒X米
Partner_enhanced	2201|2202|2203	伙伴升级消耗材料
prisonSceneID	60	监狱场景ID
PkProtectLevel	20	PK保护等级
TreasureCycle	3600	天降宝箱-刷新周期（秒）
TreasureActivityTimes	10:00;24:00	天降宝箱-活动时段
TreasureRemove	900	天降宝箱-消失时间（秒）
TreasureSceneCount	1	天降宝箱-宝箱随机场景数量
TreasureRandomCount	10	天降宝箱-宝箱随机数量
pk_redNameVal	60	红名PK值
pk_sceneToPrison	300	切场景进监狱PK值
pk_tianQianVal	600	天谴PK值
pk_askOutOfPrisonVal	100	询问是否躲避后再出监狱PK值
pk_outOfPrisonVal	60	出监狱PK值
pk_tianQianPunish	30	天谴惩罚掉耐久度
pk_redNamePunish	30	PK红名死亡惩罚掉耐久度
pk_yellowNamePunish	10	PK黄名死亡惩罚掉耐久度
ProtectBuff	9015	原地复活保护buff
ProtectBuff2	9016	附近复活保护buff
pet_exp	1441|1442|1443	宠物增加经验消耗材料
guildOpenLevel	20	帮会界面打开等级要求
guildCreateLevel	20	创建帮会等级要求
guildEnterLevel	20	申请帮会等级要求
guildPeopleLevel	40	申请入帮成为帮众等级要求
guildLearnLevel	20	申请入帮成为学徒等级要求
guildAnswerDissolveTime	24	响应帮会解散时间（单位小时)
guildFoundMembers	2	响应帮会成立人数
guildAnswerLevel	20	响应帮会玩家等级要求
guildNoticeCdTime	24	帮会公告修改cd时间（小时）
guildApplyShowCount	100	帮会申请列表显示帮会个数
guildLotteryTime	1800	帮会福利抽奖时长（秒）
guildLotteryBaseItemId	101	帮会抽奖基础奖励道具id
birthSceneId	996	设置初始场景ID
FunctionOpen_PK	20	开启--PK
CommonlevelNum	10	普通关挑战次数
ElitelevelNum	3	精英关挑战次数
NpcGetAwardTimer	30	隐藏npc领奖后消失时间（单位秒）
GuildFreightHelpNum	3	每天帮派货运求助次数
GuildFreightHelpCDTime	30	每次帮派货运求助冷却时间\n（秒）
GuildFreightBaseAward	10002	帮派货运基础奖励
GuildFreightTotalAward	10001	帮派货运总奖励
hpBlinkPercent	0.2	残血时屏幕闪红，残血的百分比
hpAdefendBlinkTime	8	首次进入残血闪红时，闪红持续的时间
recoverAutoTime	2	手动恢复到托管时间
EnterMaskInstacneTime	3	进入隐藏关卡倒计时
GuildInformationTime	60	隐藏npc发送帮派信息冷却时间（s）
SystemInformationTime	60	隐藏npc发送系统信息冷却时间（s）
guildNameChangeItemId	3156	帮会修改名称消耗的道具
censorshipOrdinary	-1	剧情普通关卡挑战次数
censorshipElite	10	剧情精英关卡挑战次数
LostTargetProtectBuf	40001	关卡事件用的保护buff
TransmitDistance	200	使用传送石距离
maxFriendList	10	好友最大数量
maxBlacklist	30	黑名单最大数量
maxEnemyList	30	仇敌最大数量
maxRecentlyList	30	最近联系人最大数量
maxOfflineChatMessage	1000	同一ID离线聊天最大保存数量
offlineChatKeepTime	2592000	离线聊天保存时间（s）
maxFriendSysMessage	5	好友系统的系统消息最大保存数量
petReliveCD	20	宠物死后复活要等多久
vitalityMutiply	6	获得活力（活跃度的倍数）
vitalityMaxMutiply	25	获得活力上限（等级的倍数）
FightAttrParam1	340	防御计算参数1（例：500）
FightAttrParam2	80	防御计算参数2（例：140）
CollectParam	1	采集加工通用时间
maxMailCntSystem	255	系统邮件最大数量
maxMailCntTrade	10	交易邮件最大数量
maxMailCntGuild	10	帮派邮件最大数量
PetSkillLockNum	1482,1|1482,2|1482,4	宠物技能锁定消耗材料
TeamDistance	30	组队进副本的队员距离判断
PlayQianchenwangshi	19	活动-前尘往事ID
DefaultFastBloodId	3741	主界面快捷补血没有道具时默认的物品ID
WorldPersonalityEventDailyCnt	3	个性奇遇每天最大次数
WorldPersonalityUnactiveOverTime	900	个性奇遇未激活超时时间（单位：秒）
WorldPersonalityPlayingOverTime	600	个性奇遇执行超时时间（单位：秒）
PetsResetPointTimes	3	宠物免费重置点数次数
PetsResetPointItem	1471	灵兽加点重置消耗道具——返本还源
shangHuiAutoRefreshCD	300	商会自动刷新时间间隔（单位：秒）
openBagGridCostId	1	背包开格子的货币id
openBagGridCost	500000	背包开一行格子的价格（一行=5格）
BloodPoolRecover	0.5|5	角色脱战后血池回血量（时间|百分比血量，时间单位=秒）
BloodPoolPerformanceLimit	1000000	血池表现上限
BloodPoolTrueLimit	10000000	血池真实上限
BloodDrug	3740|3741|3742|3743|3744|3745|3746	角色血药罗列-对应道具表子类型12的道具ID
BloodPoolDrug	3748|3749	角色血池血药罗列-对应道具表子类型14的道具ID
PetBloodDrug	3751|3752|3753|3754|3755|3756	灵兽血药罗列-对应道具表子类型13的道具ID
PetSavvyMax	300	灵兽悟性上限值
DemonplotSkillItem	3690；3691	炼妖壶技能道具
DemonplotSkillExpValue	10	炼妖壶技能提升经验值
DemonplotOpenLv	40	炼妖壶开启等级
ClothingDyeing	3111|3	服装染色道具消耗（道具id|道具数量）
FaceChange	3112|1	易容消耗（道具id|道具数量）
FaceTypeHoldNumber0	3	易容基准类型0保存预设数量
FaceTypeHoldNumber1	3	易容基准类型1保存预设数量
