ID	name	备注	系统频道	队伍频道	组队频道	世界频道	帮派频道	战斗频道	跑马灯	系统消息	飘字提示	离线通知	是否群发	是否弹窗提示	字段数量	信息描述
id:group	name:group	desc	showInSystemChannel	showInTeamChannel	teamSay	showInWorldChannel	showInGuildChannel	n_showInBattleChannel	showInHorseLantern	showInFriendSystemMessage	n_showTip	offlinenotice	needBroadCast	needPopUpBox	propertyCount	messageDes
int	str	str	bool	bool	bool	bool	bool	bool	bool	bool	bool	bool	bool	bool	int	str
1	exp	登录信息	1										1		0	欢迎来到轩辕剑·剑之源，祝您游戏愉快！
2		主角获得经验	1										1		1	你获得了<&/G2/n1>经验
3		主角等级提升	1										1		1	恭喜你升到了<&/G2/n1>级！
4		灵兽获得经验	1										1		2	您的<&/G2/n1>，获得了<&/G2/n2>经验
5		获得个性值	1										1		2	您的<&/G2/n1>个性值增加<&/G2/n2>
6		灵兽学技能	1										1		3	您的<&/G2/n1>学会了<&/G2/n2>，同时遗忘了<&/R1/n3>
7		灵兽学习新技能	1										1		2	您的<&/G2/n1>学会了<&/G2/n2>
8		添加好友成功信息								1			1		0	我已经是你的好友啦，快来愉快的聊天吧~
9		好友系统聊天提示								1			1		0	欢迎来到好友系统…
10		场景任务同步	1										1		0	场景限制不能同步任务！
11		场景召唤传送	1										1		0	场景不支持召唤传送！
12		场景组队限制	1										1		0	场景不支持组队！
13		切换场景条件	1										1		0	隐身状态不能切场景！
14		切换场景条件	1										1		0	PK值大于100，不能切场景！
15		帮会成立广播	1										2		2	<&/B2/n1>成功创建了<&/Y2/n2>氏族，各方好友快来加入氏族，一起共战江湖吧！
16		隐藏NPC公告	1										2		0	一片祥云飘过之后在神州大地出现了1个迷失方向的人，正在等着有缘的玩家给他们指明方向！
17		天降宝箱开始	1										2		1	一片祥云飘过之后在<&/G2/n1>出现了不少宝箱，正在等着有缘的玩家开启！
18		天降宝箱结束	1										2		0	一阵狂风后不知哪路神仙又收回了散落在人间的宝箱
19		板泉之战开始报名	1										2		0	板泉之战开始!
20		板泉之战	1										1		1	你击杀敌方单位，获得<&/G2/n1>点积分
21		板泉之战	1										1		1	你协助击杀敌方单位，获得<&/G2/n1>点积分
22		板泉之战	1										1		1	你救活队友，获得<&/G2/n1>点积分
23		板泉之战	1										1		1	你被敌人击杀，扣取<&/G2/n1>点积分
24		板泉之战	1										2		2	<&/G2/n1>占领了<&/G2/n2>，速去支援！！
25		板泉之战	1										2		3	<&/G2/n1>占领了<&/G2/n2>，你增加了<&/G2/n3>点占领积分
26		板泉之战	1										2		2	成功镇守<&/G2/n1>，获得<&/G2/n2>点积分
27		板泉之战	1										1		0	你获得了XX旗，交给XXNPC可获得战场积分
28		板泉之战	1										1		1	成功交旗，获得<&/G2/n1>点积分
29		板泉之战	1										2		0	胜利！！
