ID	屏蔽内容
id:group	desc
int	str
1	毛泽东
2	周恩来
3	刘少奇
4	朱德
5	彭德怀
6	林彪
7	刘伯承
8	陈毅
9	贺龙
10	聂荣臻
11	徐向前
12	罗荣桓
13	叶剑英
14	李大钊
15	陈独秀
16	孙中山
17	孙文
18	孙逸仙
19	邓小平
20	陈云
21	江泽民
22	李鹏
23	朱镕基
24	李瑞环
25	尉健行
26	李岚清
27	胡锦涛
28	罗干
29	温家宝
30	吴邦国
31	曾庆红
32	贾庆林
33	黄菊
34	吴官正
35	李长春
36	吴仪
37	回良玉
38	曾培炎
39	周永康
40	曹刚川
41	唐家璇
42	华建敏
43	陈至立
44	陈良宇
45	张德江
46	张立昌
47	张德江
48	俞正声
49	刘云山
50	王岐山
51	张高丽
52	王乐泉
53	刘云山
54	王刚
55	王兆国
56	刘淇
57	贺国强
58	郭伯雄
59	胡耀邦
60	王乐泉
61	王兆国
62	周永康
63	李登辉
64	连战
65	陈水扁
66	宋楚瑜
67	吕秀莲
68	郁慕明
69	蒋介石
70	蒋中正
71	蒋经国
72	马英九
73	习近平
74	李克强
75	吴帮国
76	无帮国
77	无邦国
78	无帮过
79	瘟家宝
80	假庆林
81	甲庆林
82	假青林
83	离长春
84	习远平
85	袭近平
86	李磕墙
87	贺过墙
88	和锅枪
89	粥永康
90	轴永康
91	肘永康
92	周健康
93	粥健康
94	周小康
95	李肇星务
96	国务委员
97	国务院
98	中央委员
99	发改委
100	国家发展和改革委员会
101	发展和改革委员会
102	国家发展与改革委员会
103	发展与改革委员会
104	薄熙来
105	温家饱
106	温假饱
107	胡惊涛
108	习仲勋
109	华国锋
110	彭麗媛
111	新闻出版总署
112	新闻出版署
113	布什
114	布莱尔
115	小泉
116	纯一郎
117	萨马兰奇
118	安南
119	阿拉法特
120	普京
121	默克尔
122	克林顿
123	里根
124	尼克松
125	林肯
126	杜鲁门
127	赫鲁晓夫
128	列宁
129	斯大林
130	马克思
131	恩格斯
132	金正日
133	金日成
134	萨达姆
135	胡志明
136	西哈努克
137	希拉克
138	撒切尔
139	阿罗约
140	曼德拉
141	卡斯特罗
142	富兰克林
143	华盛顿
144	艾森豪威尔
145	拿破仑
146	亚历山大
147	路易
148	拉姆斯菲尔德
149	劳拉
150	鲍威尔
151	奥巴马
152	本拉登
153	奥马尔
154	柴玲
155	达赖喇嘛
156	江青
157	张春桥
158	姚文元
159	王洪文
160	东条英机
161	希特勒
162	墨索里尼
163	冈村秀树
164	冈村宁次
165	高丽朴
166	赵紫阳
167	王丹
168	沃尔开西
169	李洪志
170	李大师
171	赖昌星
172	马加爵
173	班禅
174	额尔德尼
175	山本五十六
176	阿扁
177	阿扁万岁
178	热那亚
179	热比娅
180	尖阁列岛
181	实际神
182	东方闪电
183	全能神
184	安倍晋三
185	金正恩
186	金三胖
187	恐怖组织
188	买毒品
189	卖毒品
190	茉莉花
191	钓鱼岛
192	钓鱼岛不属于中国
193	突尼斯
194	gongchandang
195	西藏314事件
196	新疆7.5事件
197	新疆国
198	党中央
199	新闻管制
200	一边一国
201	两国论
202	分裂中国
203	革命
204	茉莉花
205	突尼斯
206	国内动态详情
207	回回
208	六四
209	六四运动
210	美国之音
211	密宗
212	民国
213	民进党
214	民运
215	民主
216	民主潮
217	摩门教
218	纳粹
219	南华早报
220	南蛮
221	明慧网
222	起义
223	亲民党
224	瘸腿帮
225	人民报
226	法轮功
227	法轮大法
228	打倒共产党
229	台独万岁
230	圣战
231	示威
232	台独
233	台独分子
234	台联
235	台湾民国
236	台湾岛国
237	台湾国
238	台湾独立
239	太子党
240	天安门事件
241	屠杀
242	小泉
243	新党
244	新疆独立
245	新疆分裂
246	新疆国
247	疆独
248	西藏独立
249	西藏分裂
250	西藏国
251	藏独
252	藏青会
253	藏妇会
254	学潮
255	学运
256	一党专政
257	一中一台
258	两个中国
259	一贯道
260	游行
261	造反
262	真善忍
263	镇压
264	政变
265	政治
266	政治反对派
267	政治犯
268	中共
269	共产党
270	反党
271	反共
272	政府
273	民主党
274	中国之春
275	转法轮
276	自焚
277	共党
278	共匪
279	苏家屯
280	基地组织
281	塔利班
282	东亚病夫
283	支那
284	高治联
285	高自联
286	专政
287	专制
288	世界维吾尔大会
289	核工业基地
290	核武器
291	铀
292	原子弹
293	氢弹
294	导弹
295	核潜艇
296	大参考
297	小参考
298	国内动态清样
299	台湾独立好
300	法轮功最好
301	黄页
302	释迦牟尼
303	阿弥陀佛
304	多维
305	河殇
306	摩门教
307	穆罕默德
308	圣战
309	耶和华
310	耶稣
311	伊斯兰
312	真主安拉
313	白莲教
314	天主教
315	基督教
316	东正教
317	大法
318	法轮
319	法轮功
320	瘸腿帮
321	真理教
322	真善忍
323	转法轮
324	自焚
325	走向圆满
326	黄大仙
327	跳大神
328	神汉
329	神婆
330	真理教
331	大卫教
332	阎王
333	黑白无常
334	牛头马面
335	藏独
336	高丽棒子
337	疆独
338	蒙古鞑子
339	台独
340	台独分子
341	台联
342	台湾民国
343	西藏独立
344	新疆独立
345	南蛮
346	老毛子
347	回民吃猪肉
348	回民是猪
349	k粉
350	古柯碱
351	谋杀
352	杀人
353	吸毒
354	贩毒
355	赌博
356	拐卖
357	走私
358	卖淫
359	造反
360	强奸
361	轮奸
362	抢劫
363	先奸后杀
364	押大
365	押小
366	押注
367	下注
368	抽头
369	坐庄
370	赌马
371	赌球
372	筹码
373	老虎机
374	轮盘赌
375	安非他命
376	大麻
377	可卡因
378	海洛因
379	冰毒
380	摇头丸
381	杜冷丁
382	鸦片
383	罂粟
384	迷幻药
385	白粉
386	嗑药
387	吸毒
388	冰毒
389	冰粉
390	二奶
391	偷窥图片
392	成人影片
393	AV电影下载
394	夫妻床上激情自拍
395	处女
396	房事
397	押大
398	押小
399	坐台
400	猥亵
401	猥琐
402	肉欲
403	肉体
404	排泄
405	卵子
406	搞基
407	约炮
408	撸管子
409	处男
410	黄盘
411	毛盘
412	艾滋病
413	性病
414	叫春
415	牛B
416	牛比
417	J8
418	小姐兼职
419	交媾
420	毛片
421	黄片
422	交配
423	房事
424	性事
425	偷窥
426	马拉戈壁
427	AIDS
428	aids
429	Aids
430	DICK
431	dick
432	Dick
433	penis
434	sex
435	SM
436	屙
437	爱滋
438	淋病
439	梅毒
440	爱液
441	屄
442	逼
443	臭机八
444	臭鸡巴
445	吹喇叭
446	吹箫
447	催情药
448	屌
449	肛交
450	肛门
451	龟头
452	黄色
453	机八
454	机巴
455	鸡八
456	鸡巴
457	机掰
458	机巴
459	鸡叭
460	鸡鸡
461	鸡掰
462	鸡奸
463	妓女
464	奸
465	茎
466	精液
467	精子
468	尻
469	口交
470	滥交
471	乱交
472	轮奸
473	卖淫
474	屁眼
475	嫖娼
476	强奸
477	强奸犯
478	情色
479	肉棒
480	乳房
481	乳峰
482	乳交
483	乳头
484	乳晕
485	三陪
486	色情
487	射精
488	手淫
489	威而钢
490	威而柔
491	伟哥
492	性高潮
493	性交
494	性虐
495	性欲
496	穴
497	颜射
498	阳物
499	一夜情
500	阴部
501	阴唇
502	阴道
503	阴蒂
504	阴核
505	阴户
506	阴茎
507	阴门
508	淫
509	淫秽
510	淫乱
511	淫水
512	淫娃
513	淫液
514	淫汁
515	淫穴
516	淫洞
517	援交妹
518	做爱
519	梦遗
520	阳痿
521	早泄
522	奸淫
523	性欲
524	性交
525	Bitch
526	bt
527	cao
528	FUCK
529	Fuck
530	fuck
531	kao
532	NMD
533	NND
534	sb
535	shit
536	SHIT
537	SUCK
538	Suck
539	tmd
540	TMD
541	tnnd
542	K他命
543	白痴
544	笨蛋
545	屄
546	变态
547	婊子
548	操她妈
549	操妳妈
550	操你
551	操你妈
552	操他妈
553	草你
554	肏
555	册那
556	侧那
557	测拿
558	插
559	蠢猪
560	荡妇
561	发骚
562	废物
563	干她妈
564	干妳
565	干妳娘
566	干你
567	干你妈
568	干你妈B
569	干你妈b
570	干你妈逼
571	干你娘
572	干他妈
573	狗娘养的
574	滚
575	鸡奸
576	贱货
577	贱人
578	烂人
579	老母
580	老土
581	妈比
582	妈的
583	马的
584	妳老母的
585	妳娘的
586	你妈逼
587	破鞋
588	仆街
589	去她妈
590	去妳的
591	去妳妈
592	去你的
593	去你妈
594	去死
595	去他妈
596	日
597	日你
598	赛她娘
599	赛妳娘
600	赛你娘
601	赛他娘
602	骚货
603	傻B
604	傻比
605	傻子
606	上妳
607	上你
608	神经病
609	屎
610	屎妳娘
611	屎你娘
612	他妈的
613	王八蛋
614	我操
615	我日
616	乡巴佬
617	猪猡
618	屙
619	干
620	尿
621	掯
622	屌
623	操
624	骑你
625	湿了
626	操你
627	操他
628	操她
629	骑你
630	骑他
631	骑她
632	欠骑
633	欠人骑
634	来爽我
635	来插我
636	干你
637	干他
638	干她
639	干死
640	干爆
641	干机
642	FUCK
643	机叭
644	臭鸡
645	臭机
646	烂鸟
647	览叫
648	阳具
649	肉棒
650	肉壶
651	奶子
652	摸咪咪
653	干鸡
654	干入
655	小穴
656	强奸
657	插你
658	插你
659	爽你
660	爽你
661	干干
662	干X
663	我操
664	他干
665	干它
666	干牠
667	干您
668	干汝
669	干林
670	操林
671	干尼
672	操尼
673	我咧干
674	干勒
675	干我
676	干到
677	干啦
678	干爽
679	欠干
680	狗干
681	我干
682	来干
683	轮干
684	轮流干
685	干一干
686	援交
687	骑你
688	我操
689	轮奸
690	鸡奸
691	奸暴
692	再奸
693	我奸
694	奸你
695	奸你
696	奸他
697	奸她
698	奸一奸
699	淫水
700	淫湿
701	鸡歪
702	仆街
703	臭西
704	尻
705	遗精
706	烂逼
707	大血比
708	叼你妈
709	靠你妈
710	草你
711	干你
712	日你
713	插你
714	奸你
715	戳你
716	逼你老母
717	挨球
718	我日你
719	草拟妈
720	卖逼
721	狗操卖逼
722	奸淫
723	日死
724	奶子
725	阴茎
726	奶娘
727	他娘
728	她娘
729	骚B
730	你妈了妹
731	逼毛
732	插你妈
733	叼你
734	渣波波
735	嫩b
736	weelaa
737	缔顺
738	帝顺
739	蒂顺
740	系统消息
741	午夜
742	看下
743	草泥马
744	法克鱿
745	雅蠛蝶
746	潜烈蟹
747	菊花蚕
748	尾申鲸
749	吉跋猫
750	搞栗棒
751	吟稻雁
752	达菲鸡
753	SM
754	ML
755	3P
756	群P
757	马勒戈壁
758	双飞
759	FALUNDAFA
760	falundafa
761	周恩來
762	碡 
763	籀
764	朱駿 
765	朱狨基
766	朱容基
767	朱溶剂
768	朱熔基
769	朱镕基
770	邾
771	猪操
772	猪聋畸
773	猪毛
774	猪毛1
775	舳
776	瘃
777	躅
778	翥
779	專政
780	颛
781	丬
782	隹
783	窀
784	卓伯源
785	倬
786	斫
787	诼
788	髭
789	鲻
790	子宫
791	秭
792	訾
793	自焚
794	自民党
795	自慰
796	自已的故事
797	自由民主论坛
798	总理
799	偬
800	诹
801	陬
802	鄹
803	鲰
804	躜
805	缵
806	作爱
807	作秀
808	阼
809	祚
810	做爱
811	阿扁萬歲
812	阿萊娜
813	啊無卵
814	埃裏克蘇特勤
815	埃斯萬
816	艾麗絲
817	愛滋
818	愛滋病
819	垵
820	暗黑法師
821	嶴
822	奧克拉
823	奧拉德
824	奧利弗
825	奧魯奇
826	奧倫
827	奧特蘭
828	㈧
829	巴倫侍從
830	巴倫坦
831	白立樸
832	白夢
833	白皮書
834	班禪
835	寶石商人
836	保釣
837	鮑戈
838	鮑彤
839	鮑伊
840	暴風亡靈
841	暴亂
842	暴熱的戰士
843	暴躁的城塔野獸
844	暴躁的警衛兵靈魂
845	暴躁的馬杜克
846	北大三角地論壇
847	北韓
848	北京當局
849	北美自由論壇
850	貝尤爾
851	韝
852	逼樣
853	比樣
854	蹕
855	颮
856	鑣
857	婊子養的 
858	賓周
859	冰後
860	博訊
861	不滅帝王
862	不爽不要錢
863	布萊爾
864	布雷爾
865	蔡崇國
866	蔡啓芳
867	蔡英文
868	黲
869	操鶏
870	操那嗎B
871	操那嗎逼
872	操那嗎比
873	操你媽
874	操你爺爺
875	曹長青
876	曹剛川
877	草
878	草你媽
879	草擬媽
880	册那娘餓比
881	插那嗎B
882	插那嗎逼
883	插那嗎比
884	插你媽
885	插你爺爺
886	覘
887	蕆
888	囅
889	閶
890	長官沙塔特
891	常勁
892	朝鮮
893	車侖
894	車侖女幹
895	沉睡圖騰
896	陳炳基
897	陳博志
898	陳定南
899	陳建銘
900	陳景俊
901	陳菊
902	陳軍
903	陳良宇
904	陳蒙
905	陳破空
906	陳水扁
907	陳唐山
908	陳希同
909	陳小同
910	陳宣良
911	陳學聖
912	陳一諮
913	陳總統
914	諶
915	齔
916	櫬
917	讖
918	程凱
919	程鐵軍
920	鴟
921	痴鳩
922	痴拈
923	遲鈍的圖騰
924	持不同政見 
925	赤色騎士
926	赤色戰士
927	處女膜
928	傳染性病
929	吹簫
930	春夏自由論壇
931	戳那嗎B
932	戳那嗎逼
933	戳那嗎比
934	輳
935	鹺
936	錯B
937	錯逼
938	錯比
939	錯那嗎B
940	錯那嗎逼
941	錯那嗎比
942	達夫警衛兵
943	達夫侍從
944	達癩
945	打飛機
946	大參考
947	大東亞
948	大東亞共榮
949	大鶏巴
950	大紀元
951	大紀元新聞網
952	大紀園
953	大家論壇
954	大奶媽
955	大史記
956	大史紀
957	大衛教
958	大中國論壇
959	大中華論壇
960	大衆真人真事
961	紿
962	戴維教
963	戴相龍
964	彈劾
965	氹
966	蕩婦
967	導師
968	盜竊犯
969	德維爾
970	登輝
971	鄧笑貧
972	糴
973	迪裏夏提
974	覿
975	地下教會
976	帝國主義
977	電視流氓
978	叼你媽
979	釣魚島
980	丁關根
981	東北獨立
982	東部地下水路
983	東方紅時空
984	東方時空
985	東南西北論談
986	東社
987	東升
988	東條
989	東條英機
990	東突暴動
991	東突獨立
992	東土耳其斯坦
993	東西南北論壇
994	東亞
995	東院看守
996	動亂
