配方ID	类型	技能类型	产出道具	产出副道具	产出副道具概率	采集需要道具	消耗耐久	产地ID	产地	产地名称	制作材料	特殊配方	所需等级	消耗活力	增加熟练度	吟唱动作ID	备注名
id	type:group	skilltype	produce	byproduce	byproducerate	useitemid	durable	senceid	producemap	producemapname	matchinitems	specail	needlv	needenergy	exp	singid	
int	enum:DemonplotType	enum:DemonplotSkillType	ProduceData	ProduceData	int	int	int	int	str	str	MatchinData	int	int	int	int	int	
1001	1	1	3704;1			3700	1	996	caiji1				1	6	1	1	止血草
1002	1	1	3705;1			3700	1	996	caiji2				10	6	1	1	凤尾草
1003	1	1	3706;1			3700	1	996	caiji3				20	6	1	1	雪见草
1004	1	1	3707;1			3700	1	996	caiji4				30	6	1	1	夏枯草
1011	1	1	3711;1			3700	1	996	caiji7				5	6	1	1	朱果
1012	1	1	3712;1			3700	1	996	caiji8				15	6	1	1	海檬果
1013	1	1	3713;1			3700	1	996	caiji9				25	6	1	1	血蟠桃
1014	1	1	3714;1			3700	1	996	caiji10				35	6	1	1	罗汉果
1021	1	2	3721;1			3703	1	996	caiji13				1	6	1	1	丹砂
1022	1	2	3722;1			3703	1	996	caiji14				10	6	1	1	雄黄
1023	1	2	3723;1			3703	1	996	caiji15				20	6	1	1	云母
1024	1	2	3724;1			3703	1	996	caiji16				30	6	1	1	金晶
1031	1	2	3731;1			3703	1	996	caiji19				5	6	1	1	山泉 
1032	1	2	3732;1			3703	1	996	caiji20				15	6	1	1	玉蜂露
1033	1	2	3733;1			3703	1	996	caiji21				25	6	1	1	无根水
1034	1	2	3734;1			3703	1	996	caiji22				35	6	1	1	千年雪水
1041	1	3	3741;1					996	caiji25		3704;1,3711;1		1	10	1	2	仙魄露
1042	1	3	3742;1					996	caiji26		3705;1,3712;1		10	10	1	2	凤仙露
1043	1	3	3743;1					996	caiji27		3706;1,3713;1		20	10	1	2	蟠龙碧露
1044	1	3	3744;1					996	caiji28		3707;1,3714;1		30	10	1	2	琼华虎魄露
1051	1	3	3751;1					996	caiji31		3704;1,3731;1		5	10	1	2	血还丹
1052	1	3	3752;1					996	caiji32		3705;1,3732;1		15	10	1	2	凝神丹
1053	1	3	3753;1					996	caiji33		3706;1,3733;1		25	10	1	2	万灵丹
1054	1	3	3754;1					996	caiji34		3707;1,3734;1		35	10	1	2	活络灵丹
1061	1	4	1442;1					996	caiji37		3711;5,3721;5		5	50	1	2	十邪散
1062	1	4	1443;1					996	caiji38		3712;5,3722;5		15	50	1	2	百邪散
1063	1	4	1444;1					996	caiji39		3713;5,3723;5		25	50	1	2	万灵散
1064	1	4	1445;1					996	caiji40		3714;5,3724;5		35	50	1	2	养魂散
1071	1	5	3770;1					996	caiji41		3721;3,3731;3		10	20	1	2	随机初级护符
1072	1	5	3780;1					996	caiji42		3722;3,3732;3		20	20	1	2	随机中级护符
1073	1	5	3790;1					996	caiji43		3723;3,3733;3		30	20	1	2	随机高级护符
1074	1	5	3800;1					996	caiji44		3724;3,3734;3		40	20	1	2	随机顶级护符
