技能等级	升级熟练度	贡献	修为
id	exp	familyvalue	xiuwei
int	int	int	int
1	40	1	1
2	40	2	2
3	60	3	3
4	60	4	4
5	120	5	5
6	120	6	6
7	120	7	7
8	120	8	8
9	120	9	9
10	150	10	10
11	150	11	11
12	150	12	12
13	150	13	13
14	150	14	14
15	250	15	15
16	250	16	16
17	250	17	17
18	250	18	18
19	250	19	19
20	500	20	20
21	500	21	21
22	500	22	22
23	500	23	23
24	500	24	24
25	1000	25	25
26	1000	26	26
27	1000	27	27
28	1000	28	28
29	1000	29	29
30	2500	30	30
31	2500	31	31
32	2500	32	32
33	2500	33	33
34	2500	34	34
35	2500	35	35
36	2500	36	36
37	2500	37	37
38	2500	38	38
39	2500	39	39
40	0	40	40
