物品id	商店ID	物品名称	职业限制	购买所需的货币1	货币1数量	购买所需的货币2	货币2数量	兑换所需材料	所需材料数量	购买等级	每日购买次数限制	每周购买次数限制
itemid	id	itemname	joblimit	currency1id	currency1num	currency2id	currency2num	materialid	materialnum	level	daylimit	weeklimit
int	int	str	JobMask	int	int	int	int	int	int	int	int	int
3154	1	氏族修炼丹		15	20						20	
1453	1	资质丹（绑）		15	110						2	
1485	1	普通技能书宝箱		15	600	2	10000				1	
2607	1	门派称号•天剑	1	15	600					1	1	
2608	1	门派称号•墨家	2	15	600					1	1	
2609	1	门派称号•鬼谷	3	15	600					1	1	
2610	1	门派称号•七曜	4	15	600					1	1	
1525	1	碟仙元神珠		15	600						1	
2701	1	《三环套月》	1	15	450	2	600000	2611	15		1	
2702	1	《白云出岫》	1	15	450	2	600000	2611	15		1	
2703	1	《云内斩草》	1	15	450	2	600000	2611	15		1	
2704	1	《横剑摆渡》	1	15	450	2	600000	2611	15		1	
2705	1	《金蝉脱壳》	1	15	450	2	600000	2611	15		1	
2706	1	《迎风挥扇》	1	15	450	2	600000	2611	15		1	
2707	1	《追星赶月》	1	15	450	2	600000	2611	15		1	
2708	1	《六合独尊》	1	15	450	2	600000	2611	15		1	
2709	1	《仙人指路》	1	15	450	2	600000	2611	15		1	
2710	1	《飞虹贯日》	1	15	450	2	600000	2611	15		1	
2711	1	《大道无术》	1	15	450	2	600000	2611	15		1	
2712	1	《腾蛟起凤》	1	15	450	2	600000	2611	15		1	
2713	1	《仙人脱衣》	1	15	450	2	600000	2611	15		1	
2721	1	《墨剑•三式》	2	15	450	2	600000	2611	15		1	
2722	1	《墨剑•诛心》	2	15	450	2	600000	2611	15		1	
2723	1	《墨拳•非攻》	2	15	450	2	600000	2611	15		1	
2724	1	《墨剑•杀生》	2	15	450	2	600000	2611	15		1	
2725	1	《墨拳•错步》	2	15	450	2	600000	2611	15		1	
2726	1	《墨剑•奔袭》	2	15	450	2	600000	2611	15		1	
2727	1	《墨拳•守缺》	2	15	450	2	600000	2611	15		1	
2728	1	《机关术•烟弹》	2	15	450	2	600000	2611	15		1	
2729	1	《机关术•木雷》	2	15	450	2	600000	2611	15		1	
2730	1	《墨剑•狂影》	2	15	450	2	600000	2611	15		1	
2731	1	《墨剑•斩影》	2	15	450	2	600000	2611	15		1	
2732	1	《墨拳•守缺》	2	15	450	2	600000	2611	15		1	
2733	1	《机关术•连弩》	2	15	450	2	600000	2611	15		1	
2741	1	《符道•破》	3	15	450	2	600000	2611	15		1	
2742	1	《符道•惩》	3	15	450	2	600000	2611	15		1	
2743	1	《符道•散》	3	15	450	2	600000	2611	15		1	
2744	1	《符道•愈》	3	15	450	2	600000	2611	15		1	
2745	1	《鬼道•缚》	3	15	450	2	600000	2611	15		1	
2746	1	《鬼道•幻》	3	15	450	2	600000	2611	15		1	
2747	1	《鬼道•诈》	3	15	450	2	600000	2611	15		1	
2748	1	《符道•惊》	3	15	450	2	600000	2611	15		1	
2749	1	《天道•生》	3	15	450	2	600000	2611	15		1	
2750	1	《天道•涤》	3	15	450	2	600000	2611	15		1	
2751	1	《天道•罚》	3	15	450	2	600000	2611	15		1	
2752	1	《天道•灭》	3	15	450	2	600000	2611	15		1	
2753	1	《天道•寂》	3	15	450	2	600000	2611	15		1	
2605	1	门派心得		2	50000			2606	1		2	
2606	1	门派金券		15	200	1	100000				1	
3692	2	工匠手册		20	8						5	
1000	2	随机装备灵石		20	80						5	
1112	2	玄天石		20	25						2	
1161	2	百炼之器		20	25						2	
1311	2	月白石		20	15						10	
1906	2	灵魄		20	50						10	
1486	2	高级技能书宝箱		20	750	2	350000				1	
3693	2	高级工匠手册		20	18						5	
1529	2	阿奇元神珠		20	300						1	
985	5	入梦剂		18	100						1	
980	5	轮回盘		18	100						5	
1482	5	灵澈露		18	120						15	
1521	5	炸弹人元神珠		18	500						1	
1487	5	特技技能书宝箱		18	750	2	500000				1	
3700	8	锄头		23	20					
3701		镰刀		23	20	
3702		鱼竿		23	20	
3703	8	金葫芦		23	20	
3102	8	金盛宝树树种		23	540						1	
3103	8	金枝玉露		23	70						3	
1903	20	星耀锥						1930	5		1	
2121	20	蛇石印						1930	20		1	
2122	20	鼠槌						1930	20		1	
2123	20	暗杀宝录						1930	20		1	
2124	20	龙帆						1930	20		1	
2125	20	洞察光环						1930	20		1	
2126	20	五行盘						1930	20		1	
2127	20	乾坤袋						1930	20		1	
2128	20	鬼鸡爪子						1930	20		1	
2129	20	奇魄古玉						1930	20		1	
2130	20	庖丁菜刀						1931	40		1	
2131	20	青龙灵珠						1931	40		1	
2132	20	沙尘之珠						1931	40		1	
2133	20	玄武之沂						1931	40		1	
2134	20	阴阳镜						1931	40		1	
2135	20	白虎风牙						1931	40		1	
2136	20	朱雀火羽						1931	40		1	
