强化等级	类型	消耗材料	消耗数量	增加属性百分比
level	types	materialCostId	materialCostCount	increasePercent
int	str	int	int	float
1	1,2,3,4,5,6,7,8,9	1041	1	2
2	1,2,3,4,5,6,7,8,9	1041	1	2
3	1,2,3,4,5,6,7,8,9	1041	1	2
4	1,2,3,4,5,6,7,8,9	1042	1	2
5	1,2,3,4,5,6,7,8,9	1042	1	2
6	1,2,3,4,5,6,7,8,9	1042	1	2
7	1,2,3,4,5,6,7,8,9	1043	1	2
8	1,2,3,4,5,6,7,8,9	1043	1	2
9	1,2,3,4,5,6,7,8,9	1043	1	2
10	1,2,3,4,5,6,7,8,9	1044	1	2
11	1,2,3,4,5,6,7,8,9	1044	1	2
12	1,2,3,4,5,6,7,8,9	1044	1	2
13	1,2,3,4,5,6,7,8,9	1045	1	2
14	1,2,3,4,5,6,7,8,9	1045	1	2
15	1,2,3,4,5,6,7,8,9	1045	1	2
16	1,2,3,4,5,6,7,8,9	1046	1	2
17	1,2,3,4,5,6,7,8,9	1046	1	2
18	1,2,3,4,5,6,7,8,9	1046	1	2
19	1,2,3,4,5,6,7,8,9	1047	1	2
20	1,2,3,4,5,6,7,8,9	1047	1	2
