id	名称	备注	力量	智慧	根骨	体魄	敏捷	身法	额外伤害	伤害减免	暴击等级	暴击伤害等级	暴击防御等级	暴击伤害减免等级	命中等级	回避等级	招架等级	物理穿透等级	法术穿透等级	金抗性	木抗性	水抗性	火抗性	土抗性	全属性抗性	金伤害	木伤害	水伤害	火伤害	土伤害
id	sEquipName	 Notes																												
int	str	str																												
11091	传世剑	充值赠送	14		14	14																								
11092	传世刃	充值赠送	14		14		14																							
11093	传世铃	充值赠送		14		14		14																						
11094	1级红色环	充值赠送		14		14	14																							
11095	1级红色弓	充值赠送	14		14		14																							
11096	1级红色枪	充值赠送	14				14	14																						
11101	钢剑	10级紫色	6																											
11102	10级短剑	10级紫色	6																											
11103	10级法器	10级紫色		6																										
11104	10级环	10级紫色		4		4																								
11105	10级弓	10级紫色	6																											
11106	10级枪	10级紫色	6																											
11361	35级剑·紫		12						10		15																			
11362	35级短剑·紫		12						10		15																			
11363	35级法器·紫			12					10		15																			
11364	35级环·紫			12					10		15																			
11365	35级弓·紫		12						10		15																			
11366	35级枪·紫		12						10		15																			
12001	40级剑·紫				14																									
12002	40级短剑·紫						14																							
12003	40级法器·紫					14																								
12004	40级环·紫			14																										
12005	40级弓·紫		14																											
12006	40级枪·紫		14																											
12011	40头盔·紫·天剑		14																											
12012	40胸甲·紫·天剑				14																									
12013	40手套·紫·天剑		14																											
12014	40裤子·紫·天剑				14																									
12015	40鞋子·紫·天剑		14																											
12021	40头盔·紫·墨家						14																							
12022	40胸甲·紫·墨家						14																							
12023	40手套·紫·墨家						14																							
12024	40裤子·紫·墨家						14																							
12025	40鞋子·紫·墨家						14																							
12031	40头盔·紫·鬼谷			14																										
12032	40胸甲·紫·鬼谷					14																								
12033	40手套·紫·鬼谷			14																										
12034	40裤子·紫·鬼谷					14																								
12035	40鞋子·紫·鬼谷			14																										
12041	40头盔·紫·七曜			14																										
12042	40胸甲·紫·七曜			14																										
12043	40手套·紫·七曜			14																										
12044	40裤子·紫·七曜			14																										
12045	40鞋子·紫·七曜			14																										
12081	4物攻项链·紫		14																											
12082	40物攻项链·紫			14																										
12083	40物攻戒指·紫		14																											
12084	40法攻戒指·紫			14																										
12085	40物攻饰品·紫						14																							
12086	40法攻饰品·紫						14																							
