id	道具id	名字	等级下限	等级上限	权重	数量	随机数量
groupId:group	itemId	name	minLevel	maxLevel	weight	num	random
int	int	str	int	int	int	int	RandomCount
1	1001	1级武器强化石	1	100	50		1|4
1	1002	2级武器强化石	1	100	40	5	
1	1101	重铸石	10	100	10		1|3
2	3001	七夕礼包	10	100	10	1	
3	1	铜贝	1	150	20		10|999999
3	1001	1级武器强化石	1	150	10		1|4
3	1901	1级突破石	1	150	10		1|3
3	1401	金柳露	1	150	10		1|5
3	1301	低级炼化石	1	150	10		1|2
3	1101	重铸石	1	150	10		1|7
4	1	银贝	1	150	100	10000	
5	1	银贝	1	150	100	20000	
6	1001	1级武器强化石	1	150	100	3	
7	1002	2级武器强化石	1	150	100	2	
8	1003	3级武器强化石	1	150	100	1	
50	222	修为丹书	1	150	300	1	
50	111	5碧玉	1	150	200	1	
50	112	10碧玉	1	150	200	1	
50	114	100碧玉	1	150	50	1	
50	101	5万银贝	1	150	100	1	
50	104	20万银贝	1	150	50	1	
50	1401	初级洗练石	1	150	50	1	
50	3154	氏族修炼丹	1	150	300	1	
51	221	小修为丹书	1	150	300	1	
51	222	修为丹书	1	150	150	1	
51	3154	氏族修炼丹	1	150	300	1	
51	3101	神魔宝图	1	150	100	1	
52	3101	氏族修炼丹	1	150	1500	1	
52	3157	氏族商票	1	150	600	1	
52	1901	灵魄	1	150	600	1	
52	1902	金元之魄	1	150	5	1	
52	1903	淬技之魄	1	150	5	1	
52	1930	法宝残片(紫)	1	150	50	1	
52	1931	法宝残片(橙)	1	150	10	1	
60	1001	灵器石1阶	1	150	1	1	
60	1021	灵御石1阶	1	150	4	1	
60	1041	灵饰石1阶	1	150	2	1	
101	1601	金光闪	1	150	5	1	
101	1602	飞叶舞	1	150	5	1	
101	1603	寒冰魄	1	150	5	1	
101	1604	爆裂炎	1	150	5	1	
101	1605	落岩术	1	150	5	1	
101	1606	回春	1	150	5	1	
101	1607	净化	1	150	5	1	
101	1608	连击	1	150	5	1	
101	1609	猛击	1	150	5	1	
101	1610	追猎	1	150	5	1	
101	1611	衰弱	1	150	5	1	
101	1612	封魔	1	150	5	1	
101	1613	吸血	1	150	5	1	
101	1614	蚀体	1	150	5	1	
101	1615	破甲	1	150	5	1	
101	1616	法咒	1	150	5	1	
101	1617	诛心	1	150	5	1	
101	1618	降妖	1	150	5	1	
101	1619	同仇	1	150	5	1	
101	1620	反击	1	150	5	1	
101	1621	反射	1	150	5	1	
101	1622	反震	1	150	5	1	
101	1623	不屈	1	150	5	1	
101	1624	护主	1	150	5	1	
101	1625	挡危	1	150	5	1	
101	1626	复生	1	150	5	1	
101	1627	复仇	1	150	5	1	
101	1628	血祭	1	150	5	1	
101	1629	索魂	1	150	5	1	
101	1630	强力	1	150	5	1	
101	1631	睿智	1	150	5	1	
101	1632	健壮	1	150	5	1	
101	1633	强体	1	150	5	1	
101	1634	迅捷	1	150	5	1	
101	1635	灵巧	1	150	5	1	
101	1636	锐锋	1	150	5	1	
101	1637	狂法	1	150	5	1	
101	1638	滋养	1	150	5	1	
101	1639	精准	1	150	5	1	
101	1640	迅步	1	150	5	1	
101	1641	幸运	1	150	5	1	
101	1642	狂暴	1	150	5	1	
101	1643	疾速	1	150	5	1	
101	1644	金咒	1	150	5	1	
101	1645	木咒	1	150	5	1	
101	1646	水咒	1	150	5	1	
101	1647	火咒	1	150	5	1	
101	1648	土咒	1	150	5	1	
102	1649	高级金光闪	1	150	5	1	
102	1650	高级飞叶舞	1	150	5	1	
102	1651	高级寒冰魄	1	150	5	1	
102	1652	高级爆裂炎	1	150	5	1	
102	1653	高级落岩术	1	150	5	1	
102	1654	高级回春	1	150	5	1	
102	1655	高级净化	1	150	5	1	
102	1656	高级连击	1	150	5	1	
102	1657	高级猛击	1	150	5	1	
102	1658	高级追猎	1	150	5	1	
102	1659	高级衰弱	1	150	5	1	
102	1660	高级封魔	1	150	5	1	
102	1661	高级吸血	1	150	5	1	
102	1662	高级蚀体	1	150	5	1	
102	1663	高级破甲	1	150	5	1	
102	1664	高级法咒	1	150	5	1	
102	1665	高级诛心	1	150	5	1	
102	1666	高级降妖	1	150	5	1	
102	1667	高级同仇	1	150	5	1	
102	1668	高级反击	1	150	5	1	
102	1669	高级反射	1	150	5	1	
102	1670	高级反震	1	150	5	1	
102	1671	高级不屈	1	150	5	1	
102	1672	高级护主	1	150	5	1	
102	1673	高级挡危	1	150	5	1	
102	1674	高级复生	1	150	5	1	
102	1675	高级复仇	1	150	5	1	
102	1676	高级血祭	1	150	5	1	
102	1677	高级索魂	1	150	5	1	
102	1678	高级强力	1	150	5	1	
102	1679	高级睿智	1	150	5	1	
102	1680	高级健壮	1	150	5	1	
102	1681	高级强体	1	150	5	1	
102	1682	高级迅捷	1	150	5	1	
102	1683	高级灵巧	1	150	5	1	
102	1684	高级锐锋	1	150	5	1	
102	1685	高级狂法	1	150	5	1	
102	1686	高级滋养	1	150	5	1	
102	1687	高级精准	1	150	5	1	
102	1688	高级迅步	1	150	5	1	
102	1689	高级幸运	1	150	5	1	
