ID	名称	锋锐	宗法	挫锋	御法	不动如山	妙手	易愈	攻心	御心	灵逸	万象由心	刚身	灭魂	御灵	困兽	噬魂	不灭	杀戮	止戈	长生	剑魂	气宗	原力	空灵	坚韧	健强	迅捷	若危
id	name	sFengRui	sZongFa	sCuoFeng	sYuFa	sBuDongRuShan	sMiaoShou	sYiYu	sGongXin	sYuXin	sLingYi	sWanXiangYouXin	sGangShen	sMieHun	sYuLing	sKunShou	sSheHun	sBuMie	sShaLu	sZhiGe	sChangSheng	sJianPo	sQiZong	sYuanLi	sKongLing	sJianRen	sJianQiang	sXunJie	sRuoWei
int	str	EffectTable	EffectTable	EffectTable	EffectTable	EffectTable	EffectTable	EffectTable	EffectTable	EffectTable	EffectTable	EffectTable	EffectTable	EffectTable	EffectTable	EffectTable	EffectTable	EffectTable	EffectTable	EffectTable	EffectTable	EffectTable	EffectTable	EffectTable	EffectTable	EffectTable	EffectTable	EffectTable	EffectTable
1	紫武·物理·属性库1	1,2,50							1,2,50																				
2	紫武·法术·属性库1		1,2,50						1,2,50																				
3	紫武·法术·鬼谷·属性库1		1,2,50				1,2,50		1,2,50																				
4	紫防·属性库1			1,2,50	1,2,50	1,2,20		1,2,30		1,2,30	1,2,20																		
5	紫项链·属性库1	1,2,20	1,2,20	1,2,50	1,2,50		1,2,30		1,2,20		1,2,20																		
6	紫饰·物理·属性库1	1,2,20		1,2,50	1,2,50				1,2,20		1,2,20																		
7	紫饰·法术·属性库1		1,2,20	1,2,50	1,2,50				1,2,20		1,2,20																		
8	紫饰·法术·鬼谷·属性库1		1,2,20	1,2,50	1,2,50		1,2,30		1,2,20		1,2,20																		
9	紫武·物理·属性库2																					1,2,20		1,2,50	1,2,50	1,2,50	1,2,50	1,2,50	1,2,50
10	紫武·法术·属性库2																						1,2,20	1,2,50	1,2,50	1,2,50	1,2,50	1,2,50	1,2,50
12	紫防·属性库2											1,2,20	1,2,50	1,2,50	1,2,50	1,2,50	1,2,50	1,2,50	1,2,20	1,2,20									
13	紫项链·属性库2																				1,2,20			1,2,50	1,2,50	1,2,50	1,2,50	1,2,50	1,2,50
14	紫饰·物理·属性库2																				1,2,20			1,2,50	1,2,50	1,2,50	1,2,50	1,2,50	1,2,50
15	紫饰·法术·属性库2																				1,2,20			1,2,50	1,2,50	1,2,50	1,2,50	1,2,50	1,2,50
31	橙武·物理·属性库1	1,2,50							1,2,50																				
32	橙武·法术·属性库1		1,2,50						1,2,50																				
33	橙武·法术·鬼谷·属性库1		1,2,50				1,2,50		1,2,50																				
34	橙防·属性库1			1,2,50	1,2,50	1,2,20		1,2,30		1,2,30	1,2,20																		
35	橙项链·属性库1	1,2,20	1,2,20	1,2,50	1,2,50		1,2,30		1,2,20		1,2,20																		
36	橙饰·物理·属性库1	1,2,20		1,2,50	1,2,50				1,2,20		1,2,20																		
37	橙饰·法术·属性库1		1,2,20	1,2,50	1,2,50				1,2,20		1,2,20																		
