特效ID	特效名称	特效图标	克制特效	特效标识	关联特效	物理伤害提高	法术伤害提高	物理伤害降低	法术伤害降低	治疗效果提高	受治疗效果提高	暴击伤害率	暴击伤害减免率	回避率	金抗性率	木抗性率	水抗性率	火抗性率	土抗性率	全属性抗性率	护体	对灵兽伤害提高	受灵兽伤害降低	对玩家伤害提高	受玩家伤害降低	对怪物物理伤害提高	对怪物法术伤害提高	受怪物伤害降低	生命值加成	物理攻击加成	法术攻击加成	力量提高	智慧提高	根骨提高	体魄提高	敏捷提高	身法提高	当前效果描述	特效描述
id	effectName	icon	restrainEffectId	effectSign	relatedEffectList	sPhysicalDamageEnhance	sMagicDamageEnhance	sPhysicalDamageReduce	sMagicDamageReduce	sCureAdd	sCureAddFromOther	sCritDamageRate	sCritDamageReduceRate	sAvoidRate	sMetalResistanceRate	sWoodResistanceRate	sWaterResistanceRate	sFireResistanceRate	sEarthResistanceRate	sResistanceRate	sDefendBody	sDamageAddToPet	sDamageReduceFromPet	sDamageAddToPlayer	sDamageReduceFromPlayer	sPhysicalDamageAddToMonster	sMagicDamageAddToMonster	sDamageReduceFromMonster	sHpAddition	sPhysicalAttackAddition	sMagicAttackAddition	sStrengthEnhance	sIntelligenceEnhance	sBoneEnhance	sPhysiqueEnhance	sAgilityEnhance	sBodyWayEnhance	currentEffectDes	effectDes
int	str	str	int	int	str	str	str	str	str	str	str	str	str	str	str	str	str	str	str	str	str	str	str	str	str	str	str	str	str	str	str	str	str	str	str	str	str	str	str
101	锋锐	equip_fx_skill_101	103			0.25|9|13																																当前效果：造成的物理伤害提高{0}%。	每级提高0.25%物理伤害。己方锋锐比对方挫锋高5级以上时，额外提高9%物理伤害。己方锋锐比对方挫锋高10级以上时，则提高13%物理伤害。
102	宗法	equip_fx_skill_102	104				0.25|9|13																															当前效果：造成的法术伤害提高{0}%。	每级提高0.25%法术伤害。己方宗法比对方御法高5级以上时，额外提高9%法术伤害。己方宗法比对方御法高10级以上时，则提高13%法术伤害。
103	挫锋	equip_fx_skill_103	101					0.25|9|13																														当前效果：受到的物理伤害降低{0}%。	每级降低0.25%受到的物理伤害。己方挫锋比对方锋锐高5级以上时，额外降低9%受到的物理伤害。己方挫锋比对方锋锐高10级以上时，则降低13%物理伤害。
104	御法	equip_fx_skill_104	102						0.25|9|13																													当前效果：受到的法术伤害降低{0}%。	每级降低0.25%受到的法术伤害。己方御法比对方宗法高5级以上时，额外降低9%受到的法术伤害。己方御法比对方宗法高10级以上时，则降低13%法术伤害。
105	不动如山	equip_fx_skill_105			103|104																																	当前效果：挫锋特效提高{0}级，御法特效提高{1}级。	每级不动如山可同时提高1级挫锋与1级御法。
106	妙手	equip_fx_skill_106								1|10|15																												当前效果：造成的治疗效果提高{0}%。	每级提高1%治疗效果。妙手等级为5级以上时，额外提高10%治疗效果。妙手等级为10级以上时，则提高15%治疗效果。
107	易愈	equip_fx_skill_107									1|10|15																											当前效果：受到的治疗效果提高{0}%。	每级提高1%受到的治疗效果。易愈等级为5级以上时，额外提高10%受到的治疗效果。易愈等级为10级以上时，则提高15%受到的治疗效果。
108	攻心	equip_fx_skill_108	109									0.7|12|20																										当前效果：造成的暴击伤害提高{0}%。	每级提高0.7%暴击伤害。己方攻心比对方御心高5级以上时，额外提高12%暴击伤害。己方攻心比对方御心高10级以上时，则提高20%暴击伤害。
