强化等级	类型	消耗材料	消耗数量	增加属性百分比
level	types	materialCostId	materialCostCount	increasePercent
int	str	int	int	float
1	1	1001	1	2
2	1	1001	1	2
3	1	1001	1	2
4	1	1002	1	2
5	1	1002	1	2
6	1	1002	1	2
7	1	1003	1	2
8	1	1003	1	2
9	1	1003	1	2
10	1	1004	1	2
11	1	1004	1	2
12	1	1004	1	2
13	1	1005	1	2
14	1	1005	1	2
15	1	1005	1	2
16	1	1006	1	2
17	1	1006	1	2
18	1	1006	1	2
19	1	1007	1	2
20	1	1007	1	2
1	2,3,4,5,6	1021	1	2
2	2,3,4,5,6	1021	1	2
3	2,3,4,5,6	1021	1	2
4	2,3,4,5,6	1022	1	2
5	2,3,4,5,6	1022	1	2
6	2,3,4,5,6	1022	1	2
7	2,3,4,5,6	1023	1	2
8	2,3,4,5,6	1023	1	2
9	2,3,4,5,6	1023	1	2
10	2,3,4,5,6	1024	1	2
11	2,3,4,5,6	1024	1	2
12	2,3,4,5,6	1024	1	2
13	2,3,4,5,6	1025	1	2
14	2,3,4,5,6	1025	1	2
15	2,3,4,5,6	1025	1	2
16	2,3,4,5,6	1026	1	2
17	2,3,4,5,6	1026	1	2
18	2,3,4,5,6	1026	1	2
19	2,3,4,5,6	1027	1	2
20	2,3,4,5,6	1027	1	2
1	7,8,9	1041	1	2
2	7,8,9	1041	1	2
3	7,8,9	1041	1	2
4	7,8,9	1042	1	2
5	7,8,9	1042	1	2
6	7,8,9	1042	1	2
7	7,8,9	1043	1	2
8	7,8,9	1043	1	2
9	7,8,9	1043	1	2
10	7,8,9	1044	1	2
11	7,8,9	1044	1	2
12	7,8,9	1044	1	2
13	7,8,9	1045	1	2
14	7,8,9	1045	1	2
15	7,8,9	1045	1	2
16	7,8,9	1046	1	2
17	7,8,9	1046	1	2
18	7,8,9	1046	1	2
19	7,8,9	1047	1	2
20	7,8,9	1047	1	2
