id	名称	类型	子类型	装备子类型	检索值	品质	使用等级	装备等级	职业	图标	叠加数量	是否绑定	绑定类型	不可出售	出售价格	耐久度	装备生成类型	分解产物	是否可以重铸	重铸材料1	重铸材料2	重铸银贝数量	是否可以洗炼	凝炼材料1	凝炼材料2	凝炼银贝数量	是否可炼化	物理攻击	法术攻击	物理防御	法术防御	生命值	治疗强度	暴击等级	命中等级	物理穿透等级	法术穿透等级	回避等级	招架等级	暴击防御等级	移动速度加成	基础属性随机范围	定制属性库id	定制属性随机范围	随机属性库id	随机属性条目	随机属性等级	随机属性范围	特效库1id	特效库1几率	特效库2id	特效库2几率	特技1id	特技1几率	特技2id	特技2几率	强化值	觉醒值	觉醒材料	觉醒属性加成	描述	获取途径
id	name	type	sonType	equipType	index	quality	useLevel	leve	job	icon	stackNum	isBind	bindType	isCanSell	priceSilver	enduLevel	iCreateType	decProduc	isCanRecast	recastMaterialId1	recastMaterialId2	recastCoinCost	isCanWash	consiceMaterialId1	consiceMaterialId2	consiceCoinCost	isCanRefine															basicAttributeRandomRange	customAttributeId	customAttributeRandomRange	randomAttributeId	randomAttributeNum	randAttrLv	randAttriRange	effecId1	effecPro1	effecId2	effecPro2	stuntId1	stuntId1Probability	stuntId2	stuntId2Probability	InforceValue	awake	awakeMater	awakePropAdd	 desc	
int	str	enum:ItemType	int	int	int	enum:ItemQuality	int	int	JobMask	str	int	bool	bool	bool	int	int	int	int	bool	ItemCount	ItemCount	int	bool	ItemCount	ItemCount	int	bool															RandomRange	int	RandomRange	int	ProbabilityTable	int	RandomRange	int	int	int	int	int	int	int	int	int	int	str	float	str	
11091	传世剑	4	1	1	11	6	1	40	1	tianjian1	1			1				27211										254							20							1,1	11091	1,1				0.85,1.15									8					
11092	传世刃	4	1	2	12	6	1	40	2	mojia1	1			1				27211										324						20								1,1	11092	1,1				0.85,1.15									8					
11093	传世铃	4	1	3	13	6	1	40	3	guigu1	1			1				27211											282				254		20							1,1	11093	1,1				0.85,1.15									8					
11094	1级红色环	4	1	4	14	6	1	40	4		1			1				27211											366					20								1,1	11094	1,1				0.85,1.15									8					
11095	1级红色弓	4	1	5	15	6	1	40	5		1			1				27211										282								20						1,1	11095	1,1				0.85,1.15									8					
11096	1级红色枪	4	1	6	16	6	1	40	6		1			1				27211										282								20						1,1	11096	1,1				0.85,1.15									8					
11001	铁剑	4	1	1	11	1	1	1	1	tianjian1	1				525													27														1,1															2					
11002	短铁刃	4	1	2	12	1	1	1	2	mojia1	1				525													34														1,1															2					
