id	名称	类型	子类型	品质	职业	对应绑定物品ID	对应不绑定物品ID	是否可使用	全部使用	不可丢弃	不可出售	售价-银贝	售价-金贝	售价-碧玉	关联商会道具ID	贵重物品	是否绑定	是否可寄售	获得后自动使用	获得后提示使用	使用等级	叠加数量	使用后冷却	合成ID	分解产物	道具耐久	触发事件	资质提升下限	资质提升上限	成长提升下限	成长提升上限	悟性提升	灵兽资质要求	使用次数限制	转化值下限	转化值上限	吟唱时间	奖励ID	灵兽技能	激活宠物	激活法宝	附魂ID	增加\n血量	获得状态	法宝潜修经验	激活称号ID	获得时装ID	增加时装期限	获得坐骑ID	增加坐骑期限	摇钱树id	摇钱树加速时间	宝图-点集	奖励生活经验	生活技能使用等级限制	图标	用途	描述	获取途径
id	name	type	sonType	quality	job	bindId	unbindId	isCanUse	allUse	unLost	isCanSell	priceSilver	priceGold	priceBiyu	storeId	expenItem	isBind	isConsign	isAutoUse	tipUse	useLevel	stackNum	cooling	comId	decProduc	enduLevel	eventId	qualMin	qualMax	growMin	growMax	perceImpro	petQuali	limitNum	bound	upper	singTimer	rewardId	petSkill	actPet	actWeapon	soulId	addHp	status	weaponExp	ActTitleId	fashionId	addFashTimer	mountId	addMouTimer	cowId	cowAccTimer	map	liveskillexp	liveskilllimit	icon	use	 desc	
int	str	enum:ItemType	int	enum:ItemQuality	JobMask	int	int	bool	bool	bool	bool	int	int	int	int	bool	bool	bool	bool	bool	int	int	int	int	int	int	int	int	int	float	float	PetSavvy	ints	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	MapPoints	int	int	str	str	str	
1	银贝	3	0	2	-1																	1000000000																																		item_silver		用于和系统进行交易的货币	
2	金贝	3	0	2	-1																	1000000000																																		item_copper		可用于玩家交易的货币，1金贝=10银贝	
3	碧玉	3	0	2	-1																	1000000000																																		item_jade_green		绑定的元宝，可以用于购买部分物品	
4	经验	-1		2	-1																																																			item_exp		需要你不断的历练而获得的江湖经验，是你实力增长的见证。	
5	灵兽经验	-1		2	-1																																																			Pet_exp		0	
6	伙伴经验	-1		2	-1																																																			i1		0	
7	修为	3	0	2	-1																	1000000000																																		item_practice		仙家之气，修道之路，聚天地灵气与一身！	
8	法宝残魂			2	-1																	99999999																																		item_practice		0	
9	尚武	-1																				99999999																																		item_exp		
10	通智	-1																				99999999																																		item_exp		
11	明理	-1																				99999999																																		item_exp		
12	唯心	-1																				99999999																																		item_exp		
13	正义	-1																				99999999																																		item_exp		
14	邪恶	-1																				99999999																																		item_exp		
15	门派贡献	3	0	2	0																	1000000																																		item_mengong		完成师门可获得，在门派积分商店兑换物品	
16	功勋	3	0	2	-1																	1000000																																		item_exp		参与战场、竞技场等活动获得，可在功勋商店兑换物品	
17	荣誉	3	0	2	-1																	1000000																																		item_rongyu		参与各类挑战可获得，可在荣誉商店兑换物品	
18	侠义值	3	0	2	-1																	1000000																																		item_exp		在游戏中通过各种形式帮助其他玩家可获得，可在侠义积分商店兑换物品	
19	天平战积分	3	0	2	-1																	1000000																																		item_exp		参与天平战竞技可获得，可在天平战积分商店兑换物品	
20	氏族贡献	3	0	2	-1																	1000000																																		iteam_gong		通过完成氏族任务及相关活动可获得，可用于氏族修炼等系统的消耗	
21	仙玉	3	0	2	-1																	1000000000																																		item_jade_red		充值获得的珍贵宝物，可兑换各种物品	
22	氏族资金	-1																																																						guild_zijin		通过完成氏族任务及相关活动可获得，可用于氏族建筑升级及氏族维护的消耗	
23	活力	3	0	2	-1																	1000000																																		item_huoli		炼物必要的消耗，也可以在活力商店兑换物品	
24	薪火值	3	0	2																		1000000																																		item_exp		通过师徒玩法可以获得，可以在师徒商店购买物品	
101	5万银贝	1	0	2	-1			1	1		1						1			1	1	99																101																		item_silver	功能：获得银贝	使用后获得#[G2]50000#n银贝。	
102	10万银贝	1	0	2	-1			1	1		1						1			1	1	99																102																		item_silver	功能：获得银贝	使用后获得#[G2]100000#n银贝。	
103	15万银贝	1	0	3	-1			1	1		1						1			1	1	99																103																		item_silver	功能：获得银贝	使用后获得#[G2]150000#n银贝。	
104	20万银贝	1	0	3	-1			1	1		1						1			1	1	99																104																		item_silver	功能：获得银贝	使用后获得#[G2]200000#n银贝。	
105	1万银贝	1	0	2	-1			1	1		1						1			1	1	99																105																		item_silver	功能：获得银贝	使用后获得#[G2]10000#n银贝。	
106	2万银贝	1	0	2	-1			1	1		1						1			1	1	99																106																		item_silver	功能：获得银贝	使用后获得#[G2]20000#n银贝。	
111	5碧玉	1	0	2	-1			1	1		1						1			1	1	99																111																		item_jade_green	功能：获得碧玉	使用后获得#[G2]5#n碧玉。	
112	10碧玉	1	0	2	-1			1	1		1						1			1	1	99																112																		item_jade_green	功能：获得碧玉	使用后获得#[G2]10#n碧玉。	
113	50碧玉	1	0	3	-1			1	1		1						1			1	1	99																113																		item_jade_green	功能：获得碧玉	使用后获得#[G2]50#n碧玉。	
114	100碧玉	1	0	3	-1			1	1		1						1			1	1	99																114																		item_jade_green	功能：获得碧玉	使用后获得#[G2]100#n碧玉。	
115	150碧玉	1	0	4	-1			1	1		1						1			1	1	99																115																		item_jade_green	功能：获得碧玉	使用后获得#[G2]150#n碧玉。	
116	200碧玉	1	0	4	-1			1	1		1						1			1	1	99																116																		item_jade_green	功能：获得碧玉	使用后获得#[G2]200#n碧玉。	
121	10级装备礼包	1	0	2	-1			1			1						1			1	10	1																121																		ui_QianDai	功能：获得装备	使用后可获得整套#[G2]10级#n装备。	
122	20级装备礼包	1	0	2	-1			1			1						1			1	20	1																122																		ui_QianDai1	功能：获得装备	使用后可获得整套#[G2]20级#n装备。	
123	30级装备礼包	1	0	2	-1			1			1						1			1	30	1																123																		ui_QianDai2	功能：获得装备	使用后可获得整套#[G2]30级#n装备。	
124	40级装备礼包	1	0	2	-1			1			1						1			1	40	1																124																		ui_QianDai3	功能：获得装备	使用后可获得整套#[G2]40级#n装备。	
131	氏族银票	1	0	2	-1			1			1						0			1	20	99																131																		guild_yinpiao	功能：氏族银票一张	使用后获得#[G2]2400000点#n氏族资金。	
132	氏族商票	1	0	2	-1			1			1						0			1	20	99																132																		guild_shangpiao	功能：氏族商票一张	使用后获得#[G2]40000点#n氏族资金，#[G2]20点#n氏族贡献。	
221	纳元丹	1	0	2	-1			1			1						0			1	1	99																221																		item_addxiuwei1	功能：获得修为	使用后获得#[G2]8500点#n修为。	
222	大纳元丹	1	0	3	-1			1			1						0			1	1	99																222																		item_addxiuwei2	功能：获得修为	使用后获得#[G2]85000点#n修为。	
980	轮回盘	1	0	3				1			1						0					99																																		item_huimeng	功能：原地复活	佛教的圣器，据说有让人超脱生死的能力，在死亡状态下使用可以原地复活。	
985	回梦丹	1	0	3				1			1						0				1	99																																		item_huimeng	功能：增加前尘往事次数	使用后，增加一次前尘往事的获得奖励的次数，每天最多使用3次。	
990	知识竞赛纪念	1	0	4				1		1	1						1			1	1	99																990																		item_huimeng	功能:礼包	使用后有几率可以获得修为、银贝、元宝等物品	
1000	随机装备灵石	1	0	3				1		1	1						0		1			1																1000																		item_huimeng	功能：强化装备	随机获得一个1阶灵器石、灵御石或灵饰石。	
1001	灵器石1阶	1	31	3	-1	1011		1			0		12000		1001	1	0				1	99		1002																																equip_1001	功能：强化装备	#[Y3]未经淬炼的红色宝石。#n\n强化材料，用于提升武器强化等级。\n可用于#[G2]强化等级为1-3级#n的武器强化。	101
1002	灵器石2阶	1	31	4	-1	1012		1			0		36000		1001	1	0				1	99		1003																																equip_1002	功能：强化装备	#[Y3]朴素的红色宝石。#n\n强化材料，用于提升武器强化等级。\n可用于#[G2]强化等级为4-6级#n的武器强化。	
1003	灵器石3阶	1	31	4	-1	1013		1			0		108000		1001	1	0				1	99		1004																																equip_1003	功能：强化装备	#[Y3]粗加工的红色宝石。#n\n强化材料，用于提升武器强化等级。\n可用于#[G2]强化等级为7-9级#n的武器强化。	
1004	灵器石4阶	1	31	4	-1	1014		1			0		324000		1001	1	0				1	99		1005																																equip_1004	功能：强化装备	#[Y3]圆润的红色宝石。#n\n强化材料，用于提升武器强化等级。\n可用于#[G2]强化等级为10-12级#n的武器强化。	
1005	灵器石5阶	1	31	5	-1	1015		1			0		972000		1001	1	0				1	99		1006																																equip_1005	功能：强化装备	#[Y3]闪耀的红色宝石。#n\n强化材料，用于提升武器强化等级。\n可用于#[G2]强化等级为13-15级#n的武器强化。	
1006	灵器石6阶	1	31	5	-1	1016		1			0		2916000		1001	1	0				1	99		1007																																equip_1006	功能：强化装备	#[Y3]晶莹剔透的红色宝石。#n\n强化材料，用于提升武器强化等级。\n可用于#[G2]强化等级为16-18级#n的武器强化。	
1007	灵器石7阶	1	31	6	-1	1017		1			0		8748000		1001	1	0				1	99																																		equip_1007	功能：强化装备	#[Y3]璀璨的红色宝石。#n\n强化材料，用于提升武器强化等级。\n可用于#[G2]强化等级为19-20级#n的武器强化。	
1011	灵器石1阶（绑）	1	31	3	-1		1001	1			1					1	1				1	99		1002																																equip_1001	功能：强化装备	#[Y3]未经淬炼的红色宝石。#n\n强化材料，用于提升武器强化等级。\n可用于#[G2]强化等级为1-3级#n的武器强化。	
1012	灵器石2阶（绑）	1	31	4	-1		1002	1			1					1	1				1	99		1003																																equip_1002	功能：强化装备	#[Y3]朴素的红色宝石。#n\n强化材料，用于提升武器强化等级。\n可用于#[G2]强化等级为4-6级#n的武器强化。	
1013	灵器石3阶（绑）	1	31	4	-1		1003	1			1					1	1				1	99		1004																																equip_1003	功能：强化装备	#[Y3]粗加工的红色宝石。#n\n强化材料，用于提升武器强化等级。\n可用于#[G2]强化等级为7-9级#n的武器强化。	
1014	灵器石4阶（绑）	1	31	4	-1		1004	1			1					1	1				1	99		1005																																equip_1004	功能：强化装备	#[Y3]圆润的红色宝石。#n\n强化材料，用于提升武器强化等级。\n可用于#[G2]强化等级为10-12级#n的武器强化。	
1015	灵器石5阶（绑）	1	31	5	-1		1005	1			1					1	1				1	99		1006																																equip_1005	功能：强化装备	#[Y3]闪耀的红色宝石。#n\n强化材料，用于提升武器强化等级。\n可用于#[G2]强化等级为13-15级#n的武器强化。	
1016	灵器石6阶（绑）	1	31	5	-1		1006	1			1					1	1				1	99		1007																																equip_1006	功能：强化装备	#[Y3]晶莹剔透的红色宝石。#n\n强化材料，用于提升武器强化等级。\n可用于#[G2]强化等级为16-18级#n的武器强化。	
1017	灵器石7阶（绑）	1	31	6	-1		1007	1			1					1	1				1	99																																		equip_1007	功能：强化装备	#[Y3]璀璨的红色宝石。#n\n强化材料，用于提升武器强化等级。\n可用于#[G2]强化等级为19-20级#n的武器强化。	
1021	灵御石1阶	1	31	3	-1	1031		1			0		8000		1021	1	0				1	99		1010																																equip_1008	功能：强化装备	#[Y3]未经淬炼的黄色宝石。#n\n强化材料，用于提升防具强化等级。\n可用于#[G2]强化等级为1-3级#n的防具强化。	
1022	灵御石2阶	1	31	4	-1	1032		1			0		24000		1021	1	0				1	99		1011																																equip_1009	功能：强化装备	#[Y3]朴素的黄色宝石。#n\n强化材料，用于提升防具强化等级。\n可用于#[G2]强化等级为4-6级#n的防具强化。	
1023	灵御石3阶	1	31	4	-1	1033		1			0		72000		1021	1	0				1	99		1012																																equip_1010	功能：强化装备	#[Y3]粗加工的黄色宝石。#n\n强化材料，用于提升防具强化等级。\n可用于#[G2]强化等级为7-9级#n的防具强化。	
1024	灵御石4阶	1	31	4	-1	1034		1			0		216000		1021	1	0				1	99		1013																																equip_1011	功能：强化装备	#[Y3]圆润的黄色宝石。#n\n强化材料，用于提升防具强化等级。\n可用于#[G2]强化等级为10-12级#n的防具强化。	
1025	灵御石5阶	1	31	5	-1	1035		1			0		648000		1021	1	0				1	99		1014																																equip_1012	功能：强化装备	#[Y3]闪耀的黄色宝石。#n\n强化材料，用于提升防具强化等级。\n可用于#[G2]强化等级为13-15级#n的防具强化。	
