合成ID	合成类型	目标物品ID	材料1ID	材料1数量	材料2ID	材料2数量	材料3ID	材料3数量	材料4ID	材料4数量	消耗银贝	成功率
id	type	targetId	materialId_1	count_1	materialId_2	count_2	materialId_3	count_3	materialId_4	count_4	needSilver	random
int	enum:ItemCompositeType	int	int	int	int	int	int	int	int	int	int	int
1001	1	1101	1102	2	1103	2	1104	2				
101	1	3105	3106	1	3107	1	3108	1				
1002	2	1002	1001	2								
1003	2	1003	1002	3								
1004	2	1004	1003	4								
1005	2	1005	1004	5								
1006	2	1006	1005	6								
1007	2	1007	1006	7								
1010	2	1022	1021	2								
1011	2	1023	1022	3								
1012	2	1024	1023	4								
1013	2	1025	1024	5								
1014	2	1026	1025	6								
1015	2	1027	1026	7								
1020	2	1042	1041	2								
1021	2	1043	1042	3								
1022	2	1044	1043	4								
1023	2	1045	1044	5								
1024	2	1046	1045	6								
1025	2	1047	1046	7								
2137	1	1935	2137	50								
2138	1	1936	2138	50								
2139	1	1937	2139	50								
2140	1	1938	2140	50								
2141	1	1939	2141	50								
