id	名称	力量	智慧	根骨	体魄	敏捷	身法	额外伤害	伤害减免	物理攻击	法术攻击	暴击等级	暴击伤害等级	暴击防御等级	暴击伤害减免等级	命中等级	回避等级	招架等级	物理穿透等级	法术穿透等级	金抗性	木抗性	水抗性	火抗性	土抗性	全属性抗性	金伤害	木伤害	水伤害	火伤害	土伤害
id	name																														
int	str																														
2	头	30	30	30	30	30	30	30	30			30	30	30		30	30	30	30	30	30	30	30	30	30		30	30	30	30	30
3	胸	30	30	30	30	30	30	30	30			30	30	30		30	30	30	30	30	30	30	30	30	30		30	30	30	30	30
4	手	30	30	30	30	30	30	30	30			30	30	30		30	30	30	30	30	30	30	30	30	30		30	30	30	30	30
5	裤	30	30	30	30	30	30	30	30			30	30	30		30	30	30	30	30	30	30	30	30	30		30	30	30	30	30
6	鞋	30	30	30	30	30	30	30	30			30	30	30		30	30	30	30	30	30	30	30	30	30		30	30	30	30	30
7	项链	30	30	30	30	30	30	30	30			30	30	30		30	30	30	30	30	30	30	30	30	30		30	30	30	30	30
8	戒指	30	30	30	30	30	30	30	30			30	30	30		30	30	30	30	30	30	30	30	30	30		30	30	30	30	30
9	饰品	30	30	30	30	30	30	30	30			30	30	30		30	30	30	30	30	30	30	30	30	30		30	30	30	30	30
11	蓝色剑	20		20	20	20	20			5		10				20			20								20	20			
12	蓝色刃	20		20	20	20	20			5		10				20			20										20		20
13	蓝色铃		20	20	20	20	20				5	10				20				20									20		20
14	蓝色环		20	20	20	20	20				5	10				20				20									20	20	
15	蓝色弓	20		20	20	20	20			5		10				20			20									20		20	
16	蓝色枪	20		20	20	20	20			5		10				20			20								20				20
17	蓝色硬甲防具	20		20	20	20	20		15					10	10		10	20			15	15	15	15	15	7					
18	蓝色软件防具		20	20	20	20	20		15					10	10		20	10			15	15	15	15	15	7					
27	蓝色项链	20		20	20	20	20	10					5		10	15	10	10	10	10							10	10	10	10	10
28	蓝色物攻戒指	20		20	20	20	20	10					5		10	15	10	10	10								10	10	10	10	10
29	蓝色法攻戒指		20	20	20	20	20	10					5		10	15	10	10		10							10	10	10	10	10
30	蓝色物攻饰品	20		20	20	20	20	10					5		10	15	10	10	10								10	10	10	10	10
31	蓝色法攻饰品		20	20	20	20	20	10					5		10	15	10	10		10							10	10	10	10	10
101	紫色剑	30			20	20	20			5		10				20			20								20	20			
102	紫色刃	30		20	20		20			5		10				20			20										20		20
103	紫色铃		20	20		20	20				5	10				20				20									20		20
104	紫色环			20	20	20	20				5	10				20				20									20	20	
105	紫色弓			20	20	20	20			5		10				20			20									20		20	
106	紫色枪			20	20	20	20			5		10				20			20								20				20
107	紫色物攻项链			20	20	20	20	10					5		10	15	10	10	10	10							10	10	10	10	10
108	紫色法攻项链			20	20	20	20	10					5		10	15	10	10	10	10							10	10	10	10	10
109	紫色物攻戒指			20	20	20	20	10					5		10	15	10	10	10								10	10	10	10	10
