等级	累计点数	力量	智慧	根骨	体魄	敏捷	身法	额外伤害	伤害减免	物理攻击	法术攻击	暴击等级	暴击伤害等级	暴击防御等级	暴击伤害减免等级	命中等级	回避等级	招架等级	物理穿透等级	法术穿透等级	金抗性	木抗性	水抗性	火抗性	土抗性	全属性抗性	金伤害	木伤害	水伤害	火伤害	土伤害
level	CumulativePoints																														
int	int																														
1	8	1	1	1	1	1	1	1	1	3	3	2	3	2	2	2	2	2	2	2	3	3	3	3	3	1	3	3	3	3	3
2	9	2	2	2	2	2	2	1	1	3	3	2	4	2	2	3	2	3	2	2	3	3	3	3	3	1	3	3	3	3	3
3	10	2	2	2	2	2	2	1	2	4	4	2	4	3	3	3	2	3	3	3	4	4	4	4	4	2	4	4	4	4	4
4	11	2	2	2	2	2	2	2	2	4	4	2	4	3	3	3	2	3	3	3	4	4	4	4	4	2	4	4	4	4	4
5	12	2	2	2	2	2	2	2	2	4	4	3	5	3	3	4	3	4	3	3	5	5	5	5	5	2	4	4	4	4	4
6	13	2	2	2	2	2	2	2	2	5	5	3	5	4	4	4	3	4	4	4	5	5	5	5	5	2	5	5	5	5	5
7	14	3	3	3	3	3	3	2	2	5	5	3	6	4	4	4	3	4	4	4	6	6	6	6	6	3	5	5	5	5	5
8	15	3	3	3	3	3	3	2	3	6	6	4	6	4	4	5	4	5	4	4	6	6	6	6	6	3	6	6	6	6	6
9	16	3	3	3	3	3	3	3	3	6	6	4	7	5	5	5	4	5	5	5	6	6	6	6	6	3	6	6	6	6	6
10	17	3	3	3	3	3	3	3	3	6	6	4	7	5	5	5	4	5	5	5	7	7	7	7	7	3	6	6	6	6	6
11	18	4	4	4	4	4	4	3	3	7	7	4	8	5	5	6	4	6	5	5	7	7	7	7	7	3	7	7	7	7	7
12	19	4	4	4	4	4	4	3	4	7	7	5	8	6	6	6	5	6	6	6	8	8	8	8	8	4	7	7	7	7	7
13	20	4	4	4	4	4	4	3	4	8	8	5	9	6	6	6	5	6	6	6	8	8	8	8	8	4	8	8	8	8	8
14	21	4	4	4	4	4	4	3	4	8	8	5	9	6	6	7	5	7	6	6	9	9	9	9	9	4	8	8	8	8	8
15	22	4	4	4	4	4	4	4	4	8	8	5	9	7	7	7	5	7	7	7	9	9	9	9	9	4	8	8	8	8	8
16	23	5	5	5	5	5	5	4	4	9	9	6	10	7	7	7	6	7	7	7	9	9	9	9	9	4	9	9	9	9	9
17	24	5	5	5	5	5	5	4	5	9	9	6	10	7	7	8	6	8	7	7	10	10	10	10	10	5	9	9	9	9	9
18	25	5	5	5	5	5	5	4	5	10	10	6	11	8	8	8	6	8	8	8	10	10	10	10	10	5	10	10	10	10	10
19	26	5	5	5	5	5	5	4	5	10	10	7	11	8	8	8	7	8	8	8	11	11	11	11	11	5	10	10	10	10	10
20	27	6	6	6	6	6	6	5	5	10	10	7	12	8	8	9	7	9	8	8	11	11	11	11	11	5	10	10	10	10	10
21	29	6	6	6	6	6	6	5	6	11	11	7	13	9	9	9	7	9	9	9	12	12	12	12	12	6	11	11	11	11	11
22	31	6	6	6	6	6	6	5	6	12	12	8	13	10	10	10	8	10	10	10	13	13	13	13	13	6	12	12	12	12	12
23	33	7	7	7	7	7	7	6	7	13	13	8	14	10	10	11	8	11	10	10	14	14	14	14	14	7	13	13	13	13	13
24	35	7	7	7	7	7	7	6	7	14	14	9	15	11	11	11	9	11	11	11	15	15	15	15	15	7	14	14	14	14	14
25	37	8	8	8	8	8	8	6	7	14	14	9	16	11	11	12	9	12	11	11	15	15	15	15	15	7	14	14	14	14	14
26	39	8	8	8	8	8	8	7	8	15	15	10	17	12	12	13	10	13	12	12	16	16	16	16	16	8	15	15	15	15	15
27	41	9	9	9	9	9	9	7	8	16	16	11	18	13	13	13	11	13	13	13	17	17	17	17	17	8	16	16	16	16	16
28	43	9	9	9	9	9	9	8	9	17	17	11	19	13	13	14	11	14	13	13	18	18	18	18	18	9	17	17	17	17	17
29	45	10	10	10	10	10	10	8	9	18	18	12	20	14	14	15	12	15	14	14	19	19	19	19	19	9	18	18	18	18	18
30	47	10	10	10	10	10	10	8	10	18	18	12	21	15	15	15	12	15	15	15	20	20	20	20	20	10	19	19	19	19	19
31	49	10	10	10	10	10	10	9	10	19	19	13	22	15	15	16	13	16	15	15	21	21	21	21	21	10	19	19	19	19	19
32	51	11	11	11	11	11	11	9	10	20	20	13	22	16	16	17	13	17	16	16	22	22	22	22	22	11	20	20	20	20	20
33	53	11	11	11	11	11	11	10	11	21	21	14	23	17	17	17	14	17	17	17	22	22	22	22	22	11	21	21	21	21	21
34	55	12	12	12	12	12	12	10	11	22	22	14	24	17	17	18	14	18	17	17	23	23	23	23	23	11	22	22	22	22	22
35	57	12	12	12	12	12	12	10	12	22	22	15	25	18	18	19	15	19	18	18	24	24	24	24	24	12	23	23	23	23	23
36	59	13	13	13	13	13	13	11	12	23	23	15	26	19	19	19	15	19	19	19	25	25	25	25	25	12	23	23	23	23	23
37	61	13	13	13	13	13	13	11	13	24	24	16	27	19	19	20	16	20	19	19	26	26	26	26	26	13	24	24	24	24	24
38	63	14	14	14	14	14	14	11	13	25	25	17	28	20	20	21	17	21	20	20	27	27	27	27	27	13	25	25	25	25	25
39	65	14	14	14	14	14	14	12	13	26	26	17	29	21	21	21	17	21	21	21	28	28	28	28	28	14	26	26	26	26	26
40	67	14	14	14	14	14	14	12	14	26	26	18	30	21	21	22	18	22	21	21	28	28	28	28	28	14	27	27	27	27	27
41	69	15	15	15	15	15	15	13	14	27	27	18	31	22	22	23	18	23	22	22	29	29	29	29	29	14	27	27	27	27	27
42	71	15	15	15	15	15	15	13	15	28	28	19	31	23	23	23	19	23	23	23	30	30	30	30	30	15	28	28	28	28	28
43	73	16	16	16	16	16	16	13	15	29	29	19	32	23	23	24	19	24	23	23	31	31	31	31	31	15	29	29	29	29	29
44	75	16	16	16	16	16	16	14	16	30	30	20	33	24	24	25	20	25	24	24	32	32	32	32	32	16	30	30	30	30	30
45	77	17	17	17	17	17	17	14	16	30	30	20	34	24	24	25	20	25	24	24	33	33	33	33	33	16	31	31	31	31	31
46	79	17	17	17	17	17	17	14	16	31	31	21	35	25	25	26	21	26	25	25	34	34	34	34	34	17	31	31	31	31	31
47	81	18	18	18	18	18	18	15	17	32	32	21	36	26	26	27	21	27	26	26	34	34	34	34	34	17	32	32	32	32	32
48	83	18	18	18	18	18	18	15	17	33	33	22	37	26	26	28	22	28	26	26	35	35	35	35	35	17	33	33	33	33	33
49	85	18	18	18	18	18	18	16	18	34	34	22	38	27	27	28	22	28	27	27	36	36	36	36	36	18	34	34	34	34	34
50	87	19	19	19	19	19	19	16	18	34	34	23	39	28	28	29	23	29	28	28	37	37	37	37	37	18	35	35	35	35	35
51	89	19	19	19	19	19	19	16	18	35	35	24	40	28	28	30	24	30	28	28	38	38	38	38	38	19	36	36	36	36	36
52	91	20	20	20	20	20	20	17	19	36	36	24	40	29	29	30	24	30	29	29	39	39	39	39	39	19	36	36	36	36	36
53	93	20	20	20	20	20	20	17	19	37	37	25	41	30	30	31	25	31	30	30	40	40	40	40	40	20	37	37	37	37	37
54	95	21	21	21	21	21	21	17	20	38	38	25	42	30	30	32	25	32	30	30	41	41	41	41	41	20	38	38	38	38	38
55	97	21	21	21	21	21	21	18	20	38	38	26	43	31	31	32	26	32	31	31	41	41	41	41	41	20	39	39	39	39	39
56	99	22	22	22	22	22	22	18	21	39	39	26	44	32	32	33	26	33	32	32	42	42	42	42	42	21	40	40	40	40	40
57	101	22	22	22	22	22	22	19	21	40	40	27	45	32	32	34	27	34	32	32	43	43	43	43	43	21	40	40	40	40	40
58	103	22	22	22	22	22	22	19	21	41	41	27	46	33	33	34	27	34	33	33	44	44	44	44	44	22	41	41	41	41	41
59	105	23	23	23	23	23	23	19	22	42	42	28	47	34	34	35	28	35	34	34	45	45	45	45	45	22	42	42	42	42	42
60	107	23	23	23	23	23	23	20	22	42	42	28	48	34	34	36	28	36	34	34	46	46	46	46	46	23	43	43	43	43	43
61	110	24	24	24	24	24	24	20	23	44	44	29	49	35	35	37	29	37	35	35	47	47	47	47	47	23	44	44	44	44	44
62	113	25	25	25	25	25	25	21	24	45	45	30	50	36	36	38	30	38	36	36	48	48	48	48	48	24	45	45	45	45	45
63	116	25	25	25	25	25	25	21	24	46	46	31	52	37	37	39	31	39	37	37	50	50	50	50	50	25	46	46	46	46	46
64	119	26	26	26	26	26	26	22	25	47	47	32	53	38	38	40	32	40	38	38	51	51	51	51	51	25	48	48	48	48	48
65	122	27	27	27	27	27	27	23	26	48	48	32	54	39	39	41	32	41	39	39	52	52	52	52	52	26	49	49	49	49	49
66	125	27	27	27	27	27	27	23	26	50	50	33	56	40	40	42	33	42	40	40	54	54	54	54	54	27	50	50	50	50	50
67	128	28	28	28	28	28	28	24	27	51	51	34	57	41	41	43	34	43	41	41	55	55	55	55	55	27	51	51	51	51	51
68	131	29	29	29	29	29	29	24	27	52	52	35	58	42	42	44	35	44	42	42	56	56	56	56	56	28	53	53	53	53	53
69	134	29	29	29	29	29	29	25	28	53	53	36	60	43	43	45	36	45	43	43	57	57	57	57	57	28	54	54	54	54	54
70	137	30	30	30	30	30	30	25	29	54	54	36	61	44	44	46	36	46	44	44	59	59	59	59	59	29	55	55	55	55	55
71	140	31	31	31	31	31	31	26	29	56	56	37	63	45	45	47	37	47	45	45	60	60	60	60	60	30	56	56	56	56	56
72	143	31	31	31	31	31	31	27	30	57	57	38	64	46	46	48	38	48	46	46	61	61	61	61	61	30	57	57	57	57	57
73	146	32	32	32	32	32	32	27	31	58	58	39	65	47	47	49	39	49	47	47	63	63	63	63	63	31	59	59	59	59	59
74	149	33	33	33	33	33	33	28	31	59	59	40	67	48	48	50	40	50	48	48	64	64	64	64	64	32	60	60	60	60	60
75	152	33	33	33	33	33	33	28	32	60	60	41	68	49	49	51	41	51	49	49	65	65	65	65	65	32	61	61	61	61	61
76	155	34	34	34	34	34	34	29	33	62	62	41	69	50	50	52	41	52	50	50	66	66	66	66	66	33	62	62	62	62	62
77	158	35	35	35	35	35	35	29	33	63	63	42	71	51	51	53	42	53	51	51	68	68	68	68	68	34	63	63	63	63	63
78	161	35	35	35	35	35	35	30	34	64	64	43	72	52	52	54	43	54	52	52	69	69	69	69	69	34	65	65	65	65	65
79	164	36	36	36	36	36	36	30	34	65	65	44	73	53	53	55	44	55	53	53	70	70	70	70	70	35	66	66	66	66	66
80	167	37	37	37	37	37	37	31	35	66	66	45	75	54	54	56	45	56	54	54	72	72	72	72	72	36	67	67	67	67	67
81	170	37	37	37	37	37	37	32	36	68	68	45	76	55	55	57	45	57	55	55	73	73	73	73	73	36	68	68	68	68	68
82	173	38	38	38	38	38	38	32	36	69	69	46	77	56	56	58	46	58	56	56	74	74	74	74	74	37	70	70	70	70	70
83	176	39	39	39	39	39	39	33	37	70	70	47	79	57	57	59	47	59	57	57	76	76	76	76	76	38	71	71	71	71	71
84	179	39	39	39	39	39	39	33	38	71	71	48	80	57	57	60	48	60	57	57	77	77	77	77	77	38	72	72	72	72	72
85	182	40	40	40	40	40	40	34	38	72	72	49	81	58	58	61	49	61	58	58	78	78	78	78	78	39	73	73	73	73	73
86	185	41	41	41	41	41	41	34	39	74	74	49	83	59	59	62	49	62	59	59	79	79	79	79	79	39	74	74	74	74	74
87	188	41	41	41	41	41	41	35	40	75	75	50	84	60	60	63	50	63	60	60	81	81	81	81	81	40	76	76	76	76	76
88	191	42	42	42	42	42	42	36	40	76	76	51	85	61	61	64	51	64	61	61	82	82	82	82	82	41	77	77	77	77	77
89	194	43	43	43	43	43	43	36	41	77	77	52	87	62	62	65	52	65	62	62	83	83	83	83	83	41	78	78	78	78	78
90	197	43	43	43	43	43	43	37	42	78	78	53	88	63	63	66	53	66	63	63	85	85	85	85	85	42	79	79	79	79	79
91	200	44	44	44	44	44	44	37	42	80	80	54	90	64	64	67	54	67	64	64	86	86	86	86	86	43	81	81	81	81	81
92	203	45	45	45	45	45	45	38	43	81	81	54	91	65	65	68	54	68	65	65	87	87	87	87	87	43	82	82	82	82	82
93	206	45	45	45	45	45	45	38	43	82	82	55	92	66	66	69	55	69	66	66	88	88	88	88	88	44	83	83	83	83	83
94	209	46	46	46	46	46	46	39	44	83	83	56	94	67	67	70	56	70	67	67	90	90	90	90	90	45	84	84	84	84	84
95	212	47	47	47	47	47	47	40	45	84	84	57	95	68	68	71	57	71	68	68	91	91	91	91	91	45	85	85	85	85	85
96	215	47	47	47	47	47	47	40	45	86	86	58	96	69	69	72	58	72	69	69	92	92	92	92	92	46	87	87	87	87	87
97	218	48	48	48	48	48	48	41	46	87	87	58	98	70	70	73	58	73	70	70	94	94	94	94	94	47	88	88	88	88	88
98	221	49	49	49	49	49	49	41	47	88	88	59	99	71	71	74	59	74	71	71	95	95	95	95	95	47	89	89	89	89	89
99	224	49	49	49	49	49	49	42	47	89	89	60	100	72	72	75	60	75	72	72	96	96	96	96	96	48	90	90	90	90	90
100	227	50	50	50	50	50	50	42	48	90	90	61	102	73	73	76	61	76	73	73	98	98	98	98	98	49	91	91	91	91	91
101	231	51	51	51	51	51	51	43	49	92	92	62	103	74	74	77	62	77	74	74	99	99	99	99	99	49	93	93	93	93	93
102	235	52	52	52	52	52	52	44	50	94	94	63	105	76	76	79	63	79	76	76	101	101	101	101	101	50	95	95	95	95	95
103	239	53	53	53	53	53	53	45	50	95	95	64	107	77	77	80	64	80	77	77	103	103	103	103	103	51	96	96	96	96	96
104	243	54	54	54	54	54	54	45	51	97	97	65	109	78	78	82	65	82	78	78	104	104	104	104	104	52	98	98	98	98	98
105	247	54	54	54	54	54	54	46	52	98	98	66	111	80	80	83	66	83	80	80	106	106	106	106	106	53	100	100	100	100	100
106	251	55	55	55	55	55	55	47	53	100	100	67	112	81	81	84	67	84	81	81	108	108	108	108	108	54	101	101	101	101	101
107	255	56	56	56	56	56	56	48	54	102	102	68	114	82	82	86	68	86	82	82	110	110	110	110	110	55	103	103	103	103	103
108	259	57	57	57	57	57	57	48	55	103	103	69	116	83	83	87	69	87	83	83	111	111	111	111	111	55	104	104	104	104	104
109	263	58	58	58	58	58	58	49	56	105	105	71	118	85	85	88	71	88	85	85	113	113	113	113	113	56	106	106	106	106	106
110	267	59	59	59	59	59	59	50	56	106	106	72	120	86	86	90	72	90	86	86	115	115	115	115	115	57	108	108	108	108	108
111	271	60	60	60	60	60	60	51	57	108	108	73	121	87	87	91	73	91	87	87	117	117	117	117	117	58	109	109	109	109	109
112	275	61	61	61	61	61	61	51	58	110	110	74	123	89	89	92	74	92	89	89	118	118	118	118	118	59	111	111	111	111	111
113	279	62	62	62	62	62	62	52	59	111	111	75	125	90	90	94	75	94	90	90	120	120	120	120	120	60	112	112	112	112	112
114	283	62	62	62	62	62	62	53	60	113	113	76	127	91	91	95	76	95	91	91	122	122	122	122	122	61	114	114	114	114	114
115	287	63	63	63	63	63	63	54	61	114	114	77	129	92	92	96	77	96	92	92	123	123	123	123	123	61	116	116	116	116	116
116	291	64	64	64	64	64	64	54	62	116	116	78	130	94	94	98	78	98	94	94	125	125	125	125	125	62	117	117	117	117	117
117	295	65	65	65	65	65	65	55	62	118	118	79	132	95	95	99	79	99	95	95	127	127	127	127	127	63	119	119	119	119	119
118	299	66	66	66	66	66	66	56	63	119	119	80	134	96	96	100	80	100	96	96	129	129	129	129	129	64	121	121	121	121	121
119	303	67	67	67	67	67	67	57	64	121	121	81	136	98	98	102	81	102	98	98	130	130	130	130	130	65	122	122	122	122	122
120	307	68	68	68	68	68	68	57	65	122	122	82	138	99	99	103	82	103	99	99	132	132	132	132	132	66	124	124	124	124	124
121	311	69	69	69	69	69	69	58	66	124	124	83	139	100	100	104	83	104	100	100	134	134	134	134	134	67	125	125	125	125	125
122	315	70	70	70	70	70	70	59	67	126	126	85	141	102	102	106	85	106	102	102	136	136	136	136	136	68	127	127	127	127	127
123	319	70	70	70	70	70	70	60	68	127	127	86	143	103	103	107	86	107	103	103	137	137	137	137	137	68	129	129	129	129	129
124	323	71	71	71	71	71	71	61	68	129	129	87	145	104	104	109	87	109	104	104	139	139	139	139	139	69	130	130	130	130	130
125	327	72	72	72	72	72	72	61	69	130	130	88	147	105	105	110	88	110	105	105	141	141	141	141	141	70	132	132	132	132	132
126	331	73	73	73	73	73	73	62	70	132	132	89	148	107	107	111	89	111	107	107	142	142	142	142	142	71	134	134	134	134	134
127	335	74	74	74	74	74	74	63	71	134	134	90	150	108	108	113	90	113	108	108	144	144	144	144	144	72	135	135	135	135	135
128	339	75	75	75	75	75	75	64	72	135	135	91	152	109	109	114	91	114	109	109	146	146	146	146	146	73	137	137	137	137	137
129	343	76	76	76	76	76	76	64	73	137	137	92	154	111	111	115	92	115	111	111	148	148	148	148	148	74	138	138	138	138	138
130	347	77	77	77	77	77	77	65	74	138	138	93	156	112	112	117	93	117	112	112	149	149	149	149	149	74	140	140	140	140	140
131	351	78	78	78	78	78	78	66	74	140	140	94	157	113	113	118	94	118	113	113	151	151	151	151	151	75	142	142	142	142	142
132	355	78	78	78	78	78	78	67	75	142	142	95	159	115	115	119	95	119	115	115	153	153	153	153	153	76	143	143	143	143	143
133	359	79	79	79	79	79	79	67	76	143	143	96	161	116	116	121	96	121	116	116	155	155	155	155	155	77	145	145	145	145	145
134	363	80	80	80	80	80	80	68	77	145	145	98	163	117	117	122	98	122	117	117	156	156	156	156	156	78	147	147	147	147	147
135	367	81	81	81	81	81	81	69	78	146	146	99	165	118	118	123	99	123	118	118	158	158	158	158	158	79	148	148	148	148	148
136	371	82	82	82	82	82	82	70	79	148	148	100	166	120	120	125	100	125	120	120	160	160	160	160	160	80	150	150	150	150	150
137	375	83	83	83	83	83	83	70	80	150	150	101	168	121	121	126	101	126	121	121	162	162	162	162	162	81	151	151	151	151	151
138	379	84	84	84	84	84	84	71	80	151	151	102	170	122	122	127	102	127	122	122	163	163	163	163	163	81	153	153	153	153	153
139	383	85	85	85	85	85	85	72	81	153	153	103	172	124	124	129	103	129	124	124	165	165	165	165	165	82	155	155	155	155	155
140	387	86	86	86	86	86	86	73	82	154	154	104	174	125	125	130	104	130	125	125	167	167	167	167	167	83	156	156	156	156	156
141	392	87	87	87	87	87	87	74	83	156	156	105	176	127	127	132	105	132	127	127	169	169	169	169	169	84	158	158	158	158	158
142	397	88	88	88	88	88	88	74	84	158	158	107	178	128	128	133	107	133	128	128	171	171	171	171	171	85	160	160	160	160	160
143	402	89	89	89	89	89	89	75	85	160	160	108	180	130	130	135	108	135	130	130	173	173	173	173	173	86	162	162	162	162	162
144	407	90	90	90	90	90	90	76	86	162	162	109	183	131	131	137	109	137	131	131	175	175	175	175	175	87	164	164	164	164	164
145	412	91	91	91	91	91	91	77	87	164	164	111	185	133	133	139	111	139	133	133	177	177	177	177	177	88	166	166	166	166	166
146	417	92	92	92	92	92	92	78	88	166	166	112	187	135	135	140	112	140	135	135	180	180	180	180	180	90	168	168	168	168	168
147	422	93	93	93	93	93	93	79	90	168	168	113	189	136	136	142	113	142	136	136	182	182	182	182	182	91	170	170	170	170	170
148	427	94	94	94	94	94	94	80	91	170	170	115	192	138	138	144	115	144	138	138	184	184	184	184	184	92	172	172	172	172	172
149	432	96	96	96	96	96	96	81	92	172	172	116	194	139	139	145	116	145	139	139	186	186	186	186	186	93	174	174	174	174	174
150	437	97	97	97	97	97	97	82	93	174	174	117	196	141	141	147	117	147	141	141	188	188	188	188	188	94	176	176	176	176	176
