等级	力量	智慧	根骨	体魄	敏捷	身法	生命值	物理防御	法术防御	额外伤害	伤害减免	暴击等级	暴击伤害等级	暴击防御等级	命中等级	回避等级	招架等级	物理穿透等级	法术穿透等级	金抗性	木抗性	水抗性	火抗性	土抗性	金伤害	木伤害	水伤害	火伤害	土伤害
level																													
int																													
1	0	0	0	0	0	0	5	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	0	0	0	0	0	0	6	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3	0	0	0	0	0	0	7	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4	0	0	0	0	0	0	7	2	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	1	1	1	1	1	1	8	3	3	1	2	1	2	2	2	1	2	2	2	2	2	2	2	2	1	1	1	1	1
6	1	1	1	1	1	1	9	3	3	2	2	1	3	2	2	1	2	2	2	2	2	2	2	2	1	1	1	1	1
7	1	1	1	1	1	1	9	3	3	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
8	1	1	1	1	1	1	10	4	4	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
9	1	1	1	1	1	1	11	4	4	2	3	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
10	1	1	1	1	1	1	12	4	4	2	3	2	4	2	3	2	3	2	2	2	2	2	2	2	2	2	2	2	2
11	1	1	1	1	1	1	12	4	4	2	3	2	4	3	3	2	3	3	3	3	3	3	3	3	2	2	2	2	2
12	1	1	1	1	1	1	13	5	5	3	3	2	4	3	3	2	3	3	3	3	3	3	3	3	2	2	2	2	2
13	1	1	1	1	1	1	14	5	5	3	3	2	4	3	3	2	3	3	3	3	3	3	3	3	2	2	2	2	2
14	1	1	1	1	1	1	14	5	5	3	4	3	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
15	1	1	1	1	1	1	15	5	5	3	4	3	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
16	2	2	2	2	2	2	16	6	6	3	4	3	5	3	4	3	4	3	3	3	3	3	3	3	3	3	3	3	3
17	2	2	2	2	2	2	17	6	6	3	4	3	5	4	4	3	4	4	4	4	4	4	4	4	3	3	3	3	3
18	2	2	2	2	2	2	17	6	6	4	4	3	6	4	4	3	4	4	4	4	4	4	4	4	3	3	3	3	3
19	2	2	2	2	2	2	18	6	6	4	4	3	6	4	4	3	4	4	4	4	4	4	4	4	3	3	3	3	3
20	2	2	2	2	2	2	19	7	7	4	5	3	6	4	4	3	4	4	4	4	4	4	4	4	3	3	3	3	3
21	2	2	2	2	2	2	20	7	7	4	5	4	6	5	5	4	5	5	5	5	5	5	5	5	4	4	4	4	4
22	2	2	2	2	2	2	22	8	8	4	5	4	7	5	5	4	5	5	5	5	5	5	5	5	4	4	4	4	4
23	2	2	2	2	2	2	23	8	8	5	6	4	7	5	5	4	5	5	5	5	5	5	5	5	4	4	4	4	4
24	3	3	3	3	3	3	24	9	9	5	6	5	8	6	6	5	6	6	6	6	6	6	6	6	5	5	5	5	5
25	3	3	3	3	3	3	26	9	9	5	7	5	8	6	6	5	6	6	6	6	6	6	6	6	5	5	5	5	5
26	3	3	3	3	3	3	27	10	10	6	7	5	9	6	7	5	7	6	6	6	6	6	6	6	5	5	5	5	5
27	3	3	3	3	3	3	29	10	10	6	7	5	9	7	7	5	7	7	7	7	7	7	7	7	5	5	5	5	5
28	3	3	3	3	3	3	30	11	11	6	8	6	10	7	7	6	7	7	7	7	7	7	7	7	6	6	6	6	6
29	4	4	4	4	4	4	32	12	12	7	8	6	10	7	8	6	8	7	7	7	7	7	7	7	6	6	6	6	6
30	4	4	4	4	4	4	33	12	12	7	9	6	11	8	8	6	8	8	8	8	8	8	8	8	6	6	6	6	6
31	4	4	4	4	4	4	34	13	13	7	9	7	11	8	8	7	8	8	8	8	8	8	8	8	7	7	7	7	7
32	4	4	4	4	4	4	36	13	13	8	9	7	12	8	9	7	9	8	8	8	8	8	8	8	7	7	7	7	7
33	4	4	4	4	4	4	37	14	14	8	10	7	12	9	9	7	9	9	9	9	9	9	9	9	7	7	7	7	7
34	4	4	4	4	4	4	39	14	14	8	10	7	13	9	9	7	9	9	9	9	9	9	9	9	7	7	7	7	7
35	5	5	5	5	5	5	40	15	15	9	10	8	13	9	10	8	10	9	9	9	9	9	9	9	8	8	8	8	8
36	5	5	5	5	5	5	41	15	15	9	11	8	14	10	10	8	10	10	10	10	10	10	10	10	8	8	8	8	8
37	5	5	5	5	5	5	43	16	16	9	11	8	14	10	10	8	10	10	10	10	10	10	10	10	8	8	8	8	8
38	5	5	5	5	5	5	44	16	16	10	12	9	15	10	11	9	11	10	10	10	10	10	10	10	9	9	9	9	9
39	5	5	5	5	5	5	46	17	17	10	12	9	15	11	11	9	11	11	11	11	11	11	11	11	9	9	9	9	9
40	5	5	5	5	5	5	47	17	17	10	12	9	16	11	12	9	12	11	11	11	11	11	11	11	9	9	9	9	9
41	6	6	6	6	6	6	49	18	18	11	13	9	16	11	12	9	12	11	11	11	11	11	11	11	9	9	9	9	9
42	6	6	6	6	6	6	50	18	18	11	13	10	17	12	12	10	12	12	12	12	12	12	12	12	10	10	10	10	10
43	6	6	6	6	6	6	51	19	19	11	14	10	17	12	13	10	13	12	12	12	12	12	12	12	10	10	10	10	10
44	6	6	6	6	6	6	53	20	20	12	14	10	18	12	13	10	13	12	12	12	12	12	12	12	10	10	10	10	10
45	6	6	6	6	6	6	54	20	20	12	14	11	18	13	13	11	13	13	13	13	13	13	13	13	11	11	11	11	11
46	7	7	7	7	7	7	56	21	21	12	15	11	18	13	14	11	14	13	13	13	13	13	13	13	11	11	11	11	11
47	7	7	7	7	7	7	57	21	21	12	15	11	19	14	14	11	14	14	14	14	14	14	14	14	11	11	11	11	11
