id	随机次数	不掉落权重	掉落权重	是否氏族掉落	掉落包	说明
id	randomCount	noDrop	drop	isGuild	dropid	
int	int	int	int	bool	int	
1	3	10	90		1	掉强化石
2	1	70	30		2	掉七夕礼包
3	1	0	100		3	朱雀、师门挖宝掉落
4	1	0	100		4	活跃度奖励1
5	1	0	100		5	活跃度奖励2
6	1	0	100		6	活跃度奖励3
7	1	0	100		7	活跃度奖励4
8	1	0	100		8	活跃度奖励5
50	1	0	100		50	知识竞赛纪念奖励
51	1	0	100		51	一条龙队长礼包
52	1	0	100		52	一条龙礼包
60	1		100		60	随机装备灵石
101	1	0	100		101	普通技能书宝箱
102	1	0	100		102	高级技能书宝箱
103	1	0	100		103	绝技技能书宝箱
111	1	0	100			随机初级护符
112	1	0	100			随机中级护符
113	1	0	100			随机高级护符
114	1	0	100			随机顶级护符
181	1		100		181	蓝装1级分解
182	1		100		182	蓝装10级分解
183	1		100		183	蓝装20级分解
184	1		100		184	蓝装30级分解
185	1		100		185	蓝装40级分解
186	1		100		186	蓝装50级分解
187	1		100		187	蓝装60级分解
188	1		100		188	蓝装70级分解
189	1		100		189	蓝装80级分解
190	1		100		190	蓝装90级分解
191	1		100		191	紫装60以下分解
192	1		100		192	紫装69-79分解
193	1		100		193	紫装80-84分解
194	1		100		194	紫装85-94分解
201	1		100		201	橙装60以下分解
202	1		100		202	橙装69-79分解
203	1		100		203	橙装80-84分解
204	1		100		204	橙装85-94分解
211	1		100		211	红装60以下分解
212	1		100		212	红装69-79分解
213	1		100		213	红装80-84分解
214	1		100		214	红装85-94分解
215	1	80	20		215	红装60以下分解
216	1	80	20		216	红装69-79分解
217	1	80	20		217	红装80-84分解
218	1	80	20		218	红装85-94分解
241	3	20	80		241	第一关普通掉落
243	3	20	80		243	第三关普通掉落
244	3	20	80		244	第二章-1普通(随机掉落绿蓝装,蓝装掉率50%)
245	3	20	80		244	第二章-2普通(随机掉落绿蓝装,蓝装掉率50%)
301	4	20	80		301	第一章-1精英
302	4	20	80		302	第二章-1精英
303	4	20	80		303	第二章-3精英
