AutoId	时间组ID	周	开始时间-年	开始时间-月	开始时间-日	开始时间-时	开始时间-分	结束时间-年	结束时间-月	结束时间-日	结束时间-时	结束时间-分	备注
id	timeId	weekTime	beginYear	beginMonth	beginDay	beginHour	beginMinute	endYear	endMonth	endDay	endHour	endMinute	desc
int	int	ints	int	int	int	int	int	int	int	int	int	int	str
1	1	1;2;3;4;5;6;0				0					16		定时刷新--盗贼
2	2	1;2;3;4;5;6;0				16					23	45	定时刷新--封魔
3	3	1;2;3;4;5;6;0				12					18		帮会大盗
4	4	1;2;3;4;5;6;0				19					19	30	帮会大盗
5	5	1;2;3;4;5;6;0				0					23	59	帮会BOSS
6	6	1;2;3;4;5;6				11	0				24		知识竞赛初赛
7	7	0				19					19	30	知识竞赛决赛
8	8	1;2;3;4;5;6;0				0					21		氏族供奉
9	9	1;2;3;4;5;6;0				0					22		竞技场
10	10	2;4;6				11	30				12		讨伐灵兽-朱雀（活动日程表）
11	10	2;4;6				15					15	30	讨伐灵兽-朱雀（活动日程表）
12	11	2;4;6				11	15				12		讨伐灵兽-朱雀（讨伐灵兽配置表）
13	12	2;4;6				14	45				15	30	讨伐灵兽-朱雀（讨伐灵兽配置表）
14	13	1;2;3;4;5;6;0				10					18		午后听书活动时间
15	14		2017	7	15	16	0	2017	7	18	23	59	帮会酒宴时间
16	15	1;2;3;4;5;6;0				0					23	59	门派任务
17	16	1;2;3;4;5;6;0				0					23	59	神魔录
18	17	1;2;3;4;5;6;0				0					23	59	天书试炼
19	18	1;2;3;4;5;6;0				12	0				12	30	敌族突袭
20	18	1;2;3;4;5;6;0				13	0				13	30	敌族突袭
21	18	1;2;3;4;5;6;0				14	0				14	30	敌族突袭
22	18	1;2;3;4;5;6;0				15	0				15	30	敌族突袭
23	18	1;2;3;4;5;6;0				16	0				16	30	敌族突袭
24	18	1;2;3;4;5;6;0				17	0				17	30	敌族突袭
25	18	1;2;3;4;5;6;0				18	0				18	30	敌族突袭
26	18	1;2;3;4;5;6;0				19	0				19	30	敌族突袭
27	19	1;2;3;4;5;6;0				0					23	59	思念幻阵
28	20	1;2;3;4;5;6;0				0					23	59	刺探任务
29	21	1;2;3;4;5;6;0				0					23	59	时空漏洞
30	22	1;2;3;4;5;6;0				0					23	59	氏族任务
31	23	1;2;3;4;5;6;0				0					23	59	前尘往事
32	99	1;2;3;4;5;6;0				0					23	59	测试用，全时间段刷新
33	100	1;2;3;4;5;6;0				0					23	59	测试用，全时间段刷新
