id	颜色名字	颜色码
id	colorName	colorCode
int	str	str
1	K	000000
2	G	00ff00
3	G1	6.1E+172
4	G2	149825
5	G3	6eff7f
6	G4	58ff77
7	G5	c4ffa4
8	G6	1E7B3C
9	G7	B7FF16
10	G8	50FF69
11	O	ff9e59
12	O1	ff981e
13	O2	ff5353
14	O3	ffc682
15	O4	54330D
16	O5	FFAC0F
17	O6	FF6A14
18	B1	69b1d3
19	B2	006CFF
20	B3	008FEC
21	B4	4cc3ff
22	B5	a4daff
23	B6	5ADAFF
24	B7	26525F
25	B8	00FFCF
26	B9	47ABFF
27	B10	2B93FF
28	P	cb8bfe
29	P1	BC29DD
30	P2	EF87FF
31	P3	341E38
32	P4	A572FF
33	W	ffffff
34	W1	e9f1fb
35	W2	e5e9ef
36	Y	ffec7b
37	Y1	FFBE11
38	Y2	FFCC29
39	Y3	ffe84d
40	Y4	f9ffb6
41	Y5	FFEE73
42	Y6	FEFFC6
43	Y7	7B631F
44	Y8	F7F64A
45	R	ff0000
46	R1	ef3c49
47	R2	ff4d4d
48	R3	ff4ca6
49	R4	FF4747
50	R5	501C1C
51	R6	8A3939
52	R7	FF59E3
53	R8	FF3093
54	R9	FF5256
55	GR	b3c1d8
56	GR1	bab6c6
57	GR3	8290a8
58	GR4	7792C3
59	GR5	A8B2B5
60	GR6	595B5F
61	GR7	797E7E
