灵兽ID	名称	携带等级	初始AI类型	图标	元神珠ID	品质类型	是否变异	五行属性	摄像机位置参数	广角大小	模型旋转角度	放生奖励	勇敢性格权重	聪明性格权重	冷静性格权重	冲动性格权重	顺从性格权重	狂妄性格权重	成长率下限	成长率上限	力量资质下限	力量资质上限	智慧资质下限	智慧资质上限	根骨资质下限	根骨资质上限	体魄资质下限	体魄资质上限	敏捷资质下限	敏捷资质上限	身法资质下限	身法资质上限	初始力量	初始智慧	初始根骨	初始体魄	初始敏捷	初始身法	力量加点方案	智慧加点方案	根骨加点方案	体魄加点方案	敏捷加点方案	身法加点方案	洗炼材料ID	洗炼材料数量	变异几率	变异ID	基础转化值	绝技几率	绝技ID	天赋技能几率	天赋技能ID	必带普通技能	普通技能权重	普通技能ID	战斗状态对白	触发概率	触发间隔	非战斗状态对白	触发概率	触发间隔	进入关卡对白	触发概率	主人生命值过低对白	触发概率	主人升级对白	触发概率	图鉴描述
identity:group	name	carry_level	ai_type	icon	pet2item	type	variation	fiveElements	camPos	camView	camRota	delReward	brave_weight	clever_weight	chill_weight	impulse_weight	obedience_weight	arrogant_weight	grow_rate_min	grow_rate_max	grow_pow_min	grow_pow_max	grow_intelligence_min	grow_intelligence_max	grow_bone_min	grow_bone_max	grow_bodies_min	grow_bodies_max	grow_agile_min	grow_agile_max	grow_bodyposition_min	grow_bodyposition_max	init_power	init_intelligence	init_root_bone	init_bodies	init_agile	init_body_position	power_slider_point	intelligence_slider_point	root_bone_slider_point	bodies_slider_point	agile_slider_point	body_slider_position_point	wash_item_id	wash_item_num	variation_Intervall	variation_id	init_transfrom	trickIntervall	trickSkillsID	talentSkill_Intervall	talentSKillsID	defaultSkillId	skillsIntervall	skills	masterFight	speakProb1	speakinterval1	masterNoFight	speakProb2	speakinterval2	masterChangeLevel	speakProb3	masterHP20P	speakProb4	masterUpgrade	speakProb5	des
int	str	int	int	str	int	int	int	int	floats	int	int	int	int	int	int	int	int	int	float	float	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	float	int	int	float	int	float	int	int	ints	ints	str	float	int	str	float	int	str	float	str	float	str	float	str
201	小山猪	10	1	ui_pet_shanzhu	1501	1		5	0;0.25;-2	30	30		20	20	20	20	20	20	0.8	1.3	800	1000	680	850	760	950	720	900	760	950	680	850	360	90	360	160	160	160	2		2		1		1401	1	5	202	1000								1|2|3|4|5|6|7|8|9|10	50	20	11|12|13|14|15|16|17|18|19|20	50	20	21|22|23|24	50	31|32|33	50	41|42|43|44	50	出现在轩辕剑穹之扉中，是主角忠心的同伴，战斗中能吸收大量伤害
202	小山猪	10	1	ui_pet_shanzhu	1502	1	1	5	0;0.25;-2	30	30		20	20	20	20	20	20	0.8	1.6	800	1150	680	978	760	1093	720	1035	760	1093	680	978	360	90	360	160	160	160	2		2		1		1402	1			1000								1|2|3|4|5|6|7|8|9|10	50	20	11|12|13|14|15|16|17|18|19|20	50	20	21|22|23|24	50	31|32|33	50	41|42|43|44	50	出现在轩辕剑穹之扉中，是主角忠心的同伴，战斗中能吸收大量伤害
203	琉璃	1	2	ui_pet_shanzhu	1503	1		2	0;0.25;-1.3	30	30		20	20	20	20	20	20	0.8	1.3	560	700	680	850	760	950	960	1200	680	850	760	950	90	90	285	450	90	285			1	3		1	1401	1	5	204	1000								1|2|3|4	50	20	5|6|7|8	50	20	15|16|17|18	50	19|20|21|22|23	50	9|10|11|12|13|14	50	平时深居在森林中，是轩辕世界最常见的灵兽。能力较弱，是初级者最常用的灵兽
204	琉璃	1	2	ui_pet_shanzhu	1504	1	1	2	0;0.25;-1.3	30	30		20	20	20	20	20	20	0.8	1.6	560	805	680	978	760	1093	960	1380	680	978	760	1093	90	90	285	450	90	285			1	3		1	1402	1			1000								1|2|3|4	50	20	5|6|7|8	50	20	15|16|17|18	50	19|20|21|22|23	50	9|10|11|12|13|14	50	是由小猪修炼进化而成，能力比小猪大大提升，修仙者梦寐以求的灵兽。
205	金符鬼	15	1	ui_pet_jinfu	1505	1		1	0;0.1;-1.5	30	30		20	20	20	20	20	20	0.8	1.3	1000	1250	640	800	680	850	560	700	800	1000	720	900	450	90	90	90	285	285	3				1	1	1401	1	3	206	1000								251|252|253|254	50	20	261|262|263|264|265|266|267|268|269	50	20	271|272|273|274|275	50	281|282|283|284	50	291|292|293|294	50	出现在轩辕剑穹之扉中，是主角忠心的同伴，战斗中能吸收大量伤害
206	金符鬼	15	1	ui_pet_jinfu	1506	1	1	1	0;0.1;-1.5	30	30		20	20	20	20	20	20	0.8	1.6	1000	1438	640	920	680	978	560	805	800	1150	720	1035	450	90	90	90	285	285	3				1	1	1402	1			1000								251|252|253|254	50	20	261|262|263|264|265|266|267|268|269	50	20	271|272|273|274|275	50	281|282|283|284	50	291|292|293|294	50	出现在轩辕剑穹之扉中，是主角忠心的同伴，战斗中能吸收大量伤害
207	木符鬼	25	2	ui_pet_muhu	1507	1		2	0;0.25;-1.7	30	30		20	20	20	20	20	20	0.8	1.3	600	750	600	750	840	1050	1000	1250	600	750	760	950	90	90	285	450	90	285			1	3		1	1401	1	3	208	1000								351|352|353|354	50	20	361|362|363|364|365|366|367|368|369|370	50	20	371|372|373|374	50	381|382|383|384	50	391|392|393|394	50	是由小猪修炼进化而成，能力比小猪大大提升，修仙者梦寐以求的灵兽。
208	木符鬼	25	2	ui_pet_muhu	1508	1	1	2	0;0.25;-1.7	30	30		20	20	20	20	20	20	0.8	1.6	600	863	600	863	840	1208	1000	1438	600	863	760	1093	90	90	285	450	90	285			1	3		1	1402	1			1000								351|352|353|354	50	20	361|362|363|364|365|366|367|368|369|370	50	20	371|372|373|374	50	381|382|383|384	50	391|392|393|394	50	是由小猪修炼进化而成，能力比小猪大大提升，修仙者梦寐以求的灵兽。
209	水符鬼	35	2	ui_pet_shuifu	1509	1		3	0;0.3;-2	30	30		20	20	20	20	20	20	0.8	1.3	600	750	640	800	600	750	800	1000	880	1100	880	1100	90	160	160	160	360	360		1			2	2	1401	1	3	210	1000								101|102|103|104|105|106|107|108|109|110	50	20	111|112|113|114|115|116|117|118|119|120	50	20	121|122|123	50	131|132|133|134	50	141|142|143|144	50	陈辅曾给徒儿陈靖仇一个“符鬼之符”，说以后若一个人有困难就把它打开。后陈靖仇为救师父下伏魔山时，打开了此符，里面的五行符鬼只能择一召唤。
