等级	潜能点	基础力量	基础智慧	基础根骨	基础体魄	基础敏捷	基础身法	基础生命值	基础物理攻击	基础法术攻击	基础治疗强度	基础物理防御	基础法术防御
level:group	potential_point	base_power	base_intelligence	base_root_bone	base_bodies	base_agile	base_body_position	base_life	base_physical_attack	base_magic_attack	base_treatment	base_physical_defense	base_magic_defense
int	int	float	float	float	float	float	float	int	int	int	int	int	int
1	0	0	0	0	0	0	0	100	10	10	20	0	0
2	3	0.8	0.8	0.8	0.8	0.8	0.8	124	12	12	24	4	4
3	3	1.6	1.6	1.6	1.6	1.6	1.6	148	14	14	28	8	8
4	3	2.4	2.4	2.4	2.4	2.4	2.4	172	16	16	32	13	13
5	3	3.2	3.2	3.2	3.2	3.2	3.2	196	18	18	36	17	17
6	3	4	4	4	4	4	4	220	20	20	40	21	21
7	3	4.8	4.8	4.8	4.8	4.8	4.8	244	22	22	44	25	25
8	3	5.6	5.6	5.6	5.6	5.6	5.6	268	24	24	48	29	29
9	3	6.4	6.4	6.4	6.4	6.4	6.4	292	26	26	52	34	34
10	3	7.2	7.2	7.2	7.2	7.2	7.2	316	28	28	56	38	38
11	4	8.4	8.4	8.4	8.4	8.4	8.4	340	30	30	60	42	42
12	4	9.6	9.6	9.6	9.6	9.6	9.6	364	32	32	64	46	46
13	4	10.8	10.8	10.8	10.8	10.8	10.8	388	34	34	68	50	50
14	4	12	12	12	12	12	12	412	36	36	72	55	55
15	4	13.2	13.2	13.2	13.2	13.2	13.2	436	38	38	76	59	59
16	4	14.4	14.4	14.4	14.4	14.4	14.4	460	40	40	80	63	63
17	4	15.6	15.6	15.6	15.6	15.6	15.6	484	42	42	84	67	67
18	4	16.8	16.8	16.8	16.8	16.8	16.8	508	44	44	88	71	71
19	4	18	18	18	18	18	18	532	46	46	92	76	76
20	4	19.2	19.2	19.2	19.2	19.2	19.2	556	48	48	96	80	80
21	5	20.7	20.7	20.7	20.7	20.7	20.7	604	52	52	104	88	88
22	5	22.2	22.2	22.2	22.2	22.2	22.2	652	56	56	112	97	97
23	5	23.7	23.7	23.7	23.7	23.7	23.7	700	60	60	120	105	105
24	5	25.2	25.2	25.2	25.2	25.2	25.2	748	64	64	128	113	113
25	5	26.7	26.7	26.7	26.7	26.7	26.7	796	68	68	136	122	122
26	5	28.2	28.2	28.2	28.2	28.2	28.2	844	72	72	144	130	130
27	5	29.7	29.7	29.7	29.7	29.7	29.7	892	76	76	152	139	139
28	5	31.2	31.2	31.2	31.2	31.2	31.2	940	80	80	160	147	147
29	5	32.7	32.7	32.7	32.7	32.7	32.7	988	84	84	168	155	155
30	5	34.2	34.2	34.2	34.2	34.2	34.2	1036	88	88	176	164	164
31	5	35.7	35.7	35.7	35.7	35.7	35.7	1084	92	92	184	172	172
32	5	37.2	37.2	37.2	37.2	37.2	37.2	1132	96	96	192	181	181
33	5	38.7	38.7	38.7	38.7	38.7	38.7	1180	100	100	200	189	189
34	5	40.2	40.2	40.2	40.2	40.2	40.2	1228	104	104	208	197	197
35	5	41.7	41.7	41.7	41.7	41.7	41.7	1276	108	108	216	206	206
36	5	43.2	43.2	43.2	43.2	43.2	43.2	1324	112	112	224	214	214
37	5	44.7	44.7	44.7	44.7	44.7	44.7	1372	116	116	232	223	223
38	5	46.2	46.2	46.2	46.2	46.2	46.2	1420	120	120	240	231	231
39	5	47.7	47.7	47.7	47.7	47.7	47.7	1468	124	124	248	239	239
40	5	49.2	49.2	49.2	49.2	49.2	49.2	1516	128	128	256	248	248
41	7	51.2	51.2	51.2	51.2	51.2	51.2	1564	132	132	264	256	256
42	7	53.2	53.2	53.2	53.2	53.2	53.2	1612	136	136	272	265	265
43	7	55.2	55.2	55.2	55.2	55.2	55.2	1660	140	140	280	273	273
44	7	57.2	57.2	57.2	57.2	57.2	57.2	1708	144	144	288	281	281
45	7	59.2	59.2	59.2	59.2	59.2	59.2	1756	148	148	296	290	290
46	7	61.2	61.2	61.2	61.2	61.2	61.2	1804	152	152	304	298	298
47	7	63.2	63.2	63.2	63.2	63.2	63.2	1852	156	156	312	307	307
48	7	65.2	65.2	65.2	65.2	65.2	65.2	1900	160	160	320	315	315
49	7	67.2	67.2	67.2	67.2	67.2	67.2	1948	164	164	328	323	323
50	7	69.2	69.2	69.2	69.2	69.2	69.2	1996	168	168	336	332	332
51	7	71.2	71.2	71.2	71.2	71.2	71.2	2044	172	172	344	340	340
52	7	73.2	73.2	73.2	73.2	73.2	73.2	2092	176	176	352	349	349
53	7	75.2	75.2	75.2	75.2	75.2	75.2	2140	180	180	360	357	357
54	7	77.2	77.2	77.2	77.2	77.2	77.2	2188	184	184	368	365	365
55	7	79.2	79.2	79.2	79.2	79.2	79.2	2236	188	188	376	374	374
56	7	81.2	81.2	81.2	81.2	81.2	81.2	2284	192	192	384	382	382
57	7	83.2	83.2	83.2	83.2	83.2	83.2	2332	196	196	392	391	391
58	7	85.2	85.2	85.2	85.2	85.2	85.2	2380	200	200	400	399	399
59	7	87.2	87.2	87.2	87.2	87.2	87.2	2428	204	204	408	407	407
60	7	89.2	89.2	89.2	89.2	89.2	89.2	2476	208	208	416	416	416
61	9	91.7	91.7	91.7	91.7	91.7	91.7	2548	214	214	428	428	428
62	9	94.2	94.2	94.2	94.2	94.2	94.2	2620	220	220	440	441	441
63	9	96.7	96.7	96.7	96.7	96.7	96.7	2692	226	226	452	454	454
64	9	99.2	99.2	99.2	99.2	99.2	99.2	2764	232	232	464	466	466
65	9	101.7	101.7	101.7	101.7	101.7	101.7	2836	238	238	476	479	479
66	9	104.2	104.2	104.2	104.2	104.2	104.2	2908	244	244	488	491	491
67	9	106.7	106.7	106.7	106.7	106.7	106.7	2980	250	250	500	504	504
68	9	109.2	109.2	109.2	109.2	109.2	109.2	3052	256	256	512	517	517
69	9	111.7	111.7	111.7	111.7	111.7	111.7	3124	262	262	524	529	529
70	9	114.2	114.2	114.2	114.2	114.2	114.2	3196	268	268	536	542	542
71	9	116.7	116.7	116.7	116.7	116.7	116.7	3268	274	274	548	554	554
72	9	119.2	119.2	119.2	119.2	119.2	119.2	3340	280	280	560	567	567
73	9	121.7	121.7	121.7	121.7	121.7	121.7	3412	286	286	572	580	580
74	9	124.2	124.2	124.2	124.2	124.2	124.2	3484	292	292	584	592	592
75	9	126.7	126.7	126.7	126.7	126.7	126.7	3556	298	298	596	605	605
76	9	129.2	129.2	129.2	129.2	129.2	129.2	3628	304	304	608	617	617
77	9	131.7	131.7	131.7	131.7	131.7	131.7	3700	310	310	620	630	630
78	9	134.2	134.2	134.2	134.2	134.2	134.2	3772	316	316	632	643	643
79	9	136.7	136.7	136.7	136.7	136.7	136.7	3844	322	322	644	655	655
80	9	139.2	139.2	139.2	139.2	139.2	139.2	3916	328	328	656	668	668
81	11	142.2	142.2	142.2	142.2	142.2	142.2	3988	334	334	668	680	680
82	11	145.2	145.2	145.2	145.2	145.2	145.2	4060	340	340	680	693	693
83	11	148.2	148.2	148.2	148.2	148.2	148.2	4132	346	346	692	706	706
84	11	151.2	151.2	151.2	151.2	151.2	151.2	4204	352	352	704	718	718
85	11	154.2	154.2	154.2	154.2	154.2	154.2	4276	358	358	716	731	731
86	11	157.2	157.2	157.2	157.2	157.2	157.2	4348	364	364	728	743	743
87	11	160.2	160.2	160.2	160.2	160.2	160.2	4420	370	370	740	756	756
88	11	163.2	163.2	163.2	163.2	163.2	163.2	4492	376	376	752	769	769
89	11	166.2	166.2	166.2	166.2	166.2	166.2	4564	382	382	764	781	781
90	11	169.2	169.2	169.2	169.2	169.2	169.2	4636	388	388	776	794	794
91	11	172.2	172.2	172.2	172.2	172.2	172.2	4708	394	394	788	806	806
92	11	175.2	175.2	175.2	175.2	175.2	175.2	4780	400	400	800	819	819
93	11	178.2	178.2	178.2	178.2	178.2	178.2	4852	406	406	812	832	832
94	11	181.2	181.2	181.2	181.2	181.2	181.2	4924	412	412	824	844	844
95	11	184.2	184.2	184.2	184.2	184.2	184.2	4996	418	418	836	857	857
96	11	187.2	187.2	187.2	187.2	187.2	187.2	5068	424	424	848	869	869
97	11	190.2	190.2	190.2	190.2	190.2	190.2	5140	430	430	860	882	882
98	11	193.2	193.2	193.2	193.2	193.2	193.2	5212	436	436	872	895	895
99	11	196.2	196.2	196.2	196.2	196.2	196.2	5284	442	442	884	907	907
100	11	199.2	199.2	199.2	199.2	199.2	199.2	5356	448	448	896	920	920
101	12	202.7	202.7	202.7	202.7	202.7	202.7	5452	456	456	912	937	937
102	12	206.2	206.2	206.2	206.2	206.2	206.2	5548	464	464	928	953	953
103	12	209.7	209.7	209.7	209.7	209.7	209.7	5644	472	472	944	970	970
104	12	213.2	213.2	213.2	213.2	213.2	213.2	5740	480	480	960	987	987
105	12	216.7	216.7	216.7	216.7	216.7	216.7	5836	488	488	976	1004	1004
106	12	220.2	220.2	220.2	220.2	220.2	220.2	5932	496	496	992	1021	1021
107	12	223.7	223.7	223.7	223.7	223.7	223.7	6028	504	504	1008	1037	1037
108	12	227.2	227.2	227.2	227.2	227.2	227.2	6124	512	512	1024	1054	1054
109	12	230.7	230.7	230.7	230.7	230.7	230.7	6220	520	520	1040	1071	1071
110	12	234.2	234.2	234.2	234.2	234.2	234.2	6316	528	528	1056	1088	1088
111	12	237.7	237.7	237.7	237.7	237.7	237.7	6412	536	536	1072	1105	1105
112	12	241.2	241.2	241.2	241.2	241.2	241.2	6508	544	544	1088	1121	1121
113	12	244.7	244.7	244.7	244.7	244.7	244.7	6604	552	552	1104	1138	1138
114	12	248.2	248.2	248.2	248.2	248.2	248.2	6700	560	560	1120	1155	1155
115	12	251.7	251.7	251.7	251.7	251.7	251.7	6796	568	568	1136	1172	1172
116	12	255.2	255.2	255.2	255.2	255.2	255.2	6892	576	576	1152	1189	1189
117	12	258.7	258.7	258.7	258.7	258.7	258.7	6988	584	584	1168	1205	1205
118	12	262.2	262.2	262.2	262.2	262.2	262.2	7084	592	592	1184	1222	1222
119	12	265.7	265.7	265.7	265.7	265.7	265.7	7180	600	600	1200	1239	1239
120	12	269.2	269.2	269.2	269.2	269.2	269.2	7276	608	608	1216	1256	1256
121	14	273.2	273.2	273.2	273.2	273.2	273.2	7372	616	616	1232	1273	1273
122	14	277.2	277.2	277.2	277.2	277.2	277.2	7468	624	624	1248	1289	1289
123	14	281.2	281.2	281.2	281.2	281.2	281.2	7564	632	632	1264	1306	1306
124	14	285.2	285.2	285.2	285.2	285.2	285.2	7660	640	640	1280	1323	1323
125	14	289.2	289.2	289.2	289.2	289.2	289.2	7756	648	648	1296	1340	1340
126	14	293.2	293.2	293.2	293.2	293.2	293.2	7852	656	656	1312	1357	1357
127	14	297.2	297.2	297.2	297.2	297.2	297.2	7948	664	664	1328	1373	1373
128	14	301.2	301.2	301.2	301.2	301.2	301.2	8044	672	672	1344	1390	1390
129	14	305.2	305.2	305.2	305.2	305.2	305.2	8140	680	680	1360	1407	1407
130	14	309.2	309.2	309.2	309.2	309.2	309.2	8236	688	688	1376	1424	1424
131	14	313.2	313.2	313.2	313.2	313.2	313.2	8332	696	696	1392	1441	1441
132	14	317.2	317.2	317.2	317.2	317.2	317.2	8428	704	704	1408	1457	1457
133	14	321.2	321.2	321.2	321.2	321.2	321.2	8524	712	712	1424	1474	1474
134	14	325.2	325.2	325.2	325.2	325.2	325.2	8620	720	720	1440	1491	1491
135	14	329.2	329.2	329.2	329.2	329.2	329.2	8716	728	728	1456	1508	1508
136	14	333.2	333.2	333.2	333.2	333.2	333.2	8812	736	736	1472	1525	1525
137	14	337.2	337.2	337.2	337.2	337.2	337.2	8908	744	744	1488	1541	1541
138	14	341.2	341.2	341.2	341.2	341.2	341.2	9004	752	752	1504	1558	1558
139	14	345.2	345.2	345.2	345.2	345.2	345.2	9100	760	760	1520	1575	1575
140	14	349.2	349.2	349.2	349.2	349.2	349.2	9196	768	768	1536	1592	1592
141	16	353.7	353.7	353.7	353.7	353.7	353.7	9316	778	778	1556	1613	1613
142	16	358.2	358.2	358.2	358.2	358.2	358.2	9436	788	788	1576	1634	1634
143	16	362.7	362.7	362.7	362.7	362.7	362.7	9556	798	798	1596	1655	1655
144	16	367.2	367.2	367.2	367.2	367.2	367.2	9676	808	808	1616	1676	1676
145	16	371.7	371.7	371.7	371.7	371.7	371.7	9796	818	818	1636	1697	1697
146	16	376.2	376.2	376.2	376.2	376.2	376.2	9916	828	828	1656	1718	1718
147	16	380.7	380.7	380.7	380.7	380.7	380.7	10036	838	838	1676	1739	1739
148	16	385.2	385.2	385.2	385.2	385.2	385.2	10156	848	848	1696	1760	1760
149	16	389.7	389.7	389.7	389.7	389.7	389.7	10276	858	858	1716	1781	1781
150	16	394.2	394.2	394.2	394.2	394.2	394.2	10396	868	868	1736	1802	1802
