ID	奖励物品	奖励银贝	奖励金贝	奖励碧玉	奖励经验	奖励修为	奖励宠物经验	奖励性格值	奖励氏族贡献	奖励门派贡献	奖励氏族资金	奖励荣誉	掉落包ID
id	item	silverShell	goldShell	jasperJade	exp	xiuwei	pet_exp	mettleValue	guildValue	partyValue	guildMoney	honorValue	dropids
int	JobItems	Expression	Expression	Expression	Expression	Expression	Expression	Expression	Expression	Expression	Expression	Expression	ints
101		50000											
102		100000											
103		150000											
104		200000											
105		10000											
106		20000											
111				5									
112				10									
113				50									
114				100									
115				150									
116				200									
121	1(11121|1,11122|1,11123|1,11124|1,11125|1,11131|1,11132|1,11134|1);2(11121|1,11122|1,11123|1,11124|1,11125|1,11131|1,11132|1,11134|1);3(11126|1,11127|1,11128|1,11129|1,11130|1,11131|1,11133|1,11135|1);4(11126|1,11127|1,11128|1,11129|1,11130|1,11131|1,11133|1,11135|1)												
122	1(11221|1,11222|1,11223|1,11224|1,11225|1,11231|1,11232|1,11234|1);2(11221|1,11222|1,11223|1,11224|1,11225|1,11231|1,11232|1,11234|1);3(11226|1,11227|1,11228|1,11229|1,11230|1,11231|1,11233|1,11235|1);4(11226|1,11227|1,11228|1,11229|1,11230|1,11231|1,11233|1,11235|1)												
123	1(11301|1,11311|1,11312|1,11313|1,11314|1,11315|1,11321|1,11322|1,11324|1);2(111302|1,11311|1,11312|1,11313|1,11314|1,11315|1,11321|1,11322|1,11324|1);3(11303|1,11316|1,11317|1,11318|1,11319|1,11320|1,11321|1,11323|1,11325|1);4(11304|1,11316|1,11317|1,11318|1,11319|1,11320|1,11321|1,11323|1,11325|1)												
124	1(11401|1,11411|1,11412|1,11413|1,11414|1,11415|1,11421|1,11422|1,11424|1);2(111402|1,11411|1,11412|1,11413|1,11414|1,11415|1,11421|1,11422|1,11424|1);3(11403|1,11416|1,11417|1,11418|1,11419|1,11420|1,11421|1,11423|1,11425|1);4(11404|1,11416|1,11417|1,11418|1,11419|1,11420|1,11421|1,11423|1,11425|1)												
131											2400000		
132									20		40000		
221						8500							
222						76500							
225		1000			1000				100				
226	3155|2												
230	3153|1	10000											
241	1001|1												
990													50
1000													60
1441							150000						
1442							12000						
1443							60000						
1444							120000						
1445							200000						
1485													
1486													
1487													
2605										200			
3018	1(12083|1);2(12083|1);3(12084|1);4(12084|1)												
3004													51;52
3005													52
3155									1000				
3157									20		10000		
3770													111
3780													112
3790													113
3800													114
4001	1001|5												
4002	1002|5												
4003	1003|5												
4004	1004|5												
5001	1001|5												
5002	1002|5												
5003	1003|5												
5004	1004|5												
5051		1000			1000								
5052		500			500								
5053	3152|1												
5054	1442|1												
5071					1000							10	
5072					500							5	
5073	11001|1;11002|1;11003|1;11004|1;11005|1;11006|1;11011|1;11012|1;11013|1;11016|1;11017|1;11018|1												
5074	1001|99;1002|99;1003|99;1004|99;1005|99;1101|99;1201|99;1202|99												
5075	2101|1;2102|1;2103|1;2104|1												
5076	2201|99;2202|99;2203|99;2203|99;2204|99;1901|99;1902|99;1903|99;1921|99;1922|99;1923|99												
5077	1501|1;1502|1;1503|1;1504|1;1505|1												
5078	1401|99;1402|99;1421|99;1422|99;1423|99;1443|99;												
5079	1654|99;1655|99;1656|99;1657|99;1657|99;1658|99;1801|99;1802|99;1803|99;1804|99;1805|99												
5080	2701|1;2702|1;2703|1;2704|1;2705|1;2706|1;2707|1;2708|1												
10001	1442|1	20000											
10002	1441|1	10000											
10003	3004|1												
10004	3005|1												
10005	1501|1												
10006					10000								
