角色等级	基础经验	基础修为	修为丹奖励	基础银贝	基础宠物经验
id	exp	xiuwei	pill	silver	petexp
int	int	int	int	int	int
1	50	50	3960	12000	50
2	51	51	3960	12480	51
3	52	52	3960	12960	52
4	53	53	3960	13440	53
5	55	55	3960	13920	55
6	57	57	3960	14400	57
7	59	59	3960	14880	59
8	61	61	3960	15360	61
9	64	64	3960	15840	64
10	67	67	3960	16320	67
11	70	70	3960	16800	70
12	73	73	3960	17280	73
13	77	77	3960	17760	77
14	80	80	3960	18240	80
15	84	84	3960	18720	84
16	88	88	3960	19200	88
17	92	92	3960	19680	92
18	97	97	3960	20160	97
19	101	101	3960	20640	101
20	106	106	3960	21120	106
21	110	110	3960	21600	110
22	115	115	3960	22080	115
23	120	120	3960	22560	120
24	125	125	3960	23040	125
25	131	131	3960	23520	131
26	136	136	3960	24000	136
27	142	142	3960	24480	142
28	148	148	3960	24960	148
29	153	153	3960	25440	153
30	159	159	3960	25920	159
31	165	165	3960	26400	165
32	172	172	4128	26880	172
33	178	178	4272	27360	178
34	184	184	4416	27840	184
35	191	191	4584	28320	191
36	198	198	4752	28800	198
37	205	205	4920	29280	205
38	211	211	5064	29760	211
39	219	219	5256	30240	219
40	226	226	5424	30720	226
41	233	233	5592	31200	233
42	240	240	5760	31680	240
43	248	248	5952	32160	248
44	255	255	6120	32640	255
45	263	263	6312	33120	263
46	271	271	6504	33600	271
47	279	279	6696	34080	279
48	287	287	6888	34560	287
49	295	295	7080	35040	295
50	303	303	7272	35520	303
51	311	311	7464	36000	311
52	320	320	7680	36480	320
53	328	328	7872	36960	328
54	337	337	8088	37440	337
55	346	346	8304	37920	346
56	354	354	8496	38400	354
57	363	363	8712	38880	363
58	372	372	8928	39360	372
59	381	381	9144	39840	381
60	391	391	9384	40320	391
61	400	400	9600	40800	400
62	409	409	9816	41280	409
63	419	419	10056	41760	419
64	428	428	10272	42240	428
65	438	438	10512	42720	438
66	448	448	10752	43200	448
67	458	458	10992	43680	458
68	468	468	11232	44160	468
69	478	478	11472	44640	478
70	488	488	11712	45120	488
71	498	498	11952	45600	498
72	508	508	12192	46080	508
73	518	518	12432	46560	518
74	529	529	12696	47040	529
75	539	539	12936	47520	539
76	550	550	13200	48000	550
77	561	561	13464	48480	561
78	572	572	13728	48960	572
79	583	583	13992	49440	583
80	593	593	14232	49920	593
81	605	605	14520	50400	605
82	616	616	14784	50880	616
83	627	627	15048	51360	627
84	638	638	15312	51840	638
85	650	650	15600	52320	650
86	661	661	15864	52800	661
87	673	673	16152	53280	673
88	684	684	16416	53760	684
89	696	696	16704	54240	696
90	708	708	16992	54720	708
91	720	720	17280	55200	720
92	731	731	17544	55680	731
93	743	743	17832	56160	743
94	756	756	18144	56640	756
95	768	768	18432	57120	768
96	780	780	18720	57600	780
97	792	792	19008	58080	792
98	805	805	19320	58560	805
99	817	817	19608	59040	817
100	830	830	19920	59520	830
101	842	842	20208	60000	842
102	855	855	20520	60480	855
103	868	868	20832	60960	868
104	881	881	21144	61440	881
105	894	894	21456	61920	894
106	907	907	21768	62400	907
107	920	920	22080	62880	920
108	933	933	22392	63360	933
109	946	946	22704	63840	946
110	960	960	23040	64320	960
111	973	973	23352	64800	973
112	986	986	23664	65280	986
113	1000	1000	24000	65760	1000
114	1014	1014	24336	66240	1014
115	1027	1027	24648	66720	1027
116	1041	1041	24984	67200	1041
117	1055	1055	25320	67680	1055
118	1069	1069	25656	68160	1069
119	1083	1083	25992	68640	1083
120	1097	1097	26328	69120	1097
121	1111	1111	26664	69600	1111
122	1125	1125	27000	70080	1125
123	1139	1139	27336	70560	1139
124	1154	1154	27696	71040	1154
125	1168	1168	28032	71520	1168
126	1182	1182	28368	72000	1182
127	1197	1197	28728	72480	1197
128	1212	1212	29088	72960	1212
129	1226	1226	29424	73440	1226
130	1241	1241	29784	73920	1241
131	1256	1256	30144	74400	1256
132	1271	1271	30504	74880	1271
133	1286	1286	30864	75360	1286
134	1301	1301	31224	75840	1301
135	1316	1316	31584	76320	1316
136	1331	1331	31944	76800	1331
137	1346	1346	32304	77280	1346
138	1361	1361	32664	77760	1361
139	1377	1377	33048	78240	1377
140	1392	1392	33408	78720	1392
141	1408	1408	33792	79200	1408
142	1423	1423	34152	79680	1423
143	1439	1439	34536	80160	1439
144	1454	1454	34896	80640	1454
145	1470	1470	35280	81120	1470
146	1486	1486	35664	81600	1486
147	1502	1502	36048	82080	1502
148	1518	1518	36432	82560	1518
149	1534	1534	36816	83040	1534
150	1550	1550	37200	83520	1550
