编号	特殊符号
id	specialName
int	str
1	§
2	№
3	☆
4	★
5	○
6	●
7	◎
8	◇
9	◆
10	□
11	℃
12	‰
13	€
14	■
15	△
16	▲
17	※
18	→
19	←
20	↑
21	↓
22	〓
23	¤
24	°
25	＃
26	＆
27	＠
28	＼
29	＾
30	＿
31	―
32	♂
33	♀
34	┌
35	└
36	┎
37	┖
38	┏
39	┗
40	┐
41	┘
42	┑
43	┙
44	┒
45	┚
46	┓
47	┛
48	─
49	━
50	┄
51	┅
52	┈
53	┉
54	├
55	┤
56	┝
57	┥
58	┞
59	┦
60	┟
61	┧
62	┠
63	┨
64	┡
65	┩
66	┢
67	┪
68	┣
69	┫
70	│
71	┃
72	┆
73	┇
74	┊
75	┋
76	┬
77	┴
78	┭
79	┵
80	┮
81	┶
82	┯
83	┷
84	┰
85	┸
86	┱
87	┹
88	┲
89	┺
90	┳
91	┻
92	┼
93	╄
94	┽
95	╅
96	┾
97	╆
98	┿
99	╇
100	╀
101	╈
102	╁
103	╉
104	╂
105	╊
106	╃
107	╋
108	≈
109	≠
110	≡
111	＝
112	≤
113	≥
114	＜
115	＞
116	≮
117	≯
118	∷
119	±
120	＋
121	－
122	×
123	÷
124	／
125	∫
126	∮
127	∝
128	∞
129	∧
130	∨
131	∑
132	∏
133	∪
134	∩
135	∈
136	∵
137	∴
138	⊥
139	∥
140	∠
141	⌒
142	⊙
143	≌
144	∽
145	√
146	Ⅰ
147	Ⅱ
148	Ⅲ
149	Ⅳ
150	Ⅴ
151	Ⅵ
152	Ⅶ
153	Ⅷ
154	Ⅸ
155	Ⅹ
156	Ⅺ
157	Ⅻ
158	⒈
159	⒒
160	⒉
161	⒓
162	⒊
163	⒔
164	⒋
165	⒕
166	⒌
167	⒖
168	⒍
169	⒗
170	⒎
171	⒘
172	⒏
173	⒙
174	⒐
175	⒚
176	⒑
177	⒛
178	㈠
179	①
180	㈡
181	②
182	③
183	㈢
184	④
185	㈣
186	⑤
187	㈤
188	⑥
189	㈥
190	⑦
191	㈦
192	⑧
193	㈧
194	⑨
195	㈨
196	⑩
197	㈩
198	⑴
199	⑾
200	⑵
201	⑿
202	⑶
203	⒀
204	⑷
205	⒁
206	⑸
207	⒂
208	⑹
209	⒃
210	⑺
211	⒄
212	⑻
213	⒅
214	⑼
215	⒆
216	⑽
217	⒇
218	。
219	，
220	、
221	；
222	：
223	？
224	！
225	…
226	—
227	ˉ
228	ˇ
229	¨
230	‘
231	’
232	“
233	”
234	々
235	＂
236	‖
237	｀
238	｜
239	〔
240	〕
241	〈
242	〉
243	《
244	》
245	「
246	」
247	『
248	』
249	．
250	〖
251	〗
252	【
253	】
254	（
255	）
256	［
257	］
258	｛
259	｝
260	ァ
261	ア
262	ィ
263	イ
264	ウ
265	ウ
266	ェ
267	エ
268	ォ
269	オ
270	カ
271	ガ
272	ヵ
273	キ
274	ギ
275	ク
276	グ
277	ケ
278	ゲ
279	ゴ
280	コ
281	サ
282	ザ
283	シ
284	ジ
285	ス
286	ズ
287	セ
288	ゼ
289	ソ
290	ゾ
291	タ
292	ダ
293	チ
294	ヂ
295	ツ
296	ヅ
297	ッ
298	テ
299	デ
300	ト
301	ド
302	ヰ
303	ン
304	パ
305	ナ
306	ニ
307	ピ
308	ヌ
309	プ
310	ネ
311	ペ
312	ポ
313	ノ
314	ハ
315	バ
316	ヒ
317	ビ
318	フ
319	ブ
320	ヘ
321	ベ
322	ホ
323	ボ
324	ラ
325	マ
326	ミ
327	リ
328	ム
329	ル
330	メ
331	レ
332	モ
333	ロ
334	ャ
335	ヤ
336	ュ
337	ユ
338	ョ
339	ヨ
340	ヮ
341	ワ
342	ヲ
343	ā
344	á
345	ǎ
346	à
347	ō
348	ó
349	ǒ
350	ò
351	ê
352	ē
353	é
354	ě
355	ī
356	í
357	í
358	ǐ
359	ū
360	ú
361	ǔ
362	ù
363	ǖ
364	ǘ
365	ǚ
366	ǜ
