模型ID	移动动作ID	默认移动速度	备注
key:group	name	aniSpeed	
str	str	float	
mod_drogan_boss	run	2.5	
mod_baihucike	walk	0.65	
mod_baihuzhanshi	walk	1	
mod_jiliang	walk	0.8	
mod_nancunmin_2	walk	1.5	
mod_nancunmin_2	run_1	7	
mod_nancunmin_2	run_2	7	
mod_nancunmin_1	walk	1.5	
mod_nancunmin_1	run_1	7	
mod_nancunmin_1	run_2	7	
mod_zhuquechihou	walk	1.2	
mod_zhuquechihou	run	4	
mod_nvcunmin	walk	0.5	
mod_qinglongyongshi	walk	5	
mod_baihuyongshi	walk	0.8	
mod_baihuyongshi	run	2.2	
mod_suijungongjianshou	walk	0.6	
mod_suijunshibing	walk	0.6	
mod_xiaobing	walk	1.8	
mod_yuwentuo	walk	0.95	
mod_chenjingchou	walk	1	
mod_yuxiaoxue	walk	0.4	
mod_suijunyongshi	walk	1.4	
mod_zhujuemeimei	walk	1.5	
mod_zhujuemeimei	run_1	4.5	
mod_laocunmin	walk	0.5	
mod_laocunmin	run_1	0.8	
mod_laocunmin	run_2	0.8	
mod_xiaohai	walk	0.9	
mod_menpainvdizi	walk	1	
mod_menpainvdizi	run	4.5	
mod_menpaidizi	walk	1	
mod_menpaidizi	run_1	4.5	
mod_duguningke	walk	2	
mod_duguningke	run_1	5	
mod_nanjianke	run_1	4.5	
mod_nanjianke	run_2	4.5	
mod_nanjianke	run_3	4.5	
mod_nanjianke	fast_run_3	8	
mod_nanjianke	take_run	4	
mod_nanjianke	stealth_walk	1.3	
mod_nvjianke	run_1	4.5	
mod_nvjianke	run_2	4.5	
mod_nvjianke	run_3	4.5	
mod_nvjianke	fast_run_3	8	
mod_nvjianke	take_run	4	
mod_nvjianke	stealth_walk	1.3	
mod_nanmojia	run_1	4.5	
mod_nanmojia	run_2	4.5	
mod_nanmojia	run_3	4.5	
mod_nanmojia	fast_run_3	8	
mod_nanmojia	take_run	4	
mod_nanmojia	stealth_walk	1.3	
mod_nvmojia	run_1	4.5	
mod_nvmojia	run_2	4.5	
mod_nvmojia	run_3	4.5	
mod_nvmojia	fast_run_3	8	
mod_nvmojia	take_run	4	
mod_nvmojia	stealth_walk	1.3	
mod_nanguigu	run_1	4.5	
mod_nanguigu	run_2	4.5	
mod_nanguigu	run_3	4.5	
mod_nanguigu	run_4	4.5	
mod_nanguigu	fast_run_3	8	
mod_nanguigu	take_run	4	
mod_nanguigu	stealth_walk	1.3	
mod_nvguigu	run_1	4.5	
mod_nvguigu	run_2	4.5	
mod_nvguigu	run_3	4.5	
mod_nvguigu	run_4	4.5	
mod_nanguigu	fast_run_3	8	
mod_nvguigu	take_run	4	
mod_nvguigu	stealth_walk	1.3	
mod_nanqiyao	run_1	4.5	
mod_nanqiyao	run_2	4.5	
mod_nanqiyao	run_3	4.5	
mod_nanqiyao	fast_run_3	8	
mod_nanqiyao	take_run	4	
mod_nanqiyao	stealth_walk	1.3	
mod_nvqiyao	run_1	4.5	
mod_nvqiyao	run_2	4.5	
mod_nvqiyao	run_3	4.5	
mod_nvqiyao	fast_run_3	8	
mod_nvqiyao	take_run	4	
mod_nvqiyao	stealth_walk	1.3	
mod_juxianglieren	run	7	
mod_xianglonglishi	run	4.5	
