角色ID	名字	模型	简单AI	行为树	思考间隔	视野	追踪距离	备注	放缩比例	受击材质	原形id	原形名	默认姿态	性格类型	无重力	选中圈比例	选中框比例	头像	显示可进行任务标识	称谓	归属名	归属类型	是否纯表现	随机冒泡内容	随机冒泡概率	隐藏距离	屏蔽点击	阵营	是否主动怪	可视类型	地图显示	头顶显示	隐藏名称	不转向	无血条	头顶显示血条	不飘血	非战斗待机动作	循环特效	前端行为树ID	职业	移动速度	锁定镜头	碰撞半径	受击半径	免疫控制	初始状态	五行属性	默认技能	死亡技能	后端动作	等级设置类型	怪物等级	星级	生命修正	攻击修正	防御修正	力量资质	智慧资质	根骨资质	体魄资质	敏捷资质	身法资质	总点数	生命资质	物理攻击资质	法术攻击资质	物理防御资质	法术防御资质	生命值	物理攻击	法术攻击	物理防御	法术防御	治疗强度	护体	护体恢复	生命恢复	暴击率	暴击伤害率	暴击防御率	回避率	命中率	招架率	熟练率	韧劲率	物理穿透	法术穿透	金抗性率	木抗性率	水抗性率	火抗性率	土抗性率	金伤害率	木伤害率	水伤害率	火伤害率	土伤害率	阴伤害率	阳伤害率
id	name	model	simpleAI	btAI	thinkInterval	fieldOfView	trackDisance		modelScale				posture			selectScaleRate	selectTargetScaleRate	headIcon										battleCamp					hideName						loopEffect			speed			behitRaidus	isBati			defaultSkills		serverAni	levelGradeSetting	level		hpfix	attackfix	defensefix	liliang_zz	zihui_zz	gengu_zz	tipo_zz	minjie_zz	shenfa_zz		shengming_zz	wuligongji_zz	fashugongji_zz	wulifangyu_zz	fashufangyu_zz																															
int	str	str	int	str	floats	float[d#10.0]	float[d#15.0]		float				int			float	float	str										enum:BattleCamp[d#3]					int						str			float			float	int			ints		str	enum:LevelGradeSetting	int		float	float	float	float	float	float	float	float	float		float	float	float	float	float																													
1	男剑客	mod_nanjianke								2			1001			1	1	TianJian_Nan										2												AUTOjianke	1	4					0.1		1001;1002;1003;1021;1031;1041;1051;1052;1053;1022;1101;1111;1201;1211;1221;1231;1301;1401;1011;1012;1501;1511;1521;1601;1701;1901;1902;1903;1904;1905;1906																																																			
2	女剑客	mod_nvjianke								2			1001			1	1	TianJian_Nv										2												AUTOjianke	1	4					0.1		1001;1002;1003;1021;1031;1041;1051;1052;1053;1022;1101;1111;1201;1211;1221;1231;1301;1401;1011;1012;1501;1511;1521;1601;1701;1901;1902;1903;1904;1905;1906																																																			
3	男墨家	mod_nanmojia								2			2001			1	1	TianJian_Nan										2												AUTOmojia	2	4					0.1		2001;2002;2003;2021;2101;2201;2301;2281;2601;2901;2902;2903;2904;2905;2906																																																			
4	女墨家	mod_nvmojia								2			2001			1	1	TianJian_Nan										2												AUTOmojia	2	4					0.1		2001;2002;2003;2021;2101;2201;2301;2281;2601;2901;2902;2903;2904;2905;2906																																																			
5	男鬼谷	mod_nanguigu								2			3001			1	1	TianJian_Nan										2												AUTOguigu	4	4					0.1		3001;3002;3003;3011;3012;3013;3021;3031;3101;3131;3201;3211;3221;3321;3331;3421;3431;3441;3511;3521;3601;3701;3901;3902;3903;3904;3905;3906																																																			
6	女鬼谷	mod_nvguigu								2			3001			1	1	TianJian_Nv										2												AUTOguigu	3	4					0.1		3001;3002;3003;3011;3012;3013;3021;3031;3101;3131;3201;3211;3221;3321;3331;3421;3431;3441;3511;3521;3601;3701;3901;3902;3903;3904;3905;3906																																																			
7	男七曜	mod_nanqiyao								2			4001			1	1	TianJian_Nan										2													4	4					0.1		4001;4002;4003;4101;4201;4901;4902;4903;4904;4905;4906																																																			
8	女七曜	mod_nvqiyao								2			4001			1	1	TianJian_Nv										2													4	4					0.1		4001;4002;4003;4101;4201;4901;4902;4903;4904;4905;4906																																																			
