等级	角色经验	灵兽经验	伙伴经验	摇钱树基础奖励	摇钱树成长值价值
id:groud	player_exp	pet_exp		baseRewards	growthNum
int	int	int		int	int
1	3000	105	5	18842	244
2	3300	154	10	18842	244
3	3822	242	30	18842	244
4	4545	333	70	18842	244
5	5454	473	120	18842	244
6	6541	669	150	18842	244
7	7799	926	187	18842	244
8	9222	1250	224	18842	244
9	10806	1646	261	18842	244
10	12973	2118	298	18842	244
11	15356	3740	335	18842	244
12	17952	4634	372	18842	244
13	20760	5653	409	18842	244
14	23778	6801	446	18842	244
15	27004	8085	483	18842	244
16	30436	9508	520	18842	244
17	34074	11076	557	18842	244
18	37916	12793	594	18842	244
19	41960	14664	631	18842	244
20	47660	16693	668	18842	244
21	53660	20934	705	18842	244
22	59960	22921	742	18842	244
23	66560	25042	779	18842	244
24	73460	27300	816	18842	244
25	80660	29695	853	18842	244
26	88160	32232	890	18842	244
27	95960	34912	927	18842	244
28	104060	37737	964	18842	244
29	112460	40710	1001	18842	244
30	124643	43833	1038	18842	244
31	160171	52996	1075	19470	252
32	175467	56852	1112	20098	261
33	191306	60884	1149	20727	269
34	207690	65094	1186	21354	277
35	224622	69483	1223	21982	285
36	242102	74054	1260	22611	293
37	260132	78809	1297	23239	301
38	278714	83750	1334	23867	309
39	297849	88878	1371	24494	318
40	387220	94197	1408	25123	326
41	435608	110786	1445	25751	334
42	485575	117124	1482	26379	342
43	537131	123680	1519	27007	350
44	590289	130455	1556	27635	358
45	670253	137452	1593	28263	366
46	752773	144672	1630	28891	375
47	890238	152118	1667	29519	383
48	983419	159792	1704	30147	391
49	1079387	167695	1741	30776	399
50	1178166	175830	1778	31404	407
51	1279778	184198	1815	32031	415
52	1384247	192802	1852	32659	423
53	1491595	201642	1889	33288	432
54	1601844	210721	1926	33916	440
55	1874638	224610	1963	34543	448
56	2058189	238886	2000	35172	456
57	2246768	253553	2037	35800	464
58	2440422	268615	2074	36428	472
59	2639193	284075	2111	37056	480
60	3474934	299937	2148	37684	489
61	3859884	316203	2185	38312	497
62	4255151	332878	2222	38940	505
63	4872693	349965	2259	39568	513
64	5307816	367467	2296	40196	521
65	5984170	385387	2333	40824	529
66	6678587	403728	2370	40824	529
67	7391264	422495	2407	40824	529
68	8122395	441689	2444	40824	529
69	8872173	461315	2481	40824	529
70	10482761	481376	2518	40824	529
71	11544076	501874	2555	40824	529
72	12594916	522813	2592	40824	529
73	13634005	544196	2629	40824	529
74	14660041	566026	2666	40824	529
75	15671698	588306	2703	40824	529
76	16667625	611039	2740	40824	529
77	17646445	634228	2777	40824	529
78	18606755	657877	2814	40824	529
79	19547130	681988	2851	40824	529
80	20466116	706563	2888	40824	529
81	22530740	731607	2925	40824	529
82	24644675	757122	2962	40824	529
83	26808471	783111	2999	40824	529
84	29022678	809577	3036	40824	529
85	31287848	836523	3073	40824	529
86	33604527	863951	3110	40824	529
87	35973265	891865	3147	40824	529
88	38394610	920266	3184	40824	529
89	40869108	949159	3221	40824	529
90	43397305	978546	3258	40824	529
91	45979749	1008430	3295	40824	529
92	48616982	1038813	3332	40824	529
93	51309552	1069698	3369	40824	529
94	54058000	1101088	3406	40824	529
95	56862871	1132986	3443	40824	529
96	59724708	1165394	3480	40824	529
97	62644053	1198315	3517	40824	529
98	65621447	1231752	3554	40824	529
99	68657431	1265707	3591	40824	529
100	71752547	1300183	3628	40824	529
101	74907333	1335183	3665	40824	529
102	78122331	1370710	3702	40824	529
103	81398078	1406765	3739	40824	529
104	84735112	1443352	3776	40824	529
105	88133973	1480472	3813	40824	529
106	91595197	1518130	3850	40824	529
107	95119320	1556327	3887	40824	529
108	98706880	1595065	3924	40824	529
109	102358413	1634348	3961	40824	529
110	106074452	1674178	3998	40824	529
111	109855534	1714557	4035	40824	529
112	113702193	1755488	4072	40824	529
113	117614963	1796974	4109	40824	529
114	121594376	1839016	4146	40824	529
115	125640966	1881617	4183	40824	529
116	129755266	1924781	4220	40824	529
117	133937806	1968508	4257	40824	529
118	138189120	2012802	4294	40824	529
119	142509737	2057666	4331	40824	529
120	146900189	2103101	4368	40824	529
121	151361006	2149109	4405	40824	529
122	155892717	2195694	4442	40824	529
123	160495852	2242858	4479	40824	529
124	165170939	2290603	4516	40824	529
125	169918507	2338931	4553	40824	529
126	174739084	2387845	4590	40824	529
127	179633198	2437347	4627	40824	529
128	184601375	2487440	4664	40824	529
129	189644142	2538125	4701	40824	529
130	194762027	2589406	4738	40824	529
131	199955553	2641284	4775	40824	529
132	205225248	2693761	4812	40824	529
133	210571636	2746841	4849	40824	529
134	215995242	2800525	4886	40824	529
135	221496590	2854816	4923	40824	529
136	227076204	2909715	4960	40824	529
137	232734608	2965226	4997	40824	529
138	238472324	3021350	5034	40824	529
139	244289876	3078090	5071	40824	529
140	250187786	3135447	5108	40824	529
141	256166576	3193425	5145	40824	529
142	262226767	3252025	5182	40824	529
143	268368881	3311249	5219	40824	529
144	274593438	3371100	5256	40824	529
145	280900959	3431580	5293	40824	529
146	287291965	3492691	5330	40824	529
147	293766975	3554436	5367	40824	529
148	300326508	3616815	5404	40824	529
149	306971084	3679833	5441	40824	529
150	313701221	3743490	9999999	40824	529
