id	作用单位	特效id	消失类型	持续帧数	预警search
id	targetType	fxid	destroyType	lastFrame	warningSearchId
str	enum:EffectTarget	str	enum:DestroyType	int	str
effect_50101	0	fx_chongwu_baihuxingjiang	0	120	
effect_50102	1	fx_chongwu_qinglongyunping	0	120	
effect_50103	1	fx_chongwu_xuanwuxianshi	0	120	
effect_50104	1	fx_chongwu_zhuquezhenchi	0	120	
effect_50105	0	fx_chongwu_huanglonghaoqi	0	120	
effect_50106	0	fx_chongwu_bafangguiyuan	0	120	
effect_50201	0	fx_xiaoshanzhu_xiaozhuchongzhuang	0	20	
effect_50202	1	fx_liuli_qinmuqingfeng	0	90	
effect_50203	0	fx_jinfugui_jinlingjikong	0	0	
effect_50205	1	fx_shuifugui_bingshiluanzhui	0	0	
effect_50206	1	fx_huofugui_huoyujian	0	0	
effect_50207	0	fx_tufugui_lianshanjuebi	0	0	
