编号	对应角色	备注	文件名称	挂接点	跟随位置	跟随旋转	创建角度归零	根据体型缩放	材质	材质叠加
id			m_effectName	m_boneName	m_followPos	m_followRot	m_rotCreateZero	m_scaleByBody	material	matAddType
str			str	str	bool	bool	bool	float	str	int
fx_underattack_sharp	天剑	剑客默认攻击受击特效	fx_underattack_sharp	hurtFx						
fx_underattack_sharp_3	天剑	剑客锐器雷电受击	fx_underattack_sharp_3	hurtFx						
fx_nvjianke_skill_15_lighting	天剑	剑客雷击受击	fx_nvjianke_skill_15_lighting	hurtFx	1		1			
fx_underattack_jianke_A	天剑	剑客球形雷电受击	fx_underattack_jianke_A	hurtFx						
fx_nvjianke_defend_attack_1	天剑	剑客拔剑受击	fx_nvjianke_defend_attack_1	hurtFx			1			
fx_nvjianke_skill_15	天剑	剑阵特效	fx_nvjianke_skill_15	transform	1					
fx_nvjianke_skill_07	天剑	五连斩特效	fx_nvjianke_skill_07	transform			1			
fx_mojia_body_yinshen	墨家	墨家隐身材质							fx_mojia_body_yinshen	
fx_mojia_yinshen	墨家	隐身特效	fx_mojia_yinshen	hurtFx	1					
fx_mojia_xianshen	墨家	脱离隐身特效	fx_mojia_xianshen	transform	1					
fx_mojia_skill_9_3	墨家	墨家奔袭受击	fx_mojia_skill_9_3	hurtFx						
fx_mj_skill_underattack_02	墨家	墨家锐器受击	fx_mj_skill_underattack_02	hurtFx						
fx_mj_skill_underattack_03	墨家	墨家锐器受击弱	fx_mj_skill_underattack_03	hurtFx						
fx_mj_skill_underattack_01	墨家	墨家钝器受击弱	fx_mj_skill_underattack_01	hurtFx						
fx_mj_skill_underattack_04	墨家	墨家钝器受击	fx_mj_skill_underattack_04	hurtFx						
fx_nvguigu_underattack_02	鬼谷	鬼谷普攻弱	fx_nvguigu_underattack_02	hurtFx						
fx_nvguigu_underattack_01	鬼谷	鬼谷普攻强	fx_nvguigu_underattack_01	hurtFx						
fx_nvguigu_underattack_03	鬼谷	鬼谷普攻神圣	fx_nvguigu_underattack_03	hurtFx						
fx_nvguigu_skill_15_buff	鬼谷	鬼谷小奶特效	fx_nvguigu_skill_15_buff	transform	1		1			
fx_nvguigu_skill_33_buff	鬼谷	鬼谷复活	fx_nvguigu_skill_33_buff	transform	1		1			
fx_nvguigu_skill_4_2	鬼谷	鬼谷镇压	fx_nvguigu_skill_4_2	transform			1			
fx_nvguigu_skill_21	鬼谷	鬼谷浮空	fx_nvguigu_skill_21	transform			1			
fx_nvguigu_skill_30_1	鬼谷	鬼谷浮空追击	fx_nvguigu_skill_30_1				1			
fx_nvguigu_skill_24_body_mat	鬼谷	鬼谷升仙材质							fx_nvguigu_skill_24_body_mat	1
fx_nvguigu_zitai_2_body_pt	鬼谷	鬼谷2姿态特效	fx_nvguigu_zitai_2_body_pt	transform	1	1				
fx_nvguigu_skill_34_body_pt	鬼谷	鬼谷3姿态特效	fx_nvguigu_skill_34_body_pt	transform	1	1				
fx_nvguigu_skill_34_shouzhao	鬼谷	鬼谷3姿态消散特效	fx_nvguigu_skill_34_shouzhao	transform	1	1				
fx_nvqiyao_idle_4	七曜	七曜火焰姿态手臂特效	fx_nvqiyao_idle_4	IndexFinger3_R	1					
