编号	备注	搜索原点	搜索范围	范围参数	范围位置偏移	数量上限	阵营筛选	是否尸体	指定ID	action集合
id		searchPosition	searchType	searchPara	posOff	searchMaxCnt	battleRelation			actionStrs
str		enum:SearchPoint	enum:SearchSharp	floats	floats	int	enum:BattleRelation			strs
search_10400	小兵攻击		0	0;0			0			attack_10400
search_10401	小兵攻击		1	0;0			0			attack_10401
search_10402	小兵攻击		1	0;0			0			attack_10402
search_10500	狼攻击		0	3;180			0			attack_10500
search_10501	狼攻击2		1	3;180			0			attack_10501
search_10600	白虎监工攻击1		0	0;180			0			attack_10600
search_10601	白虎监工攻击3		0	3;180			0			attack_10601
search_10602	后跳		1	3;180			0			attack_10603
search_10700	白虎战士攻击1		0	0;0			0			attack_10700
search_10701	白虎战士攻击2		0	3;180			0			attack_10701
search_10702	白虎战士攻击3	1	1	0;0			0			attack_10702
search_10800	隋军士兵攻击1	0	1	0;0			0	
search_10801	隋军士兵攻击2	0	1	0;0			0			attack_10801
search_10802	隋军士兵攻击3	0	1	0;0			0			attack_10802
search_10902	红莲女巫精英技能飞火流星3	0	0	2.5;360		5	0			attack_10902
search_10903	红莲女巫技能炎弹连闪4	1	1	2.5;360			0	
search_11000	隋军弩手攻击1	1	1	2.5;360			0	
search_11001	隋军弩手攻击2	1	1	2.5;360			0	
search_11002	隋军弩手攻击3	1	1	2.5;360			0	
search_11100	白虎刺客攻击普攻		1	2.5;360			0			attack_11100
search_11101	白虎刺客攻击重击		1	2.5;360			0			attack_11101
search_11102	白虎刺客攻击隐身		1	2.5;360			3			attack_11102
search_11103	白虎刺客攻击飞镖		1	2.5;360			0			attack_11103_1
search_11104	白虎刺客攻击重击		1	2.5;360			0	
search_11200	恶魔攻击1		1	2.5;360			0			attack_11200
search_11201	恶魔攻击2		1	2.5;360			0			attack_11201
search_11202	恶魔攻击3		1	2.5;360			0			attack_11202
search_11300	青龙勇士攻击1		1	2.5;360			0			attack_11300
search_11301	青龙勇士攻击2		1	2.5;360			0			attack_11301
search_11302	青龙勇士攻击2		1	2.5;360			0			attack_11302
search_11401	羽民战士	0	1	3;10			0			attack_11401
search_11402	羽民战士		1	2.5;360			0			attack_11402
search_11500	青龙圣徒	1	1	2.5;360			0	
search_11501	青龙圣徒	1	1	2.5;360			0	
search_11502	青龙圣徒	1	1	2.5;360			0	
search_11600	尸化士兵攻击1		1	2.5;360			0			attack_11600
search_11601	尸化士兵攻击2		1	2.5;360			0			attack_11601
search_11602	尸化士兵攻击3		1	2.5;360			0			attack_11602
search_11700	尸化弩手攻击1	1	1	2.5;360			0	
search_11701	尸化弩手攻击2	1	1	2.5;360			0	
