动作ID	备注	动作名称	开始帧	结束帧	动作事件	动作类型
key:group		aniName	beginFrame	endFrame	eventid	type
str		str	int	int	str	enum:AniType
10400	小兵攻击	attack_1	0	55	10400	
10401	小兵攻击	attack_2	0	105	10401	
10402	小兵攻击	attack_2	0	105	10402	
10500	狼攻击	attack_1	0	44	10500	
10501	狼攻击2	attack_2	0	72	10501	
10502	后跳	jump_back	0	24	10502	
10600	白虎监工攻击1	attack_1	0	53	10600	
10601	白虎监工攻击2	attack_3	0	69	10601	
10602	后跳	jump_back	0	33	10602	
10602	白虎监工攻击3	skill	0	135	10603	
10700	白虎战士攻击1	attack_1	0	42	10700	
10701	白虎战士攻击2	attack_2	0	120	10701	
10702	白虎战士攻击3	skill	0	86	10702	
10800	隋军士兵攻击1	attack_1	0	37	10800	
10801	隋军士兵攻击2	attack_2	0	41	10801	
10802	隋军士兵攻击3	attack_2	0	41	10802	
10900	红莲女巫攻击1	attack_1	0	54	10900	
10901	红莲女巫攻击2	attack_2	0	45	10901	
10902	红莲女巫攻击3	skill	0	105	10902	
10903	红莲女巫攻击4	attack_2	0	45	10903	
11000	隋军弩手攻击1	attack_1	0	43	11000	
11001	隋军弩手攻击2	attack_2	0	47	11001	
11002	后跳	jump_back	0	43	11002	
11002	隋军弩手攻击3	skill	0	85	11003	
11100	白虎刺客攻击1	attack_1	0	25	11100	
11101	白虎刺客攻击2	attack_2	0	37	11101	
11102	白虎刺客攻击3	skill	0	34	11102	
11103	白虎刺客攻击4	attack_1	0	25	11103	
11200	恶魔攻击1	attack_1	0	39	11200	
11201	恶魔攻击2	attack_1	0	39	11201	
11202	恶魔攻击3	skill	0	85	11202	
11300	青龙勇士攻击1	attack_1	0	56	11300	
11301	青龙勇士攻击2	attack_2	0	81	11301	
11302	青龙勇士攻击2	skill	0	151	11302	
11400	羽民战士	attack_1	0	39	11400	
11401	羽民战士	attack_2	0	49	11401	
11402	羽民战士	attack_2	0	49	11402	
11500	青龙圣徒	attack_1	0	65	11500	
11501	青龙圣徒	attack_1	0	65	11501	
11502	青龙圣徒	skill_1	0	118	11502	1
11600	尸化士兵攻击1	attack_1	0	34	11600	
11601	尸化士兵攻击2	attack_1	0	34	11601	
11602	尸化士兵攻击3	attack_2	0	48	11602	
11700	尸化弩手攻击1	attack_1	0	61	11700	
11701	尸化弩手攻击2	attack_2	0	67	11701	
11702	尸化弩手攻击3	skill	0	107	11702	
11801	自爆僵尸	skill	0	16	11801	
11802	自爆僵尸	skill	0	16	11802	
11803	自爆僵尸	skill	0	16	11803	
12000	自爆僵尸不动	skill_1	0	55	12000	
12001	自爆僵尸不动	skill_1	0	55	12000	
12002	自爆僵尸不动	skill_1	0	55	12000	
12100	独孤宁可攻击1	attack_1	0	50	12100	
12101	独孤宁可攻击2	attack_1	0	50	12101	
12102	技能攻击1	skill_1	0	70	12102	
12201	门派弟子普通攻击	attack_1	0	50	12201	
12202	门派弟子普通攻击	attack_1	0	50	12202	
12203	门派弟子普通攻击	attack_1	0	50	12203	
12300	翼蛇	attack_1	0	64	12300	
12301	翼蛇	attack_1	0	64	12301	
12302	翼蛇	skill_start	0	16		
12302	翼蛇	skill_loop	0	29	12302	3
12302	翼蛇	skill_end	0	29	12303	
12400	隋军勇士	attack_3	0	47	12400	
12401	隋军勇士	attack_2	0	69	12401	
12402	隋军勇士	skill	0	89	12402	
12500	魅魔	skill_start	0	12		
12500	魅魔	skill_loop	0	22		
12500	魅魔	skill_end	0	59	12500	
12501	魅魔	attack_1	0	66	12501	
12502	魅魔	attack_1	0	66	12502	
12600	探子毒飞镖1	attack_1	0	28	12600	
12601	探子毒飞镖2	attack_2	0	34	12601	
12602	探子后空翻	skill_1	0	7		
12602	探子后空翻	skill_1	7	24	12602	
12602	探子后空翻	skill_1	24	41		
12603	探子烟雾弹	skill_2	0	40	12603	
12700	蚩尤族甲士攻击1	attack_1	0	48	12700	
12701	蚩尤族甲士攻击2	attack_1	0	48	12701	
12702	12602	attack_2	0	90	12702	
12800	冤魂普攻	attack_1	0	57	12800	
12801	冤魂普攻2	attack_2	0	58	12801	
12802	冤魂追击	skill	0	83	12802	
12900	火光兽普攻抓	attack_1	0	46	12900	
12091	火光兽普攻扑	attack_1	0	46	12091	
12902	火光兽普攻扑	attack_2	0	51	12902	
13000	魔化人类普攻	attack_1	0	49	13000	
13001	魔化人类重爪	attack_1	0	49	13001	
13002	魔化人类毒液	skill	0	93	13002	
13100	朱雀斥候普攻1	attack_1	0	47	13100	
13101	朱雀斥候普攻2	attack_2	0	62	13101	
13102	朱雀斥候技能1	skill	0	89	13102	
13200	蚩尤族战士攻击1	attack_1	0	50	13200	
13201	蚩尤族战士攻击2	attack_1	0	50	13201	
13202	蚩尤族战士攻击3	attack_2	0	59	13202	
13300	地雷	attack	0	19	13300	
13400	隋军锤兵普通攻击1	attack_1	0	43	13400	
13401	隋军锤兵普通攻击2	attack_2	0	58	13401	
13402	隋军锤兵技能捶地	skill	0	96	13402	
13500	隋军柱兵普通攻击1	attack_1	0	86	13500	
13501	隋军柱兵普通攻击2	attack_2	0	53	13501	
13502	冲锋	skill	30	35	
13502	隋军柱兵技能捶地	skill	0	29	13502_0	
13502	隋军柱兵技能捶地	skill	30	35	13502	
13502	隋军柱兵技能捶地	skill	36	67	13502_1	
