动作ID	备注	动作名称	开始帧	结束帧	动画速度	动作事件	动作类型
key:group		aniName	beginFrame	endFrame	aniSpeedMul	eventid	type
str		str	int	int	float	str	enum:AniType
1001	剑舞攻击1	attack_1	0	15		1001	
1001		attack_1	15	20			5
1001		attack_1	20	36			6
1002	剑舞攻击2	attack_2	0	26		1002	
1002		attack_2	26	30			5
1002		attack_2	30	44			6
1003	剑舞攻击3	attack_3	0	18		1003	
1003		attack_3	18	30			5
1003		attack_3	30	51			6
1011	御气攻击1	attack_4_standby	0	5			2
1011		attack_4	0	13		1011	
1011		attack_4	13	20			5
1011		attack_4	20	23			5
1011		attack_4	23	27			6
1011		attack_6_end	0	5			6
1011		attack_6_end	5	27			6
1012	御气攻击2	attack_5	0	14		1012	
1012		attack_5	14	20			5
1012		attack_5	20	23			5
1012		attack_5	23	27			6
1012		attack_6_end	0	5			6
1012		attack_6_end	5	27			6
1021	浮空追击1	skill_2_1	0	2			
1021		skill_2_3	0	40		1021	
1021		skill_2_3	40	42			5
1021		skill_2_2	0	13			5
1021		skill_2_2	13	33			6
1022	浮空追击2	skill_3	0	55		1022	
1022		skill_3	55	60			5
1022		skill_3	60	86			6
1031	疾跑追击	skill_4	0	9		1031	
1031		skill_4	9	19		1031_1	
1031		skill_4	19	27			5
1031		skill_4	27	41			6
1041	风火轮	skill_1	0	30		1041	
1041		skill_1	30	38			5
1041		skill_1	38	50			6
1051	刺剑1	defend_attack_3	0	10		1051	
1051		defend_attack_3	10	20			5
1051		defend_attack_3	20	49			6
1052	刺剑2	defend_attack_4	0	12		1052	
1052		defend_attack_4	12	20			5
1052		defend_attack_4	20	49			6
1053	刺剑3	defend_attack	0	20		1053	
1053		defend_attack	20	35			5
1053		defend_attack	35	54			6
1101	格挡	idle_to_defend	0	3	
1101		defend	0	34		1101	3
1101		defend_to_idle	0	29			
1111	后空翻	jump_back	0	22		1111	
1111		jump_back	22	31			6
1201	下段斩	skill_13	0	14		1201	
1201		skill_13	14	32			5
1201		skill_13	32	48			6
1211	下段斩追加	skill_14	0	33		1211	
1211		skill_14	33	45			5
1211		skill_14	45	64			6
1221	五连斩	skill_7	0	4		1221	
1221	五连斩	skill_7	4	55		1221_1	
1221	五连斩	skill_7	55	64			5
1221	五连斩	skill_7	64	79			6
1231	剑阵	skill_15	0	20		1231	
