技能等级	标准伤害值	标准治疗值
level	damage	cure
int	int	int
1	116	116
2	130	130
3	143	143
4	156	156
5	170	170
6	183	183
7	196	196
8	210	210
9	223	223
10	236	236
11	249	249
12	263	263
13	276	276
14	289	289
15	303	303
16	316	316
17	329	329
18	343	343
19	356	356
20	369	369
21	396	396
22	422	422
23	449	449
24	476	476
25	502	502
26	529	529
27	555	555
28	582	582
29	609	609
30	635	635
31	662	662
32	688	688
33	715	715
34	742	742
35	768	768
36	795	795
37	821	821
38	848	848
39	875	875
40	901	901
41	928	928
42	954	954
43	981	981
44	1008	1008
45	1034	1034
46	1061	1061
47	1087	1087
48	1114	1114
49	1141	1141
50	1167	1167
51	1194	1194
52	1220	1220
53	1247	1247
54	1274	1274
55	1300	1300
56	1327	1327
57	1353	1353
58	1380	1380
59	1407	1407
60	1433	1433
61	1473	1473
62	1513	1513
63	1553	1553
64	1593	1593
65	1633	1633
66	1673	1673
67	1712	1712
68	1752	1752
69	1792	1792
70	1832	1832
71	1872	1872
72	1912	1912
73	1952	1952
74	1992	1992
75	2032	2032
76	2072	2072
77	2111	2111
78	2151	2151
79	2191	2191
80	2231	2231
81	2271	2271
82	2311	2311
83	2351	2351
84	2391	2391
85	2431	2431
86	2471	2471
87	2510	2510
88	2550	2550
89	2590	2590
90	2630	2630
91	2670	2670
92	2710	2710
93	2750	2750
94	2790	2790
95	2830	2830
96	2870	2870
97	2909	2909
98	2949	2949
99	2989	2989
100	3029	3029
