动作事件ID	备注	执行帧	执行帧类型	action集合
key:group		beginFrame	frameType	actions
str		int	enum:FrameType	strs
10400	小兵攻击	17		attack_10400
10401	小兵攻击2	65		attack_10401
10402	小兵攻击2	65		attack_10402
10500	狼攻击	24		attack_10500
10501	狼攻击2	31		attack_10501
10502	狼后跳	31		move_10502
10502	狼攻击	4		move_10502_1
10600	白虎监工攻击1	13		attack_10600
10601	白虎监工攻击2	13		attack_10601
10601	白虎监工攻击2	29		attack_10601
10602	后跳	11		move_10602
10603	白虎监工蓄力攻击2	58		attack_10603
10700	白虎战士攻击1	12		attack_10700
10701	白虎战士跳斩	45		attack_10701
10701	移动	34		move_10701
10702		37		attack_10702
10800	隋军士兵攻击1	15		attack_10800
10801	隋军士兵攻击2	19		attack_10801
10802	隋军士兵攻击3	19		attack_10802
10900	红莲女巫攻击1	18		bullet_10900_1
10901	红莲女巫攻击2	20		bullet_10901_1
10902	红莲女巫飞火流星	0		effect_10902
10902	红莲女巫飞火流星	45		bullet_10902_1
10903	红莲女巫炎弹连闪	20		bullet_10903_1
10903	红莲女巫炎弹连闪	20		bullet_10903_2
10903	红莲女巫炎弹连闪	20		bullet_10903_3
11000		14		bullet_11002_1
11001		14		bullet_11002_1
11001		19		bullet_11002_1
11002		8		move_11002
11003		47		bullet_11002_1
11002_1ufo				attack_11002_1ufo
11100	白虎刺客普攻	9		attack_11100
11101	白虎刺客重击	18		attack_11101
11102	白虎刺客隐身	6		move_11102
11102	白虎刺客隐身	10		bullet_11102_1
11102	白虎刺客隐身	13		attack_11102
11102_1ufo	白虎刺客隐身			attack_11102_1ufo
11103	白虎刺客飞镖	10		bullet_11103_1
11103_1	白虎刺客飞镖飞出物			attack_11103_1
11200	恶魔攻击1	11		attack_11200
11201	恶魔攻击1	11		attack_11201
11202	恶魔攻击1	32		attack_11202
11300	青龙勇士攻击1	17		attack_11300
11301	青龙勇士攻击2	19		attack_11301
11302	青龙勇士三连斩	35		attack_11302
11302	青龙勇士三连斩	46		attack_11302
11302	青龙勇士三连斩	60		attack_11302
11400	羽民战士	13		attack_11400
11401	羽民战士	20		search_11401
11402	羽民战士	20		search_11401
11500	青龙圣徒	19		attack_11500
11501	青龙圣徒	19		attack_11501
11502	青龙圣徒	18		attack_11502
11600	尸化士兵攻击1	14		attack_11600
11601	尸化士兵攻击2	14		attack_11601
11602	尸化士兵攻击3	15		attack_11602
11700		18		bullet_11700_1
11700_1ufo	尸化弩手攻击1			attack_11700_1ufo
11701		20		bullet_11701_1
11701		26		bullet_11701_1
11701_1ufo	尸化弩手攻击2			attack_11701_1ufo
11702		55		bullet_11702_1
11702_1ufo	尸化弩手攻击3			attack_11702_1ufo
11801		0		move_11801
11801		9		attack_11801
11801	自爆僵尸	10		
11802		0		
11802		9		
11802	自爆僵尸	10		
11803		0		
11803		9		
11803	自爆僵尸	10		
12000		0		effect_12000
12000	自爆僵尸不动	53		
12000		54		
12100	独孤宁可攻击1	19		bullet_12100_1
12100_1ufo				attack_12100_1ufo
12101	独孤宁可攻击2	18		bullet_12101_1
12101_1ufo				attack_12101_1ufo
12102	技能攻击1	32		bullet_12102_1
12102_1ufo				attack_12102_1ufo
12201	门派弟子普通攻击	28		attack_12201
12202	门派弟子普通攻击	28		attack_12202
12203	门派弟子普通攻击	28		attack_12203
12300	翼蛇	19		bullet_12300_1
12300_1ufo				attack_12300_1ufo
12301	翼蛇	19		bullet_12301_1
12301_1ufo				attack_12301_1ufo
12302	翼蛇大金雷弹施法特效	0		bullet_12302_1
12303	翼蛇大金雷弹飞出物	6		bullet_12303_1
