技能ID	技能类型	备注	图标
id		des	icon
int		str	str
1001	1	剑舞攻击1	skill_1001
1002	1	剑舞攻击2	skill_1001
1003	1	剑舞攻击3	skill_1001
100201	1	剑舞攻击2	skill_1001
100301	1	剑舞攻击3	skill_1001
100202	1	剑舞攻击2	skill_1001
100302	1	剑舞攻击3	skill_1001
100203	1	剑舞攻击2	skill_1001
100303	1	剑舞攻击3	skill_1001
100204	1	剑舞攻击2	skill_1001
100304	1	剑舞攻击3	skill_1001
100205	1	剑舞攻击2	skill_1001
100305	1	剑舞攻击3	skill_1001
1011	1	御气攻击1	skill_1011
101104	1	御气攻击1	skill_1011
1012	1	御气攻击2	skill_1011
101201	1	御气攻击2	skill_1011
101202	1	御气攻击2	skill_1011
101203	1	御气攻击2	skill_1011
101204	1	御气攻击2	skill_1011
101205	1	御气攻击2	skill_1011
101206	1	御气攻击2	skill_1011
101207	1	御气攻击2	skill_1011
1013	1	进阶御气攻击（天赋）	skill_1013
1014	1	进阶御气攻击（天赋）	skill_1013
101301	1	进阶御气攻击（天赋）	skill_1013
101401	1	进阶御气攻击（天赋）	skill_1013
101302	1	进阶御气攻击（天赋）	skill_1013
101402	1	进阶御气攻击（天赋）	skill_1013
1021	1	飞龙逐月（浮空追击）	skill_1021
1022	1	追星破月（浮空追击2）	skill_1022
1031	1	长宵望月（疾跑追击）	skill_1031
1041	1	长龙断月（格挡反击）	skill_1041
1051	1	刺剑	skill_1051
1053	1	刺剑	skill_1051
1054	1	刺剑	skill_1051
105301	1	刺剑	skill_1051
105401	1	刺剑	skill_1051
105302	1	刺剑	skill_1051
105402	1	刺剑	skill_1051
105303	1	刺剑	skill_1051
105403	1	刺剑	skill_1051
105304	1	刺剑	skill_1051
105404	1	刺剑	skill_1051
105305	1	刺剑	skill_1051
105405	1	刺剑	skill_1051
105306	1	刺剑	skill_1051
105406	1	刺剑	skill_1051
105307	1	刺剑	skill_1051
105407	1	刺剑	skill_1051
105308	1	刺剑	skill_1051
105408	1	刺剑	skill_1051
1052	1	刺剑（天赋）	skill_1052
105201	1	刺剑（天赋）	skill_1052
105202	1	刺剑（天赋）	skill_1052
1101	1	格挡	skill_1101
1111	1	后空翻	skill_1111
1121	1	回风落雁	skill_1121
112101	1	回风落雁	skill_1121
112102	1	回风落雁	skill_1121
1131	1	回马枪	skill_1131
1201	1	下段攻击1	skill_1201
1202	1	下段攻击(天赋)	skill_1202
120201	1	下段攻击(天赋)	skill_1202
120202	1	下段攻击(天赋)	skill_1202
120203	1	下段攻击(天赋)	skill_1202
120204	1	下段攻击(天赋)	skill_1202
1211	1	下段攻击2	skill_1211
1221	1	五连斩	skill_1221
1231	1	天罡剑阵	skill_1231
1301	1	冲锋	skill_1301
1311	1	御剑冲锋	skill_1311
1321	1	御剑凝锋	skill_1321
1401	1	天隙流光	skill_1401
1411	1	迅步斩	skill_1411
1412	1	迅步斩（天赋）	skill_1412
141201	1	迅步斩（天赋）	skill_1412
141202	1	迅步斩（天赋）	skill_1412
1501	1	上挑	skill_1501
1511	1	一闪	skill_1511
1512	1	一闪（天赋）	skill_1512
151201	1	一闪（天赋）	skill_1512
151202	1	一闪（天赋）	skill_1512
151203	1	一闪（天赋）	skill_1512
1521	1	一闪暴击	skill_1521
1522	1	一闪暴击（天赋）	skill_1522
152201	1	一闪暴击（天赋）	skill_1522
152202	1	一闪暴击（天赋）	skill_1522
1531	1	倒地追击	skill_1531
1541	1	解除控制	skill_1541
1601	1	躲闪	skill_1601
1701	1	龙傲九天	1007
2001	1	墨剑·三式1	skill_2001
2002	1	墨剑·三式2	skill_2001
2003	1	墨剑·三式3	skill_2001
200201	1	墨剑·三式2	skill_2001
200301	1	墨剑·三式3	skill_2001
200202	1	墨剑·三式2	skill_2001
200302	1	墨剑·三式3	skill_2001
200203	1	墨剑·三式2	skill_2001
200303	1	墨剑·三式3	skill_2001
200204	1	墨剑·三式2	skill_2001
200304	1	墨剑·三式3	skill_2001
200205	1	墨剑·三式2	skill_2001
200305	1	墨剑·三式3	skill_2001
200206	1	墨剑·三式2	skill_2001
200306	1	墨剑·三式3	skill_2001
2021	1	墨剑·诛心	skill_2021
2011	1	墨剑·断水月	skill_2011
2012	1	墨拳·惊天地	skill_2012
2031	1	墨剑·疾风袭	skill_2414
2041	1	墨剑·背刺	skill_2001
2051	1	墨拳·开碑	skill_2131
2101	1	墨拳·非攻	skill_2101
2102	1	非攻（追加）	skill_2101
2111	1	墨剑·影刺	skill_2111
2121	1	后空翻	skill_1111
2201	1	墨剑·奔袭	skill_2421
2203	1	解除控制	skill_1541
2211	1	墨剑·影杀	skill_2211
2221	1	烟雾弹	skill_2301
2301	1	地雷	skill_2301
2311	1	手弩	skill_2211
2331	1	连弩	skill_2331
2321	1	拔箭	skill_2321
2341	1	墨剑·踏影	skill_2412
2502	1	墨拳·天升脚	skill_2502
2501	1	墨拳·燕星落	skill_2501
2401	1	墨剑·灵蛇刺	skill_2411
2411	1	墨拳·开节	skill_2412
2412	1	墨拳·锁足	skill_2414
2413	1	墨拳·分筋	skill_2413
2414	1	墨拳·错骨	skill_2411
2421	1	墨剑·回身斩	skill_2201
2431	1	墨拳·疾影脚	skill_2413
2511	1	墨剑·凌空锁	skill_2521
2521	1	墨剑·迅光	skill_2521
2601	1	墨拳·无影步	skill_2601
2701	1	极·墨拳·龙舞	1007
3001	1	符道·攻1	skill_3001
3002	1	符道·攻2	skill_3001
300201	1	符道·攻2	skill_3001
300202	1	符道·攻2	skill_3001
300203	1	符道·攻2	skill_3001
3003	1	符道·攻3	skill_3003
3011	1	符道·乱	skill_3011
3012	1	符道·乱2	skill_3011
3013	1	符道·乱3	skill_3013
3021	1	鬼道·落	skill_3021
3031	1	天道·灭	skill_3031
3101	1	符道·散	skill_3101
3111	1	符道·崩	skill_3111
3131	1	符道·愈	skill_3131
3141	1	符道·疗	skill_3141
3121	1	天道·罚	skill_1001
3122	1	天道·罚	skill_1001
3201	1	符道·镇	skill_3201
3211	1	天道·舞	skill_3211
3221	1	符道·缚	skill_3221
3301	1	鬼道·欺	skill_1001
3311	1	符道·引	skill_1001
3321	1	引力球	skill_3321
3331	1	天道·幻兵	skill_3331
3401	1	鬼道·灭	skill_1001
3411	1	导弹	skill_1001
3421	1	升腾	skill_3421
3431	1	天道·生	skill_3431
3441	1	鬼道·幻	skill_3441
3501	1	符道·诈	skill_3501
3511	1	鬼道·升	skill_3511
3521	1	起飞	skill_3521
3531	1	天道·回	skill_3531
3601	1	鬼道·离	skill_3601
3701	1	生灭道	1007
4001	1	寒冰指	pet_skill_50101
4002	1	寒冰指2	pet_skill_50101
4003	1	寒冰指3	pet_skill_50101
4011	1	火莲掌	pet_skill_50219
4012	1	火莲掌2	pet_skill_50219
4013	1	火莲掌3	pet_skill_50219
4101	1	冰河破	pet_skill_50101
4111	1	冰河破追加	pet_skill_50101
4201	1	炎龙啸	pet_skill_50219
4211	1	炎龙啸追加	pet_skill_50219
4301	1	冰环	pet_skill_50101
4311	1	爆炎	pet_skill_50219
4401	1	冰箱	pet_skill_50101
4411	1	重力掌	pet_skill_50219
4421	1	原子弹	pet_skill_50219
4501	1	无名火	pet_skill_50219
4502	1	裂冰枪	pet_skill_50219
4503	1	霜火箭	pet_skill_50219
4601	1	冰步	pet_skill_50217
4611	1	火步	pet_skill_50217
1900	1		1004
1901	1		1004
1902	1		1004
1903	1		1004
1904	1		1004
1905	1		1004
1906	1		1004
2901	1		1004
2902	1		1004
2903	1		1004
2904	1		1004
2905	1		1004
2906	1		1004
3901	1		1004
3902	1		1004
3903	1		1004
3904	1		1004
3905	1		1004
3906	1		1004
4901	1		1004
4902	1		1004
4903	1		1004
4904	1		1004
4905	1		1004
4906	1		1004
10800	1	伪装隋军	skill_1001
10801	1	伪装隋军	skill_1021
10802	1	伪装隋军	skill_1022
10900	1	伪装朱雀士兵	skill_1001
10901	1	伪装朱雀士兵	skill_1021
10902	1	伪装朱雀士兵	skill_1022
70011	1	宇文拓技能	skill_2411
70014	1	宇文拓技能	skill_2521
70015	1	宇文拓技能	skill_2101
70016	1	宇文拓技能	skill_2111
70030	1	水镜技能	skill_1021
70034	1	水镜技能	skill_1022
70035	1	水镜技能	skill_1031
70036	1	水镜技能	skill_1041
50001	1	天磐鸣	pet_skill_50101
50002	1	叶舞术	pet_skill_50102
50003	1	流云刺	pet_skill_50103
50004	1	烈火术	pet_skill_50104
50005	1	土灵爪	pet_skill_50105
50006	1	气疗术	pet_skill_50113
50007	1	清风咒	pet_skill_50114
50101	1	白虎星降	pet_skill_50302
50102	1	青龙云屏	pet_skill_50303
50103	1	玄武现世	pet_skill_50304
50104	1	朱雀振翅	pet_skill_50305
50105	1	黄龙浩气	pet_skill_50306
50106	1	八方归元	pet_skill_50307
50201	1	小猪冲撞	pet_skill_50522
50202	1	浸沐春风	pet_skill_50508
50203	1	金灵疾空	pet_skill_50523
50204	1	痴木狂岚	pet_skill_50509
50205	1	冰石乱坠	pet_skill_50524
50206	1	火羽翦	pet_skill_50510
50207	1	连山绝壑	pet_skill_50525
50208	1	八方束缚阵	pet_skill_50511
50209	1	穿心龙甲拳	pet_skill_50526
50210	1	炼化乾坤	pet_skill_50512
50211	1	追星破月	pet_skill_50527
50212	1	怒空摘星	pet_skill_50513
50213	1	秋镰游刃	pet_skill_50138
50214	1	万剐	pet_skill_50238
50215	1	掠影	pet_skill_50145
31011	1	石化之蛇	sheshi_skill_zhu
31012	1	石化之蛇	sheshi_skill_zhu
31013	1	石化之蛇	sheshi_skill_zhu
31014	1	石化之蛇	sheshi_skill_zhu
31015	1	石化之蛇	sheshi_skill_zhu
31016	1	石化之蛇	sheshi_skill_zhu
31017	1	石化之蛇	sheshi_skill_zhu
31021	1	当头槌喝	shuchui_skill_zhu
31022	1	当头槌喝	shuchui_skill_zhu
31023	1	当头槌喝	shuchui_skill_zhu
31024	1	当头槌喝	shuchui_skill_zhu
31025	1	当头槌喝	shuchui_skill_zhu
31026	1	当头槌喝	shuchui_skill_zhu
31027	1	当头槌喝	shuchui_skill_zhu
32021	1	龙颿吐息	longfan_skill_zhu
32022	1	龙颿吐息	longfan_skill_zhu
32023	1	龙颿吐息	longfan_skill_zhu
32024	1	龙颿吐息	longfan_skill_zhu
32025	1	龙颿吐息	longfan_skill_zhu
32026	1	龙颿吐息	longfan_skill_zhu
32027	1	龙颿吐息	longfan_skill_zhu
32031	1	暗杀记号	ansha_skill_zhu
32032	1	暗杀记号	ansha_skill_zhu
32033	1	暗杀记号	ansha_skill_zhu
32034	1	暗杀记号	ansha_skill_zhu
32035	1	暗杀记号	ansha_skill_zhu
32036	1	暗杀记号	ansha_skill_zhu
32037	1	暗杀记号	ansha_skill_zhu
32051	1	五行变幻	wuxing_skill_zhu
32052	1	五行变幻	wuxing_skill_zhu
32053	1	五行变幻	wuxing_skill_zhu
32054	1	五行变幻	wuxing_skill_zhu
32055	1	五行变幻	wuxing_skill_zhu
32056	1	五行变幻	wuxing_skill_zhu
32057	1	五行变幻	wuxing_skill_zhu
32061	1	洞察先机	dongcha_skill_zhu
32062	1	洞察先机	dongcha_skill_zhu
32063	1	洞察先机	dongcha_skill_zhu
32064	1	洞察先机	dongcha_skill_zhu
32065	1	洞察先机	dongcha_skill_zhu
32066	1	洞察先机	dongcha_skill_zhu
32067	1	洞察先机	dongcha_skill_zhu
33021	1	虎啸狂风	baihu_skill_zhu
33022	1	虎啸狂风	baihu_skill_zhu
33023	1	虎啸狂风	baihu_skill_zhu
33024	1	虎啸狂风	baihu_skill_zhu
33025	1	虎啸狂风	baihu_skill_zhu
33026	1	虎啸狂风	baihu_skill_zhu
33027	1	虎啸狂风	baihu_skill_zhu
33031	1	烈焰暴风	zhuque_skill_zhu
33032	1	烈焰暴风	zhuque_skill_zhu
33033	1	烈焰暴风	zhuque_skill_zhu
33034	1	烈焰暴风	zhuque_skill_zhu
33035	1	烈焰暴风	zhuque_skill_zhu
33036	1	烈焰暴风	zhuque_skill_zhu
33037	1	烈焰暴风	zhuque_skill_zhu
33051	1	龟甲盾	xuanwu_skill_zhu
33052	1	龟甲盾	xuanwu_skill_zhu
33053	1	龟甲盾	xuanwu_skill_zhu
33054	1	龟甲盾	xuanwu_skill_zhu
33055	1	龟甲盾	xuanwu_skill_zhu
33056	1	龟甲盾	xuanwu_skill_zhu
33057	1	龟甲盾	xuanwu_skill_zhu
33061	1	青龙守护	qinglong_skill_zhu
33062	1	青龙守护	qinglong_skill_zhu
33063	1	青龙守护	qinglong_skill_zhu
33064	1	青龙守护	qinglong_skill_zhu
33065	1	青龙守护	qinglong_skill_zhu
33066	1	青龙守护	qinglong_skill_zhu
33067	1	青龙守护	qinglong_skill_zhu
33071	1	乾坤挪移	qiankun_skill_zhu
33072	1	乾坤挪移	qiankun_skill_zhu
33073	1	乾坤挪移	qiankun_skill_zhu
33074	1	乾坤挪移	qiankun_skill_zhu
33075	1	乾坤挪移	qiankun_skill_zhu
33076	1	乾坤挪移	qiankun_skill_zhu
33077	1	乾坤挪移	qiankun_skill_zhu
33081	1	阴阳幻阵	yinyang_skill_zhu
33082	1	阴阳幻阵	yinyang_skill_zhu
33083	1	阴阳幻阵	yinyang_skill_zhu
33084	1	阴阳幻阵	yinyang_skill_zhu
33085	1	阴阳幻阵	yinyang_skill_zhu
33086	1	阴阳幻阵	yinyang_skill_zhu
33087	1	阴阳幻阵	yinyang_skill_zhu
