冒泡ID	冒泡内容	冒泡时长	备注：功能名	备注：npc
key:group	content	timeLen	
str	str	float	
1	主人，让阿奇来！	5	主角处于战斗状态(憨厚的阿奇)	
2	阿奇可以把那个怪物吞掉吗？	5	主角处于战斗状态(憨厚的阿奇)	
3	主人你听说过红烧怪物吗？	5	主角处于战斗状态(憨厚的阿奇)	
4	听说这个怪很可怕的，居然炖三个小时都不熟！	5	主角处于战斗状态(憨厚的阿奇)	
5	阿奇可以一路滚过去碾压敌人。	5	主角处于战斗状态(憨厚的阿奇)	
6	主人你的反应可比阿奇快多了！	5	主角处于战斗状态(憨厚的阿奇)	
7	每消灭一个敌人，就要奖阿奇一块肉肉哦！	5	主角处于战斗状态(憨厚的阿奇)	
8	看阿奇把敌人拱死吧！	5	主角处于战斗状态(憨厚的阿奇)	
9	阿奇阿奇，天下无敌！	5	主角处于战斗状态(憨厚的阿奇)	
10	谁要想伤害主人，就得先过阿奇这一关！	5	主角处于战斗状态(憨厚的阿奇)	
11	主人，今天上线有带肉肉吗？	5	主角非战斗状态(憨厚的阿奇)	
12	今天真是适合溜达的一天呀！	5	主角非战斗状态(憨厚的阿奇)	
13	主人，我可想你了！……有好吃的吗？	5	主角非战斗状态(憨厚的阿奇)	
14	主人好厉害！阿奇也想像主人一样厉害！	5	主角非战斗状态(憨厚的阿奇)	
15	主人，在这美丽的风景中烤肉，一定是非常开心的呢！	5	主角非战斗状态(憨厚的阿奇)	
16	阿奇虽然喜欢肉肉，但阿奇更喜欢主人！	5	主角非战斗状态(憨厚的阿奇)	
17	阿奇觉得主人是最厉害的！	5	主角非战斗状态(憨厚的阿奇)	
18	主人喜欢吃豆饼吗？阿奇刚才捡了个豆饼，能和主人换肉肉吗？	5	主角非战斗状态(憨厚的阿奇)	
19	主人！阿奇想吃肉肉！吃肉肉！	5	主角非战斗状态(憨厚的阿奇)	
20	阿奇肯定是太久没吃鸡肉了，不然为什么刚才看到鸡毛掸子有点激动呢？	5	主角非战斗状态(憨厚的阿奇)	
21	主人，阿奇闻到了来自地图尽头的肉肉的香味！	5	主角进入关卡(憨厚的阿奇)	
22	主人，这次战斗你有给阿奇带口粮的吧？	5	主角进入关卡(憨厚的阿奇)	
23	主人，阿奇感觉到了……前方有好吃的怪物！	5	主角进入关卡(憨厚的阿奇)	
24	主人，阿奇听说口粮升级了，下次战斗给阿奇带点儿呗？	5	主角进入关卡(憨厚的阿奇)	
31	主人快回血！阿奇给主人打掩护！	5	主角血量低于20%(憨厚的阿奇)	
32	主人不要舍不得吃血瓶子呀！	5	主角血量低于20%(憨厚的阿奇)	
33	主人快醒醒！你的血！满地都是你的血！	5	主角血量低于20%(憨厚的阿奇)	
41	厉害了我主人！	5	主角升级时(憨厚的阿奇)	
42	主人升级啦！主人好棒！	5	主角升级时(憨厚的阿奇)	
43	主人，你老实说……主人升级这么快，阿奇有没有拖后腿？	5	主角升级时(憨厚的阿奇)	
44	主人升级比前面那个人、还有那个人，都要快多了！	5	主角升级时(憨厚的阿奇)	
51	看我一尾巴甩走那个敌人！	5	主角处于战斗状态(机灵的云狐)	
52	那个敌人！放着让我来！	5	主角处于战斗状态(机灵的云狐)	
53	嘘，主人，云狐准备悄悄潜过去偷袭敌人！	5	主角处于战斗状态(机灵的云狐)	
54	灭掉那个敌人！	5	主角处于战斗状态(机灵的云狐)	
55	敌人总是好奇想看我的尾巴，这时……就是发动攻击的机会了！	5	主角处于战斗状态(机灵的云狐)	
56	我的尾巴将为主人效劳！	5	主角处于战斗状态(机灵的云狐)	
57	哪里有战斗，哪里就有我云狐！	5	主角处于战斗状态(机灵的云狐)	
58	对敌人，要么忍，要么残忍！	5	主角处于战斗状态(机灵的云狐)	
59	犯我主人者，诛九族！	5	主角处于战斗状态(机灵的云狐)	
60	见一个，灭一个！	5	主角处于战斗状态(机灵的云狐)	
61	小心，那里有老鼠！	5	主角非战斗状态(机灵的云狐)	
62	主人，接下来我们去哪里开心？	5	主角非战斗状态(机灵的云狐)	
63	成败是评判英雄的唯一标准。	5	主角非战斗状态(机灵的云狐)	
64	成者为王，败者为寇。	5	主角非战斗状态(机灵的云狐)	
65	最靠得住的是宝箱，最靠不住的是主人。	5	主角非战斗状态(机灵的云狐)	
