ID	计数名称	计数数量	计数完成后置灰
id	countDesc	count	
int	str	int	
50011	到#[G2]村口#n观察情况	1	到村口观察
50021	查看#[G2]呼救的人#n	1	查看呼救的人
50031	找到黎叔家#[G2]二娘#n	1	找到黎叔家二娘
50051	进入#[G2]潜行#n状态	1	进入潜行状态
50071	给#[G2]子灵#n松绑	1	给子灵松绑
50091	到子灵旁#[G2]跳上屋顶#n	1	到子灵旁跳上屋顶
50101	#[G2]观察#n驻地	1	观察驻地
50111	到达#[G2]驻地前的桥边#n	1	到达驻地前的桥边
50161	潜行靠近偷袭#[G2]隋兵#n	1	潜行靠近偷袭隋兵
50701	前往#[G2]灵武郡#n	1	前往灵武郡
50721	抱起伤重的#[G2]子灵#n	1	抱起伤重的子灵
50741	喂子灵服用#[G2]仙果#n	1	喂子灵服用仙果
50751	前往#[G2]战区支援#n	1	前往战区支援
51611	跳上#[G2]雕像#n观察敌情	1	跳上雕像观察敌情
50791	到达#[G2]通天塔底#n	1	到达通天塔底
50811	捡起#[G2]蓝色小怪物#n	1	捡起蓝色小怪物
50831	扑灭#[G2]地龙阴火#n	1	扑灭地龙阴火
51151	救出被囚禁的#[G2]酱叔#n	1	救出被囚禁的酱叔
51152	救出被囚禁的#[G2]芽婶#n	1	救出被囚禁的芽婶
50851	观察#[G2]天之裂痕#n	1	观察天之裂痕
50871	与#[G2]宇文拓#n一同回到庇护阵中	1	与宇文拓一同回到庇护阵中
50881	#[G2]开启巴别之路#n	1	用轩辕剑开启巴别之路
50731	将子灵带到#[G2]宁珂#n身边	1	将子灵带到宁珂身边
51021	查看#[G2]驻地路线图#n	1	查看驻地路线图
51031	进入#[G2]驻地大门#n	1	进入驻地大门
51061	扒下#[G2]杨林手下#n的衣服	1	扒下杨林手下的衣服
51071	伪装成#[G2]隋军士兵#n	1	伪装成隋军士兵
51081	进入#[G2]杨林的营帐#n	1	进入杨林的营帐
51091	在杨林的饭菜#[G2]下药#n	1	在杨林的饭菜下药
51101	躲起来等待#[G2]杨林#n	1	躲起来等待杨林
50201	#[G2]离开#n躲藏的大石头	1	离开躲藏的大石头
50211	将慕芸#[G2]放出牢笼#n	1	将慕芸放出牢笼
50221	带村民们#[G2]躲起来#n	1	带村民们躲起来
50231	追上#[G2]芽婶#n	1	追上芽婶
50261	摘一束#[G2]野花#n	1	摘一束野花
50271	拜祭#[G2]芽婶#n	1	拜祭芽婶
51121	搜杨林的身找#[G2]钥匙#n	1	搜杨林的身找钥匙
51141	靠近驻地的#[G2]牢笼#n	1	靠近驻地的牢笼
51601	前往金刚像#[G2]跳跃点#n	1	前往金刚像跳跃点
51631	寻找受伤的#[G2]沙泉卫#n，将他搬到墨言营帐	1	寻找受伤的沙泉卫，将他搬到墨言营帐
51641	去找#[G2]陈靖仇#n会合	1	去找陈靖仇会合
51661	收集战区里的#[G2]火药#n	3	收集战区里的火药
51671	到小路边放置#[G2]炸药#n	1	到小路边放置炸药
