潜修效果等级	属性加成	需要潜修点数	需要法宝境界	需要总潜修等级
id	propertyvalue	soulpoints	tastelv	soullvs
int	int	int	int	int
0	0	0	0	0
1	2	1	0	0
2	2	1	0	0
3	2	1	0	0
4	2	1	0	0
5	2	1	0	0
6	2	1	0	0
7	2	1	0	0
8	2	1	0	0
9	2	1	0	0
10	2	1	0	0
11	2	2	2	20
12	2	2	2	20
13	2	2	2	20
14	2	2	2	20
15	2	2	2	20
16	2	2	2	20
17	2	2	2	20
18	2	2	2	20
19	2	2	2	20
20	2	2	2	20
21	2	3	5	40
22	2	3	5	40
23	2	3	5	40
24	2	3	5	40
25	2	3	5	40
26	2	3	5	40
27	2	3	5	40
28	2	3	5	40
29	2	3	5	40
30	2	3	5	40
31	2	4	8	60
32	2	4	8	60
33	2	4	8	60
34	2	4	8	60
35	2	4	8	60
36	2	4	8	60
37	2	4	8	60
38	2	4	8	60
39	2	4	8	60
40	2	4	8	60
