潜修等级	升级经验	需要法宝境界	获得潜修点数
id	exp	tastelv	point
int	int	int	int
0	100	0	1
1	200	0	1
2	300	0	1
3	400	0	1
4	500	0	1
5	1000	0	1
6	1000	0	1
7	1000	0	1
8	1000	0	1
9	1000	0	1
10	1800	0	1
11	1800	0	1
12	1800	0	1
13	1800	0	1
14	1800	0	1
15	3000	0	1
16	3000	0	1
17	3000	0	1
18	3000	0	1
19	3000	0	1
20	4500	2	1
21	4500	2	1
22	4500	2	1
23	4500	2	1
24	4500	2	1
25	6000	2	1
26	6000	2	1
27	6000	2	1
28	6000	2	1
29	8000	2	1
30	8000	2	1
31	8000	2	1
32	8000	2	1
33	8000	2	1
34	8000	2	1
35	8000	2	1
36	8000	2	1
37	8000	2	1
38	8000	2	1
39	8000	2	1
40	10000	4	1
41	10000	4	1
42	10000	4	1
43	10000	4	1
44	10000	4	1
45	10000	4	1
46	10000	4	1
47	10000	4	1
48	10000	4	1
49	10000	4	1
50	15000	4	1
51	15000	4	1
52	15000	4	1
53	15000	4	1
54	15000	4	1
55	15000	4	1
56	15000	4	1
57	15000	4	1
58	15000	4	1
59	15000	4	1
60	20000	6	1
61	20000	6	1
62	20000	6	1
63	20000	6	1
64	20000	6	1
65	20000	6	1
66	20000	6	1
67	20000	6	1
68	20000	6	1
69	20000	6	1
70	30000	6	1
71	30000	6	1
72	30000	6	1
73	30000	6	1
74	30000	6	1
75	30000	6	1
76	30000	6	1
77	30000	6	1
78	30000	6	1
79	30000	6	1
80	40000	8	1
81	40000	8	1
82	40000	8	1
83	40000	8	1
84	40000	8	1
85	40000	8	1
86	40000	8	1
87	40000	8	1
88	40000	8	1
89	40000	8	1
90	50000	8	1
91	50000	8	1
92	50000	8	1
93	50000	8	1
94	50000	8	1
95	50000	8	1
96	50000	8	1
97	50000	8	1
98	50000	8	1
99	50000	8	1
100	0	8	0
