注灵ID	注灵类型	法宝ID	备注	境界等级	需要角色等级	注灵材料	位置参数	前置注灵ID	力量	智慧	根骨	体魄	敏捷	身法	生命值	物理攻击	法术攻击	治疗强度	物理防御	法术防御	额外伤害	伤害减免	暴击等级	暴击伤害等级	暴击防御等级	暴击伤害减免等级	命中等级	回避等级	招架等级	物理穿透等级	法术穿透等级	全属性抗性	金抗性	木抗性	水抗性	火抗性	土抗性	金伤害	木伤害	水伤害	火伤害	土伤害
infusedid	type	trumpid		tastelv	playlv	material	posid	bindid																																		
int	enum:TrumpsInfusedType	int		int	int	InfuseMaterialData	int	int																																		
10101	1	101	蛇石印	0	50	1901;2	1							4																												
10102	1	101	蛇石印	0	50	1901;2	2	10101			4																															
10103	1	101	蛇石印	0	50	1901;2	10	10102					4																													
10111	1	101	蛇石印	1	50	1901;5	1				5																															
10112	1	101	蛇石印	1	50	1901;5	5	10111						5																												
10113	1	101	蛇石印	1	50	1901;5	9	10112					5																													
10121	1	101	蛇石印	2	50	1901;10	1					6																														
10122	1	101	蛇石印	2	50	1901;10	3	10121					6																													
10123	1	101	蛇石印	2	50	1901;10	4	10122						6																												
11121	2	101	蛇石印	2	50	1903;1	12	10122							120																											
10131	1	101	蛇石印	3	50	1901;10	2							7																												
10132	1	101	蛇石印	3	50	1901;10	5	10131				7																														
10133	1	101	蛇石印	3	50	1901;10	8	10132						7																												
11131	2	101	蛇石印	3	50	1903;2	14	10131												20												7										
10141	1	101	蛇石印	4	50	1901;20	3					8																														
10142	1	101	蛇石印	4	50	1901;20	11	10141			8																															
10143	1	101	蛇石印	4	50	1901;20	16	10142						8																												
11141	2	101	蛇石印	4	50	1903;3	19	10142							120																	11										
10151	1	101	蛇石印	5	50	1901;50	1					9																														
10152	1	101	蛇石印	5	50	1901;50	2	10151						9																												
10153	1	101	蛇石印	5	50	1901;50	3	10152			9																															
11151	2	101	蛇石印	5	50	1903;4	5	10151												30												11										
10161	1	101	蛇石印	6	50	1901;30,1902;1	1							10																												
10162	1	101	蛇石印	6	50	1901;30,1902;1	4	10161				10																														
10163	1	101	蛇石印	6	50	1901;30,1902;1	9	10162						10																												
11161	2	101	蛇石印	6	50	1903;5	12	10162							120																											
10171	1	101	蛇石印	7	50	1901;30,1902;1	1						11																													
10172	1	101	蛇石印	7	50	1901;30,1902;1	3	10171						11																												
10173	1	101	蛇石印	7	50	1901;30,1902;1	4	10172				11																														
11171	2	101	蛇石印	7	50	1903;6	7	10171							120																	11										
10181	1	101	蛇石印	8	50	1901;40,1902;2	5				12																															
10182	1	101	蛇石印	8	50	1901;40,1902;2	7	10181				12																														
10183	1	101	蛇石印	8	50	1901;40,1902;2	11	10182						12																												
11181	2	101	蛇石印	8	50	1903;7	16	10182												20																						
10191	1	101	蛇石印	9	50	1901;40,1902;3	3							13																												
10192	1	101	蛇石印	9	50	1901;40,1902;3	6	10191				13																														
10193	1	101	蛇石印	9	50	1901;40,1902;3	9	10192			13																															
11191	2	101	蛇石印	9	50	1903;7	15	10193							120																											
10201	1	102	鼠槌	0	50	1901;2	1						4																													
10202	1	102	鼠槌	0	50	1901;2	2	10201	4																																	
10203	1	102	鼠槌	0	50	1901;2	10	10202		4																																
10211	1	102	鼠槌	1	50	1901;5	1			5																																
10212	1	102	鼠槌	1	50	1901;5	5	10211					5																													
10213	1	102	鼠槌	1	50	1901;5	9	10212			5																															
10221	1	102	鼠槌	2	50	1901;10	1		6																																	
10222	1	102	鼠槌	2	50	1901;10	3	10221			6																															
10223	1	102	鼠槌	2	50	1901;10	4	10222					6																													
11221	2	102	鼠槌	2	50	1903;1	12	10222											20			8				30																
10231	1	102	鼠槌	3	50	1901;10	2							7																												
10232	1	102	鼠槌	3	50	1901;10	5	10231	7																																	
10233	1	102	鼠槌	3	50	1901;10	8	10232			7																															
11231	2	102	鼠槌	3	50	1903;2	14	10231																45		45																
10241	1	102	鼠槌	4	50	1901;20	3			8																																
10242	1	102	鼠槌	4	50	1901;20	11	10241					8																													
10243	1	102	鼠槌	4	50	1901;20	16	10242						8																												
11241	2	102	鼠槌	4	50	1903;3	19	10242													12					45																
10251	1	102	鼠槌	5	50	1901;50	1			9																																
10252	1	102	鼠槌	5	50	1901;50	2	10251					9																													
10253	1	102	鼠槌	5	50	1901;50	3	10252	9																																	
11251	2	102	鼠槌	5	50	1903;4	5	10251														12		45																		
10261	1	102	鼠槌	6	50	1901;30,1902;1	1				10																															
10262	1	102	鼠槌	6	50	1901;30,1902;1	4	10261					10																													
10263	1	102	鼠槌	6	50	1901;30,1902;1	9	10262			10																															
11261	2	102	鼠槌	6	50	1903;5	12	10262													12					45																
10271	1	102	鼠槌	7	50	1901;30,1902;1	1						11																													
10272	1	102	鼠槌	7	50	1901;30,1902;1	3	10271						11																												
10273	1	102	鼠槌	7	50	1901;30,1902;1	4	10272					11																													
11271	2	102	鼠槌	7	50	1903;6	7	10271											30					45																		
