技能ID	备注	下一级技能ID	技能类型	法宝ID	技能等级	需要法宝境界	消耗材料ID	材料数量	描述
id		nextid	type	trumpid	lv	needtastelv	itemid	itemcount	des
int		int	enum:TrumpSkillType	int	int	int	int	int	str
31011	蛇石印主动技能1级	31012	1	101	1	0	1904	1	测试描述
31012	蛇石印主动技能2级	31013	1	101	2	1	1904	2	测试描述
31013	蛇石印主动技能2级	31014	1	101	3	2	1904	4	测试描述
31014	蛇石印主动技能4级	31015	1	101	4	4	1904	6	测试描述
31015	蛇石印主动技能5级	31016	1	101	5	6	1904	8	测试描述
31016	蛇石印主动技能6级	31017	1	101	6	8	1904	10	测试描述
31017	蛇石印主动技能7级		1	101	7	10	1904	15	测试描述
31021	鼠槌主动技能1级	31022	1	102	1	0	1904	1	测试描述
31022	鼠槌主动技能2级	31022	1	102	2	1	1904	2	测试描述
31023	鼠槌主动技能3级	31022	1	102	3	2	1904	4	测试描述
31024	鼠槌主动技能4级	31022	1	102	4	4	1904	6	测试描述
31025	鼠槌主动技能5级	31022	1	102	5	6	1904	8	测试描述
31026	鼠槌主动技能6级	31022	1	102	6	8	1904	10	测试描述
31027	鼠槌主动技能7级		1	102	7	10	1904	15	测试描述
32011	鬼鸡爪子主动技能1级	32012	1	201	1	0	1904	1	测试描述
32012	鬼鸡爪子主动技能2级	32013	1	201	2	1	1904	2	测试描述
32013	鬼鸡爪子主动技能3级	32014	1	201	3	2	1904	4	测试描述
32014	鬼鸡爪子主动技能4级	32015	1	201	4	4	1904	6	测试描述
32015	鬼鸡爪子主动技能5级	32016	1	201	5	6	1904	8	测试描述
32016	鬼鸡爪子主动技能6级	32017	1	201	6	8	1904	10	测试描述
32017	鬼鸡爪子主动技能7级		1	201	7	10	1904	15	测试描述
32021	龙颿主动技能1级	32022	1	202	1	0	1904	1	测试描述
32022	龙颿主动技能2级	32023	1	202	2	1	1904	2	测试描述
32023	龙颿主动技能3级	32024	1	202	3	2	1904	4	测试描述
32024	龙颿主动技能4级	32025	1	202	4	4	1904	6	测试描述
32025	龙颿主动技能5级	32026	1	202	5	6	1904	8	测试描述
32026	龙颿主动技能6级	32027	1	202	6	8	1904	10	测试描述
32027	龙颿主动技能7级		1	202	7	10	1904	15	测试描述
32031	暗杀宝录主动技能1级	32032	1	203	1	0	1904	1	测试描述
32032	暗杀宝录主动技能2级	32033	1	203	2	1	1904	2	测试描述
32033	暗杀宝录主动技能3级	32034	1	203	3	2	1904	4	测试描述
32034	暗杀宝录主动技能4级	32035	1	203	4	4	1904	6	测试描述
32035	暗杀宝录主动技能5级	32036	1	203	5	6	1904	8	测试描述
32036	暗杀宝录主动技能6级	32037	1	203	6	8	1904	10	测试描述
32037	暗杀宝录主动技能7级		1	203	7	10	1904	15	测试描述
32041	奇魄古玉主动技能1级	32042	1	204	1	0	1904	1	测试描述
32042	奇魄古玉主动技能2级	32043	1	204	2	1	1904	2	测试描述
32043	奇魄古玉主动技能3级	32044	1	204	3	2	1904	4	测试描述
32044	奇魄古玉主动技能4级	32045	1	204	4	4	1904	6	测试描述
32045	奇魄古玉主动技能5级	32046	1	204	5	6	1904	8	测试描述
32046	奇魄古玉主动技能6级	32047	1	204	6	8	1904	10	测试描述
32047	奇魄古玉主动技能7级		1	204	7	10	1904	15	测试描述
32051	五行盘主动技能1级	32052	1	205	1	0	1904	1	测试描述
32052	五行盘主动技能2级	32053	1	205	2	1	1904	2	测试描述
32053	五行盘主动技能3级	32054	1	205	3	2	1904	4	测试描述
32054	五行盘主动技能4级	32055	1	205	4	4	1904	6	测试描述
32055	五行盘主动技能5级	32056	1	205	5	6	1904	8	测试描述
32056	五行盘主动技能6级	32057	1	205	6	8	1904	10	测试描述
32057	五行盘主动技能7级		1	205	7	10	1904	15	测试描述
32061	洞察光环主动技能1级	32062	1	206	1	0	1904	1	测试描述
32062	洞察光环主动技能2级	32063	1	206	2	1	1904	2	测试描述
32063	洞察光环主动技能3级	32064	1	206	3	2	1904	4	测试描述
32064	洞察光环主动技能4级	32065	1	206	4	4	1904	6	测试描述
32065	洞察光环主动技能5级	32066	1	206	5	6	1904	8	测试描述
32066	洞察光环主动技能6级	32067	1	206	6	8	1904	10	测试描述
