法宝ID	境界等级	消耗银贝	需要潜修等级
trumpid:group	tastelv	cost	soullv
int	int	int	int
201	0	100000	0
201	1	300000	0
201	2	500000	0
201	3	1000000	10
201	4	1500000	10
201	5	2000000	30
201	6	3000000	30
201	7	5000000	60
201	8	7000000	60
201	9	10000000	80
202	0	100000	0
202	1	300000	0
202	2	500000	0
202	3	1000000	10
202	4	1500000	10
202	5	2000000	30
202	6	3000000	30
202	7	5000000	60
202	8	7000000	60
202	9	10000000	80
203	0	100000	0
203	1	300000	0
203	2	500000	0
203	3	1000000	10
203	4	1500000	10
203	5	2000000	30
203	6	3000000	30
203	7	5000000	60
203	8	7000000	60
203	9	10000000	80
204	0	100000	0
204	1	300000	0
204	2	500000	0
204	3	1000000	10
204	4	1500000	10
204	5	2000000	30
204	6	3000000	30
204	7	5000000	60
204	8	7000000	60
204	9	10000000	80
205	0	100000	0
205	1	300000	0
205	2	500000	0
205	3	1000000	10
205	4	1500000	10
205	5	2000000	30
205	6	3000000	30
205	7	5000000	60
205	8	7000000	60
205	9	10000000	80
206	0	100000	0
206	1	300000	0
206	2	500000	0
206	3	1000000	10
206	4	1500000	10
206	5	2000000	30
206	6	3000000	30
206	7	5000000	60
206	8	7000000	60
206	9	10000000	80
301	0	100000	0
301	1	300000	0
301	2	500000	0
301	3	1000000	10
301	4	1500000	10
301	5	2000000	30
301	6	3000000	30
301	7	5000000	60
301	8	7000000	60
301	9	10000000	80
302	0	100000	0
302	1	300000	0
302	2	500000	0
302	3	1000000	10
302	4	1500000	10
302	5	2000000	30
302	6	3000000	30
302	7	5000000	60
302	8	7000000	60
302	9	10000000	80
303	0	100000	0
303	1	300000	0
303	2	500000	0
303	3	1000000	10
303	4	1500000	10
303	5	2000000	30
303	6	3000000	30
303	7	5000000	60
303	8	7000000	60
303	9	10000000	80
304	0	100000	0
304	1	300000	0
304	2	500000	0
304	3	1000000	10
304	4	1500000	10
304	5	2000000	30
304	6	3000000	30
304	7	5000000	60
304	8	7000000	60
304	9	10000000	80
305	0	100000	0
305	1	300000	0
305	2	500000	0
305	3	1000000	10
305	4	1500000	10
305	5	2000000	30
305	6	3000000	30
305	7	5000000	60
305	8	7000000	60
305	9	10000000	80
306	0	100000	0
306	1	300000	0
306	2	500000	0
306	3	1000000	10
306	4	1500000	10
306	5	2000000	30
306	6	3000000	30
306	7	5000000	60
306	8	7000000	60
306	9	10000000	80
307	0	100000	0
307	1	300000	0
307	2	500000	0
307	3	1000000	10
307	4	1500000	10
307	5	2000000	30
307	6	3000000	30
307	7	5000000	60
307	8	7000000	60
307	9	10000000	80
308	0	100000	0
308	1	300000	0
308	2	500000	0
308	3	1000000	10
308	4	1500000	10
308	5	2000000	30
308	6	3000000	30
308	7	5000000	60
308	8	7000000	60
308	9	10000000	80
401	0	100000	0
401	1	300000	0
401	2	500000	0
401	3	1000000	10
401	4	1500000	10
401	5	2000000	30
401	6	3000000	30
401	7	5000000	60
401	8	7000000	60
401	9	10000000	80
402	0	100000	0
402	1	300000	0
402	2	500000	0
402	3	1000000	10
402	4	1500000	10
402	5	2000000	30
402	6	3000000	30
402	7	5000000	60
402	8	7000000	60
402	9	10000000	80
403	0	100000	0
403	1	300000	0
403	2	500000	0
403	3	1000000	10
403	4	1500000	10
403	5	2000000	30
403	6	3000000	30
403	7	5000000	60
403	8	7000000	60
403	9	10000000	80
404	0	100000	0
404	1	300000	0
404	2	500000	0
404	3	1000000	10
404	4	1500000	10
404	5	2000000	30
404	6	3000000	30
404	7	5000000	60
404	8	7000000	60
404	9	10000000	80
405	0	100000	0
405	1	300000	10
405	2	500000	10
405	3	1000000	20
405	4	1500000	20
405	5	2000000	40
405	6	3000000	40
405	7	5000000	60
405	8	7000000	60
405	9	10000000	80
