id	值	说明
key	value	
str	str	
chuangjianshizuzijin	1,10000	创建氏族消耗
guildCreateLevel	1	创建氏族等级要求
guildEnterLevel	1	申请氏族等级要求
guildPeopleLevel	10	申请入帮成为帮众等级要求
guildLearnLevel	1	申请入帮成为学徒等级要求
guildAnswerDissolveTime	24	响应氏族解散时间（单位小时)
guildFoundMembers	3	响应氏族成立人数
guildAnswerLevel	1	响应氏族玩家等级要求
guildNoticeCdTime	1	氏族公告修改cd时间（小时）
guildApplyShowCount	100	氏族申请列表显示氏族个数
guildLotteryTime	1800	氏族福利抽奖时长（秒）
guildLotteryBaseItemId	101	氏族抽奖基础奖励道具id
GuildFreightHelpCDTime	30	每次氏族货运求助冷却时间\n（秒）
GuildFreightBaseAward	10002	氏族货运基础奖励
GuildFreightTotalAward	10001	氏族货运总奖励
guildNameChangeItemId	3156	氏族修改名称消耗的道具
impeachmentTime	24	弹劾族长时间(小时)
impeachmentHowlong	120	多久遭弹劾（小时）
