技坊等级	帮会要求等级	升级需求资金	升级消耗资金	升级时间	开启技能个数	开启技能等级上限	描述1	描述2	描述3	建筑名
lv	needClanLv	needGold	useGold	time	openSkillMax	openSkillLvMax	tips1	tips2	tips3	name
int	int	int	int	int	int	int	str	str	str	str
0	0	3000000	100000	60	0	0	技能坊等级提升可增加氏族修炼技能的等级上限和同时修炼的技能个数	当前氏族技能等级上限	当前可同时修炼技能个数	技能坊
1	1	5000000	200000	61	6	2	技能坊等级提升可增加氏族修炼技能的等级上限和同时修炼的技能个数	当前氏族技能等级上限	当前可同时修炼技能个数	技能坊
2	1	5000000	500000	62	6	4	技能坊等级提升可增加氏族修炼技能的等级上限和同时修炼的技能个数	当前氏族技能等级上限	当前可同时修炼技能个数	技能坊
3	1	5000000	1500000	63	6	6	技能坊等级提升可增加氏族修炼技能的等级上限和同时修炼的技能个数	当前氏族技能等级上限	当前可同时修炼技能个数	技能坊
4	2	10000000	2000000	64	18	8	技能坊等级提升可增加氏族修炼技能的等级上限和同时修炼的技能个数	当前氏族技能等级上限	当前可同时修炼技能个数	技能坊
5	3	10000000	3000000	65	18	10	技能坊等级提升可增加氏族修炼技能的等级上限和同时修炼的技能个数	当前氏族技能等级上限	当前可同时修炼技能个数	技能坊
6	3	10000000	4000000	66	24	12	技能坊等级提升可增加氏族修炼技能的等级上限和同时修炼的技能个数	当前氏族技能等级上限	当前可同时修炼技能个数	技能坊
7	4	30000000	5000000	67	24	14	技能坊等级提升可增加氏族修炼技能的等级上限和同时修炼的技能个数	当前氏族技能等级上限	当前可同时修炼技能个数	技能坊
8	4	30000000	6000000	68	24	16	技能坊等级提升可增加氏族修炼技能的等级上限和同时修炼的技能个数	当前氏族技能等级上限	当前可同时修炼技能个数	技能坊
9	5	30000000	7000000	69	24	18	技能坊等级提升可增加氏族修炼技能的等级上限和同时修炼的技能个数	当前氏族技能等级上限	当前可同时修炼技能个数	技能坊
10	5	0	0	0	24	20	技能坊等级提升可增加氏族修炼技能的等级上限和同时修炼的技能个数	当前氏族技能等级上限	当前可同时修炼技能个数	技能坊
